date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,up,1,2.7401,0.712,1w
2021-01-13,trending_bull,up,down,0,-1.8123,0.7,1w
2021-01-25,trending_bull,up,up,1,14.3541,0.6133,1w
2021-02-03,crisis,up,up,1,7.2662,0.6067,1w
2021-02-12,high_volatility,up,up,1,7.3353,0.6187,1w
2021-02-24,crisis,up,neutral,0,0.3369,0.7573,1w
2021-03-05,crisis,up,neutral,0,-0.2321,0.728,1w
2021-03-16,crisis,up,down,0,-10.4989,0.7253,1w
2021-03-25,high_volatility,up,down,0,-15.5462,0.724,1w
2021-04-06,high_volatility,neutral,down,0,-6.3367,0.5453,1w
2021-04-15,trending_bear,down,down,1,-2.3952,0.3867,1w
2021-04-26,trending_bear,down,up,0,3.656,0.4267,1w
2021-05-05,high_volatility,down,up,0,2.8957,0.412,1w
2021-05-14,trending_bear,down,down,1,-10.7511,0.4013,1w
2021-05-25,chop,down,down,1,-21.4667,0.3507,1w
2021-06-04,chop,down,down,1,-23.6096,0.4267,1w
2021-06-15,chop,down,down,1,-6.1594,0.2413,1w
2021-06-24,trending_bear,down,up,0,1.5762,0.1427,1w
2021-07-06,trending_bear,down,up,0,3.5624,0.1613,1w
2021-07-15,trending_bear,down,up,0,4.2709,0.2293,1w
2021-07-26,trending_bear,down,up,0,4.8285,0.2747,1w
2021-08-04,chop,down,down,1,-4.3691,0.22,1w
2021-08-13,chop,down,down,1,-10.5603,0.2787,1w
2021-08-24,chop,down,down,1,-15.2657,0.2787,1w
2021-09-02,chop,down,down,1,-4.9137,0.1733,1w
2021-09-14,chop,down,down,1,-2.7704,0.292,1w
2021-09-23,chop,down,up,0,13.0689,0.2773,1w
2021-10-04,chop,down,up,0,2.7715,0.368,1w
2021-10-13,chop,down,up,0,6.6539,0.32,1w
2021-10-22,chop,down,neutral,0,0.1096,0.404,1w
2021-11-02,chop,down,up,0,4.3873,0.4013,1w
2021-11-11,chop,down,down,1,-3.4804,0.4067,1w
2021-11-22,chop,down,down,1,-3.2374,0.3893,1w
2021-12-02,chop,neutral,down,0,-1.2008,0.5013,1w
2021-12-13,chop,neutral,up,0,11.0993,0.548,1w
2021-12-22,chop,up,up,1,18.806,0.656,1w
2022-01-03,chop,up,up,1,13.9089,0.5533,1w
2022-01-12,chop,up,up,1,0.6105,0.7173,1w
2022-01-24,chop,up,down,0,-9.0766,0.6707,1w
2022-02-02,chop,up,down,0,-12.0846,0.752,1w
2022-02-11,chop,up,down,0,-10.9342,0.5907,1w
2022-02-23,chop,neutral,down,0,-7.6282,0.5013,1w
2022-03-04,trending_bear,neutral,down,0,-5.4095,0.5173,1w
2022-03-15,trending_bear,down,down,1,-3.3704,0.424,1w
2022-03-24,trending_bear,neutral,down,0,-3.5303,0.4867,1w
2022-04-04,trending_bear,down,neutral,0,-0.3765,0.34,1w
2022-04-13,trending_bear,down,down,1,-7.6979,0.268,1w
2022-04-25,chop,down,down,1,-0.8174,0.2,1w
2022-05-04,chop,down,down,1,-4.5045,0.176,1w
2022-05-13,trending_bear,down,up,0,2.8868,0.2013,1w
2022-05-24,chop,down,up,0,2.7292,0.256,1w
2022-06-03,chop,down,up,0,1.2756,0.312,1w
2022-06-14,chop,down,up,0,7.9153,0.3347,1w
2022-06-24,chop,down,up,0,12.8412,0.4067,1w
2022-07-06,chop,neutral,up,0,3.2805,0.48,1w
2022-07-15,chop,neutral,down,0,-3.5037,0.4893,1w
2022-07-26,trending_bull,up,down,0,-7.79,0.668,1w
2022-08-04,chop,up,down,0,-4.3937,0.5853,1w
2022-08-15,chop,up,down,0,-5.0252,0.5987,1w
2022-08-24,chop,up,down,0,-9.8327,0.5747,1w
2022-09-02,chop,neutral,down,0,-10.4892,0.524,1w
2022-09-14,chop,neutral,down,0,-11.1025,0.492,1w
2022-09-23,trending_bear,down,down,1,-2.2727,0.3573,1w
2022-10-04,trending_bear,down,neutral,0,0.432,0.208,1w
2022-10-13,trending_bear,down,up,0,2.7861,0.1467,1w
2022-10-24,trending_bear,down,up,0,9.9647,0.1413,1w
2022-11-02,trending_bear,down,up,0,4.4325,0.152,1w
2022-11-11,chop,down,neutral,0,-0.4334,0.2413,1w
