date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-2.2235,0.4213,1w
2021-01-13,chop,down,down,1,-3.7353,0.3787,1w
2021-01-25,chop,down,down,1,-2.7547,0.288,1w
2021-02-03,crisis,down,down,1,-1.737,0.2347,1w
2021-02-12,crisis,down,down,1,-2.898,0.1533,1w
2021-02-24,high_volatility,down,down,1,-0.6166,0.1747,1w
2021-03-05,crisis,down,neutral,0,-0.3102,0.2133,1w
2021-03-16,crisis,down,neutral,0,0.0711,0.0747,1w
2021-03-25,crisis,down,down,1,-2.8409,0.156,1w
2021-04-06,high_volatility,down,down,1,-4.3883,0.188,1w
2021-04-15,high_volatility,down,down,1,-4.6556,0.1653,1w
2021-04-26,high_volatility,down,down,1,-3.5915,0.1693,1w
2021-05-05,high_volatility,down,neutral,0,0.1223,0.176,1w
2021-05-14,crisis,down,down,1,-4.4612,0.192,1w
2021-05-25,high_volatility,down,down,1,-3.1353,0.2013,1w
2021-06-04,crisis,down,down,1,-5.5928,0.3187,1w
2021-06-15,crisis,down,up,0,1.7732,0.1867,1w
2021-06-24,high_volatility,down,up,0,2.8986,0.2027,1w
2021-07-06,high_volatility,down,up,0,6.6622,0.168,1w
2021-07-15,chop,down,up,0,4.9644,0.2307,1w
2021-07-26,high_volatility,down,neutral,0,0.3114,0.3613,1w
2021-08-04,trending_bull,down,down,1,-4.7336,0.424,1w
2021-08-13,trending_bull,up,down,0,-5.2326,0.5693,1w
2021-08-24,chop,down,down,1,-3.8495,0.4333,1w
2021-09-02,chop,down,down,1,-2.6704,0.304,1w
2021-09-14,chop,neutral,down,0,-3.3409,0.516,1w
2021-09-23,chop,down,up,0,0.9957,0.3787,1w
2021-10-04,high_volatility,down,neutral,0,0.4784,0.404,1w
2021-10-13,high_volatility,down,up,0,3.811,0.304,1w
2021-10-22,high_volatility,down,up,0,2.6799,0.312,1w
2021-11-02,high_volatility,down,up,0,4.1417,0.28,1w
2021-11-11,crisis,down,up,0,1.6104,0.2973,1w
2021-11-22,chop,down,up,0,0.8436,0.3893,1w
2021-12-02,chop,neutral,down,0,-1.8555,0.5387,1w
2021-12-13,chop,neutral,up,0,1.226,0.52,1w
2021-12-22,chop,up,up,1,2.7089,0.608,1w
2022-01-03,chop,neutral,up,0,3.9587,0.4947,1w
2022-01-12,chop,up,down,0,-1.7051,0.7067,1w
2022-01-24,chop,up,down,0,-1.5991,0.6613,1w
2022-02-02,trending_bull,up,down,0,-1.592,0.6987,1w
2022-02-11,chop,neutral,down,0,-1.6196,0.5173,1w
2022-02-23,chop,neutral,neutral,0,-0.1657,0.4773,1w
2022-03-04,chop,down,up,0,1.4567,0.4387,1w
2022-03-15,chop,down,up,0,2.4554,0.3267,1w
2022-03-24,chop,down,up,0,2.7259,0.4253,1w
2022-04-04,chop,neutral,neutral,0,0.2323,0.508,1w
2022-04-13,chop,down,neutral,0,-0.4752,0.3973,1w
2022-04-25,chop,down,down,1,-1.1367,0.412,1w
2022-05-04,chop,down,neutral,0,0.156,0.3467,1w
2022-05-13,chop,down,up,0,1.6754,0.4427,1w
2022-05-24,chop,down,up,0,1.38,0.436,1w
2022-06-03,chop,neutral,down,0,-0.6187,0.5053,1w
2022-06-14,chop,up,up,1,0.7003,0.5693,1w
2022-06-24,chop,up,up,1,1.9031,0.5587,1w
2022-07-06,chop,down,up,0,1.5648,0.4067,1w
2022-07-15,chop,neutral,down,0,-0.6822,0.5013,1w
2022-07-26,chop,up,neutral,0,-0.3152,0.5573,1w
2022-08-04,chop,neutral,neutral,0,0.1863,0.4773,1w
2022-08-15,chop,up,up,1,1.2387,0.5587,1w
2022-08-24,chop,up,neutral,0,-0.4876,0.5613,1w
2022-09-02,chop,neutral,down,0,-2.0152,0.4827,1w
2022-09-14,chop,neutral,down,0,-2.0204,0.4667,1w
2022-09-23,chop,down,down,1,-0.8276,0.424,1w
2022-10-04,chop,down,up,0,2.0611,0.364,1w
2022-10-13,chop,down,up,0,2.2793,0.2253,1w
2022-10-24,trending_bear,down,up,0,4.5479,0.26,1w
2022-11-02,chop,down,up,0,2.333,0.3813,1w
2022-11-11,trending_bull,neutral,up,0,3.6822,0.4587,1w
2022-11-22,trending_bull,neutral,up,0,4.2771,0.536,1w
2022-12-02,trending_bull,up,up,1,1.4872,0.608,1w
2022-12-13,trending_bull,up,neutral,0,0.1427,0.6813,1w
2022-12-22,trending_bull,up,neutral,0,0.0902,0.7933,1w
2023-01-04,trending_bull,up,up,1,0.6946,0.792,1w
2023-01-13,trending_bull,up,neutral,0,0.485,0.8213,1w
2023-01-25,trending_bull,up,neutral,0,-0.188,0.9,1w
2023-02-03,trending_bull,up,up,1,0.8044,0.7107,1w
2023-02-14,chop,up,neutral,0,0.4784,0.6933,1w
2023-02-24,chop,up,up,1,0.9474,0.684,1w
2023-03-07,chop,up,neutral,0,-0.2166,0.6333,1w
2023-03-16,chop,down,down,1,-1.532,0.4427,1w
2023-03-27,trending_bull,down,down,1,-1.4504,0.4253,1w
2023-04-05,chop,neutral,up,0,0.749,0.5133,1w
2023-04-17,chop,down,up,0,2.7424,0.3507,1w
2023-04-26,chop,down,up,0,1.1437,0.3467,1w
2023-05-05,chop,neutral,up,0,0.5184,0.504,1w
2023-05-16,chop,neutral,neutral,0,0.1933,0.5427,1w
2023-05-25,chop,neutral,up,0,1.0682,0.4893,1w
2023-06-06,chop,neutral,up,0,0.9451,0.4693,1w
2023-06-15,chop,neutral,up,0,1.9488,0.4653,1w
2023-06-27,chop,down,up,0,1.7758,0.4067,1w
2023-07-07,chop,neutral,up,0,0.7705,0.5453,1w
2023-07-18,trending_bull,up,up,1,1.2319,0.7693,1w
2023-07-27,trending_bull,up,up,1,1.8343,0.7107,1w
2023-08-07,trending_bull,neutral,up,0,2.5255,0.544,1w
