date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-0.5433,0.4293,1w
2021-01-13,chop,down,down,1,-3.7275,0.3267,1w
2021-01-25,chop,down,down,1,-18.7364,0.2413,1w
2021-02-03,chop,down,down,1,-20.1006,0.3373,1w
2021-02-12,chop,down,down,1,-29.0642,0.436,1w
2021-02-24,chop,down,down,1,-5.8346,0.2747,1w
2021-03-05,chop,down,neutral,0,0.0099,0.308,1w
2021-03-16,trending_bear,down,up,0,1.9528,0.2333,1w
2021-03-25,trending_bear,down,down,1,-13.0456,0.256,1w
2021-04-06,chop,down,down,1,-20.4209,0.232,1w
2021-04-15,chop,down,down,1,-23.2598,0.22,1w
2021-04-26,trending_bear,down,down,1,-7.6468,0.18,1w
2021-05-05,trending_bear,down,up,0,3.7536,0.1453,1w
2021-05-14,trending_bear,down,down,1,-5.7178,0.128,1w
2021-05-25,trending_bear,down,up,0,1.079,0.2693,1w
2021-06-04,chop,down,down,1,-8.3058,0.3733,1w
2021-06-15,chop,down,down,1,-13.4957,0.268,1w
2021-06-24,chop,down,down,1,-13.4565,0.2827,1w
2021-07-06,chop,down,down,1,-6.5021,0.248,1w
2021-07-15,chop,down,up,0,7.2968,0.1813,1w
2021-07-26,chop,down,down,1,-2.9675,0.296,1w
2021-08-04,chop,down,down,1,-15.3583,0.3507,1w
2021-08-13,chop,down,down,1,-15.6295,0.4067,1w
2021-08-24,chop,down,down,1,-17.0327,0.2947,1w
2021-09-02,chop,down,down,1,-14.8736,0.2133,1w
2021-09-14,chop,down,down,1,-27.3797,0.2973,1w
2021-09-23,chop,down,down,1,-11.1254,0.1533,1w
2021-10-04,trending_bear,down,down,1,-10.6413,0.168,1w
2021-10-13,trending_bear,down,up,0,1.2881,0.168,1w
2021-10-22,trending_bear,down,down,1,-5.2021,0.22,1w
2021-11-02,trending_bear,down,up,0,9.2215,0.1707,1w
2021-11-11,trending_bear,down,down,1,-7.1273,0.1453,1w
2021-11-22,chop,down,down,1,-7.2979,0.1907,1w
2021-12-02,chop,down,down,1,-15.4195,0.32,1w
2021-12-13,chop,down,up,0,6.2526,0.2267,1w
2021-12-22,chop,down,up,0,27.2579,0.2947,1w
2022-01-03,chop,down,up,0,21.168,0.2747,1w
2022-01-12,chop,up,down,0,-1.6887,0.58,1w
2022-01-24,trending_bull,up,down,0,-2.8361,0.5867,1w
2022-02-02,trending_bull,up,down,0,-4.0526,0.668,1w
2022-02-11,chop,neutral,down,0,-5.7785,0.4907,1w
