date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bear,neutral,down,0,-12.2774,0.4693,1w
2021-01-13,trending_bear,down,down,1,-6.7711,0.2347,1w
2021-01-25,trending_bear,down,down,1,-3.7017,0.1453,1w
2021-02-03,trending_bear,down,up,0,4.9893,0.1093,1w
2021-02-12,trending_bear,down,up,0,11.074,0.1173,1w
2021-02-24,chop,down,up,0,19.2943,0.124,1w
2021-03-05,chop,down,up,0,11.4315,0.2973,1w
2021-03-16,chop,down,up,0,2.4162,0.3653,1w
2021-03-25,chop,neutral,down,0,-9.1123,0.4533,1w
2021-04-06,trending_bull,neutral,down,0,-13.1793,0.4893,1w
2021-04-15,chop,neutral,down,0,-20.019,0.528,1w
2021-04-26,chop,neutral,down,0,-0.8269,0.532,1w
2021-05-05,chop,neutral,up,0,2.4036,0.5013,1w
2021-05-14,high_volatility,down,up,0,5.193,0.3893,1w
2021-05-25,high_volatility,up,up,1,2.867,0.5733,1w
2021-06-04,chop,neutral,down,0,-5.5189,0.536,1w
2021-06-15,chop,down,up,0,4.9945,0.356,1w
2021-06-24,chop,down,up,0,1.7517,0.3653,1w
2021-07-06,chop,down,up,0,15.0844,0.2973,1w
2021-07-15,chop,down,up,0,25.1994,0.3707,1w
2021-07-26,chop,neutral,up,0,14.3518,0.5013,1w
2021-08-04,high_volatility,up,down,0,-2.0234,0.58,1w
2021-08-13,high_volatility,up,down,0,-4.4218,0.7893,1w
2021-08-24,trending_bull,up,down,0,-9.0869,0.676,1w
2021-09-02,chop,up,down,0,-8.2089,0.576,1w
2021-09-14,chop,up,down,0,-22.4704,0.732,1w
2021-09-23,chop,up,down,0,-10.3896,0.5507,1w
2021-10-04,trending_bear,neutral,down,0,-6.798,0.5173,1w
2021-10-13,trending_bear,down,up,0,15.419,0.3867,1w
2021-10-22,trending_bear,down,up,0,14.2697,0.3707,1w
2021-11-02,trending_bear,down,up,0,12.5067,0.2453,1w
2021-11-11,chop,down,up,0,1.5648,0.296,1w
2021-11-22,chop,down,down,1,-0.5558,0.32,1w
2021-12-02,chop,down,down,1,-7.5502,0.428,1w
2021-12-13,chop,down,up,0,1.2869,0.336,1w
2021-12-22,chop,neutral,up,0,3.5323,0.5013,1w
2022-01-03,chop,down,up,0,5.2046,0.4093,1w
2022-01-12,chop,up,down,0,-6.3619,0.7307,1w
2022-01-24,chop,up,down,0,-6.5407,0.724,1w
2022-02-02,chop,up,down,0,-1.6272,0.656,1w
2022-02-11,chop,down,down,1,-3.5986,0.4013,1w
2022-02-23,chop,down,down,1,-0.8452,0.336,1w
2022-03-04,chop,down,down,1,-1.4184,0.3347,1w
2022-03-15,chop,down,up,0,3.3228,0.2693,1w
2022-03-24,chop,down,up,0,3.2996,0.3267,1w
2022-04-04,chop,down,down,1,-4.6924,0.4213,1w
2022-04-13,chop,down,down,1,-3.3651,0.296,1w
2022-04-25,chop,down,neutral,0,-0.2149,0.324,1w
