date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-1.3272,0.3653,1w
2021-01-13,chop,down,down,1,-2.5614,0.2747,1w
2021-01-25,trending_bear,down,down,1,-1.3062,0.336,1w
2021-02-03,trending_bear,down,neutral,0,-0.4879,0.26,1w
2021-02-12,trending_bear,down,down,1,-1.693,0.1733,1w
2021-02-24,trending_bear,down,down,1,-2.4883,0.2547,1w
2021-03-05,crisis,down,down,1,-5.5131,0.2267,1w
2021-03-16,crisis,down,down,1,-4.4383,0.152,1w
2021-03-25,crisis,down,down,1,-4.0345,0.1413,1w
2021-04-06,crisis,down,down,1,-4.1431,0.1533,1w
2021-04-15,high_volatility,down,down,1,-1.0581,0.128,1w
2021-04-26,high_volatility,down,neutral,0,-0.0623,0.0933,1w
2021-05-05,crisis,down,neutral,0,0.1835,0.0893,1w
2021-05-14,crisis,down,down,1,-3.4561,0.152,1w
2021-05-25,crisis,down,down,1,-2.3661,0.168,1w
2021-06-04,high_volatility,down,up,0,1.1869,0.0827,1w
2021-06-15,crisis,down,up,0,4.4884,0.0893,1w
2021-06-24,crisis,down,up,0,2.8251,0.22,1w
2021-07-06,crisis,down,up,0,1.9596,0.3173,1w
2021-07-15,crisis,down,up,0,1.0624,0.3613,1w
2021-07-26,high_volatility,neutral,down,0,-1.8593,0.4587,1w
2021-08-04,crisis,neutral,down,0,-4.7216,0.52,1w
2021-08-13,high_volatility,neutral,down,0,-4.7354,0.4907,1w
2021-08-24,chop,down,down,1,-4.5034,0.3507,1w
2021-09-02,chop,down,down,1,-3.3732,0.3413,1w
2021-09-14,chop,neutral,down,0,-3.5821,0.4773,1w
2021-09-23,trending_bear,down,down,1,-3.6131,0.2413,1w
2021-10-04,crisis,down,down,1,-2.8279,0.2253,1w
2021-10-13,high_volatility,down,up,0,1.6213,0.1747,1w
2021-10-22,high_volatility,down,up,0,3.5014,0.0987,1w
2021-11-02,high_volatility,down,up,0,4.9411,0.0907,1w
2021-11-11,high_volatility,down,up,0,2.0477,0.1733,1w
2021-11-22,chop,down,up,0,1.0176,0.24,1w
2021-12-02,trending_bull,down,down,1,-1.9884,0.3733,1w
2021-12-13,trending_bull,down,up,0,1.1397,0.4013,1w
2021-12-22,trending_bull,neutral,up,0,2.2945,0.4733,1w
2022-01-03,chop,down,up,0,2.6868,0.412,1w
2022-01-12,chop,up,down,0,-1.6081,0.6613,1w
2022-01-24,chop,up,down,0,-3.4408,0.7253,1w
2022-02-02,chop,up,down,0,-3.4535,0.7,1w
2022-02-11,chop,neutral,up,0,2.5251,0.5053,1w
2022-02-23,chop,down,up,0,5.0093,0.4067,1w
2022-03-04,chop,down,up,0,5.4922,0.2693,1w
2022-03-15,high_volatility,neutral,up,0,1.0357,0.4653,1w
2022-03-24,crisis,up,up,1,1.5895,0.5587,1w
2022-04-04,chop,up,neutral,0,0.0207,0.5733,1w
2022-04-13,chop,down,up,0,1.2193,0.4453,1w
2022-04-25,chop,neutral,down,0,-2.0535,0.4707,1w
2022-05-04,chop,neutral,down,0,-2.176,0.52,1w
2022-05-13,chop,up,down,0,-2.1844,0.56,1w
2022-05-24,chop,neutral,up,0,0.8484,0.5453,1w
2022-06-03,chop,up,down,0,-2.4776,0.5573,1w
2022-06-14,chop,down,neutral,0,-0.3775,0.3733,1w
2022-06-24,chop,down,neutral,0,-0.4206,0.3733,1w
2022-07-06,chop,down,up,0,0.7409,0.1733,1w
2022-07-15,chop,down,down,1,-2.8536,0.3653,1w
2022-07-26,chop,down,down,1,-1.4191,0.2747,1w
2022-08-04,chop,down,down,1,-1.2349,0.2093,1w
2022-08-15,chop,down,neutral,0,0.1915,0.1787,1w
2022-08-24,chop,down,down,1,-1.8093,0.2747,1w
2022-09-02,chop,down,down,1,-2.6869,0.2267,1w
2022-09-14,chop,down,down,1,-1.7309,0.224,1w
2022-09-23,chop,down,down,1,-1.5746,0.168,1w
2022-10-04,trending_bear,down,up,0,0.6439,0.2107,1w
2022-10-13,trending_bear,down,up,0,0.7541,0.1653,1w
2022-10-24,trending_bear,down,up,0,4.1996,0.1733,1w
2022-11-02,trending_bear,down,up,0,2.4777,0.2333,1w
2022-11-11,chop,down,up,0,3.5842,0.32,1w
2022-11-22,chop,down,up,0,4.8364,0.3973,1w
2022-12-02,trending_bull,neutral,up,0,1.7529,0.48,1w
2022-12-13,trending_bull,up,down,0,-0.6454,0.58,1w
2022-12-22,trending_bull,up,down,0,-1.1636,0.6813,1w
2023-01-04,trending_bull,up,neutral,0,-0.4908,0.704,1w
2023-01-13,trending_bull,up,down,0,-1.0718,0.7013,1w
2023-01-25,chop,up,down,0,-0.8737,0.764,1w
2023-02-03,chop,up,neutral,0,0.1174,0.6147,1w
2023-02-14,chop,neutral,neutral,0,-0.2675,0.536,1w
2023-02-24,chop,neutral,up,0,1.0141,0.548,1w
2023-03-07,chop,neutral,down,0,-1.8365,0.4907,1w
2023-03-16,chop,down,down,1,-2.045,0.2667,1w
2023-03-27,chop,down,down,1,-3.4229,0.296,1w
2023-04-05,chop,down,neutral,0,-0.1237,0.2947,1w
2023-04-17,chop,down,up,0,2.0864,0.22,1w
2023-04-26,trending_bear,down,up,0,1.8211,0.224,1w
2023-05-05,chop,down,up,0,1.5955,0.26,1w
2023-05-16,chop,down,up,0,1.5869,0.3947,1w
2023-05-25,chop,down,up,0,2.0141,0.376,1w
2023-06-06,chop,down,up,0,0.5722,0.3653,1w
2023-06-15,chop,neutral,up,0,1.3599,0.5227,1w
2023-06-27,chop,down,up,0,1.2215,0.3893,1w
2023-07-07,chop,neutral,up,0,3.3409,0.54,1w
2023-07-18,chop,up,up,1,2.416,0.68,1w
2023-07-27,chop,up,up,1,2.9365,0.704,1w
2023-08-07,trending_bull,up,up,1,2.0218,0.7187,1w
2023-08-16,trending_bull,up,up,1,2.4364,0.6733,1w
2023-08-25,trending_bull,up,up,1,0.7496,0.768,1w
2023-09-06,trending_bull,up,down,0,-1.6348,0.7253,1w
2023-09-15,trending_bull,up,down,0,-2.5251,0.7693,1w
2023-09-26,trending_bull,up,down,0,-2.6755,0.7253,1w
2023-10-05,chop,up,down,0,-1.7251,0.6173,1w
2023-10-16,trending_bear,neutral,down,0,-2.8557,0.5453,1w
2023-10-25,trending_bear,down,down,1,-1.0538,0.4333,1w
2023-11-03,trending_bear,down,up,0,1.1168,0.2373,1w
2023-11-14,trending_bear,down,up,0,0.7486,0.176,1w
2023-11-24,trending_bear,down,down,1,-1.872,0.1573,1w
2023-12-05,chop,down,down,1,-2.5332,0.2093,1w
2023-12-14,chop,down,down,1,-1.1048,0.128,1w
2023-12-26,trending_bear,down,up,0,0.8232,0.128,1w
2024-01-05,trending_bear,down,up,0,2.0778,0.1733,1w
2024-01-17,trending_bear,down,up,0,0.7207,0.184,1w
2024-01-26,chop,down,up,0,2.2939,0.3067,1w
2024-02-06,chop,down,up,0,2.346,0.3867,1w
2024-02-15,chop,down,up,0,2.436,0.408,1w
2024-02-27,chop,neutral,neutral,0,0.0473,0.4653,1w
2024-03-07,high_volatility,neutral,up,0,0.5528,0.452,1w
2024-03-18,trending_bull,neutral,neutral,0,-0.1233,0.5467,1w
2024-03-27,trending_bull,up,up,1,0.8983,0.6347,1w
2024-04-08,crisis,up,neutral,0,-0.0442,0.668,1w
2024-04-17,high_volatility,up,neutral,0,0.0605,0.6053,1w
2024-04-26,chop,up,down,0,-1.532,0.656,1w
2024-05-07,chop,neutral,neutral,0,-0.3836,0.5293,1w
2024-05-16,chop,neutral,up,0,1.1204,0.5173,1w
2024-05-28,chop,down,up,0,1.6019,0.3787,1w
2024-06-06,chop,down,up,0,1.3009,0.3813,1w
2024-06-17,chop,down,neutral,0,0.4552,0.412,1w
2024-06-27,chop,neutral,neutral,0,-0.4932,0.4827,1w
2024-07-09,chop,neutral,up,0,1.4542,0.46,1w
2024-07-18,chop,neutral,up,0,0.728,0.4947,1w
2024-07-29,chop,down,up,0,1.7327,0.3493,1w
2024-08-07,chop,neutral,up,0,1.8419,0.536,1w
2024-08-16,chop,up,up,1,1.5355,0.5827,1w
2024-08-27,chop,up,up,1,0.6928,0.588,1w
2024-09-06,trending_bull,up,neutral,0,-0.4483,0.7147,1w
2024-09-17,trending_bull,up,up,1,1.0946,0.6333,1w
2024-09-26,chop,neutral,up,0,1.4704,0.528,1w
2024-10-07,chop,up,up,1,0.669,0.644,1w
2024-10-16,trending_bull,up,down,0,-0.6829,0.6693,1w
2024-10-25,trending_bull,up,up,1,1.0599,0.7107,1w
2024-11-05,chop,up,neutral,0,-0.1394,0.5733,1w
2024-11-14,chop,neutral,neutral,0,0.0992,0.5467,1w
2024-11-25,chop,up,neutral,0,-0.3277,0.5987,1w
