date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,down,0,-7.6186,0.5453,1w
2021-01-13,chop,neutral,down,0,-5.6425,0.5173,1w
2021-01-25,chop,down,down,1,-2.442,0.3027,1w
2021-02-03,crisis,down,up,0,1.2399,0.312,1w
2021-02-12,trending_bear,down,down,1,-2.2465,0.2413,1w
2021-02-24,chop,down,up,0,4.2273,0.2453,1w
2021-03-05,chop,down,up,0,2.6913,0.392,1w
2021-03-16,trending_bear,down,down,1,-0.7098,0.3347,1w
2021-03-25,chop,down,down,1,-4.6193,0.3627,1w
2021-04-06,chop,down,down,1,-6.7784,0.344,1w
2021-04-15,chop,down,down,1,-10.0869,0.296,1w
2021-04-26,chop,down,down,1,-6.183,0.3787,1w
2021-05-05,chop,down,down,1,-0.79,0.3613,1w
2021-05-14,high_volatility,down,down,1,-4.2621,0.2667,1w
2021-05-25,high_volatility,down,down,1,-4.4454,0.3587,1w
2021-06-04,chop,down,down,1,-8.2177,0.404,1w
2021-06-15,chop,down,down,1,-1.6174,0.2747,1w
2021-06-24,chop,down,up,0,3.6809,0.22,1w
2021-07-06,chop,down,up,0,10.4875,0.2347,1w
2021-07-15,chop,down,up,0,13.3562,0.236,1w
2021-07-26,chop,down,up,0,4.567,0.376,1w
2021-08-04,trending_bull,down,down,1,-5.0049,0.428,1w
2021-08-13,trending_bull,up,down,0,-10.0255,0.6027,1w
2021-08-24,trending_bull,up,down,0,-10.9182,0.5747,1w
2021-09-02,chop,down,down,1,-5.7483,0.3573,1w
2021-09-14,chop,neutral,down,0,-6.1729,0.512,1w
2021-09-23,chop,down,up,0,4.3498,0.376,1w
2021-10-04,trending_bear,down,up,0,5.9489,0.404,1w
2021-10-13,chop,down,up,0,9.8282,0.3813,1w
2021-10-22,chop,down,up,0,6.9325,0.376,1w
2021-11-02,chop,down,up,0,7.0737,0.412,1w
2021-11-11,chop,down,down,1,-2.4975,0.3813,1w
2021-11-22,chop,down,down,1,-4.8348,0.4253,1w
2021-12-02,chop,up,down,0,-7.0817,0.58,1w
2021-12-13,chop,neutral,up,0,2.533,0.5213,1w
2021-12-22,chop,up,up,1,6.992,0.5933,1w
2022-01-03,chop,neutral,up,0,12.5889,0.5013,1w
2022-01-12,chop,up,up,1,3.5105,0.6453,1w
2022-01-24,chop,up,up,1,1.8696,0.6173,1w
2022-02-02,chop,up,down,0,-5.2239,0.7093,1w
2022-02-11,chop,up,down,0,-9.9493,0.5573,1w
2022-02-23,chop,neutral,down,0,-8.4257,0.5147,1w
2022-03-04,chop,neutral,down,0,-5.522,0.4547,1w
2022-03-15,chop,down,neutral,0,-0.1077,0.368,1w
2022-03-24,chop,down,down,1,-1.7825,0.436,1w
2022-04-04,chop,down,down,1,-3.1867,0.4453,1w
2022-04-13,chop,down,down,1,-3.1609,0.3333,1w
2022-04-25,chop,down,up,0,1.8209,0.2813,1w
2022-05-04,chop,down,up,0,1.8427,0.156,1w
2022-05-13,chop,down,up,0,7.5915,0.2213,1w
2022-05-24,chop,down,up,0,3.6927,0.2733,1w
2022-06-03,chop,down,neutral,0,0.0113,0.3467,1w
2022-06-14,chop,neutral,up,0,3.1483,0.524,1w
2022-06-24,chop,neutral,up,0,6.6857,0.5053,1w
2022-07-06,chop,neutral,up,0,5.0615,0.5453,1w
2022-07-15,chop,up,down,0,-3.0976,0.6053,1w
