date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,down,0,-6.4116,0.4653,1w
2021-01-13,chop,neutral,down,0,-13.3754,0.52,1w
2021-01-25,chop,down,down,1,-12.3575,0.3547,1w
2021-02-03,chop,down,down,1,-6.8158,0.3187,1w
2021-02-12,chop,down,down,1,-7.4917,0.3973,1w
2021-02-24,chop,down,up,0,7.7741,0.3293,1w
2021-03-05,chop,down,up,0,12.4641,0.4067,1w
2021-03-16,trending_bear,down,up,0,10.23,0.288,1w
2021-03-25,chop,down,down,1,-5.9408,0.3787,1w
2021-04-06,chop,down,down,1,-17.7404,0.4253,1w
2021-04-15,chop,down,down,1,-36.6769,0.2813,1w
2021-04-26,chop,down,down,1,-23.1996,0.336,1w
2021-05-05,chop,down,down,1,-19.2245,0.2747,1w
2021-05-14,high_volatility,down,down,1,-16.8051,0.168,1w
2021-05-25,trending_bear,down,down,1,-19.4414,0.2747,1w
2021-06-04,trending_bear,down,down,1,-17.1481,0.2747,1w
2021-06-15,trending_bear,down,down,1,-6.4305,0.1733,1w
2021-06-24,trending_bear,down,up,0,2.8773,0.144,1w
2021-07-06,trending_bear,down,up,0,14.1819,0.116,1w
2021-07-15,trending_bear,down,up,0,10.1052,0.1093,1w
2021-07-26,chop,down,down,1,-2.2329,0.1867,1w
2021-08-04,chop,down,down,1,-10.9464,0.2613,1w
2021-08-13,trending_bull,down,down,1,-12.1232,0.376,1w
2021-08-24,chop,down,down,1,-8.1898,0.304,1w
2021-09-02,chop,down,down,1,-4.5035,0.3507,1w
2021-09-14,chop,neutral,up,0,0.7162,0.5173,1w
2021-09-23,chop,neutral,up,0,15.5636,0.4707,1w
2021-10-04,chop,down,up,0,6.8614,0.428,1w
2021-10-13,chop,neutral,up,0,18.4811,0.5133,1w
2021-10-22,chop,up,up,1,1.7455,0.5587,1w
2021-11-02,chop,down,up,0,4.6829,0.448,1w
2021-11-11,chop,neutral,down,0,-14.0974,0.5227,1w
2021-11-22,chop,neutral,down,0,-11.1221,0.528,1w
2021-12-02,chop,up,down,0,-8.1779,0.58,1w
2021-12-13,chop,neutral,down,0,-8.0708,0.524,1w
2021-12-22,chop,neutral,up,0,9.8938,0.5053,1w
2022-01-03,chop,down,up,0,11.0212,0.448,1w
2022-01-12,chop,down,up,0,7.3741,0.424,1w
2022-01-24,chop,down,down,1,-4.1888,0.4467,1w
2022-02-02,chop,neutral,up,0,0.6394,0.5373,1w
2022-02-11,chop,down,up,0,7.1982,0.3693,1w
2022-02-23,chop,down,up,0,11.908,0.3813,1w
2022-03-04,chop,neutral,up,0,10.4385,0.46,1w
2022-03-15,chop,neutral,up,0,1.3603,0.54,1w
2022-03-24,chop,up,neutral,0,0.3994,0.5707,1w
2022-04-04,chop,up,down,0,-14.9922,0.58,1w
2022-04-13,chop,up,down,0,-10.9232,0.5813,1w
2022-04-25,chop,neutral,up,0,0.8011,0.5027,1w
2022-05-04,trending_bear,down,up,0,5.4593,0.392,1w
2022-05-13,chop,down,up,0,1.4461,0.4267,1w
2022-05-24,chop,neutral,down,0,-0.8526,0.5467,1w
2022-06-03,chop,neutral,down,0,-10.1394,0.484,1w
2022-06-14,chop,down,down,1,-12.2892,0.3653,1w
2022-06-24,chop,down,up,0,4.2305,0.328,1w
2022-07-06,chop,down,up,0,2.3729,0.224,1w
2022-07-15,chop,down,down,1,-2.3901,0.2307,1w
2022-07-26,chop,down,down,1,-15.8672,0.3573,1w
2022-08-04,chop,down,down,1,-14.8435,0.3893,1w
2022-08-15,chop,down,down,1,-11.2363,0.296,1w
2022-08-24,trending_bear,down,down,1,-16.8712,0.2013,1w
2022-09-02,trending_bear,down,down,1,-13.5446,0.1573,1w
2022-09-14,trending_bear,down,down,1,-11.6593,0.0787,1w
2022-09-23,trending_bear,down,down,1,-9.9372,0.0733,1w
2022-10-04,trending_bear,down,down,1,-19.4865,0.1373,1w
2022-10-13,trending_bear,down,down,1,-29.3728,0.0907,1w
2022-10-24,trending_bear,down,down,1,-14.1929,0.04,1w
2022-11-02,trending_bear,down,down,1,-2.2066,0.0427,1w
2022-11-11,trending_bear,down,up,0,29.9313,0.0427,1w
2022-11-22,trending_bear,down,up,0,42.3632,0.0907,1w
2022-12-02,trending_bear,down,up,0,17.6002,0.1867,1w
2022-12-13,trending_bull,down,up,0,2.7759,0.3507,1w
2022-12-22,trending_bull,neutral,up,0,1.5074,0.5453,1w
2023-01-04,trending_bull,down,up,0,9.0052,0.42,1w
2023-01-13,trending_bull,neutral,up,0,5.3759,0.5013,1w
2023-01-25,trending_bull,up,down,0,-2.6026,0.668,1w
2023-02-03,trending_bull,up,down,0,-6.7361,0.6413,1w
2023-02-14,chop,up,down,0,-12.5556,0.784,1w
2023-02-24,chop,up,down,0,-4.2645,0.764,1w
2023-03-07,chop,up,down,0,-6.0662,0.6693,1w
2023-03-16,chop,down,down,1,-9.5666,0.4253,1w
2023-03-27,chop,down,down,1,-12.7127,0.4013,1w
2023-04-05,chop,down,down,1,-8.5613,0.4333,1w
2023-04-17,chop,down,down,1,-2.7728,0.3067,1w
2023-04-26,chop,down,down,1,-12.9212,0.2907,1w
2023-05-05,chop,down,down,1,-5.3448,0.2347,1w
2023-05-16,chop,down,down,1,-5.0673,0.1867,1w
2023-05-25,chop,down,up,0,3.4362,0.1547,1w
2023-06-06,chop,down,down,1,-3.3651,0.1907,1w
2023-06-15,chop,down,up,0,12.998,0.2613,1w
2023-06-27,chop,down,up,0,13.1223,0.2013,1w
2023-07-07,chop,down,up,0,9.0739,0.2747,1w
2023-07-18,trending_bull,neutral,up,0,11.2359,0.5173,1w
2023-07-27,trending_bull,neutral,up,0,7.2886,0.4867,1w
2023-08-07,trending_bull,neutral,up,0,7.1511,0.5427,1w
2023-08-16,crisis,up,down,0,-0.6062,0.6173,1w
2023-08-25,chop,up,down,0,-3.6287,0.7227,1w
2023-09-06,chop,up,up,1,13.6988,0.6387,1w
2023-09-15,chop,up,up,1,13.363,0.696,1w
2023-09-26,chop,up,up,1,6.895,0.6653,1w
2023-10-05,chop,up,up,1,9.1213,0.7467,1w
2023-10-16,chop,up,up,1,1.5845,0.7467,1w
2023-10-25,chop,up,down,0,-1.2751,0.656,1w
2023-11-03,chop,up,down,0,-8.0408,0.744,1w
2023-11-14,chop,up,up,1,1.1459,0.6173,1w
2023-11-24,chop,up,down,0,-5.9867,0.5573,1w
2023-12-05,chop,up,down,0,-0.9006,0.6347,1w
2023-12-14,chop,up,down,0,-4.8684,0.588,1w
2023-12-26,chop,neutral,down,0,-1.0003,0.4947,1w
2024-01-05,chop,down,down,1,-11.7055,0.4453,1w
2024-01-17,high_volatility,down,down,1,-26.0335,0.408,1w
2024-01-26,high_volatility,down,down,1,-32.4552,0.392,1w
2024-02-06,chop,down,down,1,-22.5914,0.2187,1w
2024-02-15,trending_bear,down,down,1,-17.5146,0.168,1w
2024-02-27,trending_bear,down,down,1,-9.849,0.0893,1w
2024-03-07,trending_bear,down,down,1,-16.8244,0.0907,1w
2024-03-18,trending_bear,down,down,1,-16.0278,0.072,1w
2024-03-27,trending_bear,down,down,1,-2.8233,0.0733,1w
2024-04-08,trending_bear,down,up,0,4.2988,0.0427,1w
2024-04-17,trending_bear,down,up,0,15.2083,0.06,1w
2024-04-26,trending_bear,down,up,0,8.6082,0.096,1w
2024-05-07,chop,down,up,0,12.17,0.184,1w
2024-05-16,chop,down,up,0,7.1844,0.2747,1w
2024-05-28,chop,down,up,0,16.0141,0.4173,1w
2024-06-06,chop,neutral,up,0,13.719,0.4773,1w
2024-06-17,chop,neutral,up,0,4.763,0.536,1w
2024-06-27,trending_bull,up,up,1,8.6704,0.6533,1w
2024-07-09,trending_bull,up,down,0,-4.7254,0.752,1w
2024-07-18,trending_bull,up,neutral,0,-0.4214,0.768,1w
2024-07-29,trending_bull,up,down,0,-3.4466,0.788,1w
2024-08-07,trending_bear,up,up,1,3.6295,0.704,1w
2024-08-16,chop,up,up,1,2.2123,0.684,1w
2024-08-27,chop,up,down,0,-8.0932,0.6973,1w
2024-09-06,chop,up,up,1,2.3982,0.6053,1w
2024-09-17,chop,up,down,0,-7.0949,0.6173,1w
2024-09-26,chop,down,up,0,2.9799,0.3893,1w
2024-10-07,chop,neutral,up,0,25.5677,0.456,1w
2024-10-16,chop,down,up,0,20.6834,0.396,1w
2024-10-25,chop,down,up,0,36.599,0.412,1w
2024-11-05,high_volatility,up,up,1,4.3888,0.6573,1w
2024-11-14,trending_bull,up,up,1,6.2228,0.6053,1w
2024-11-25,trending_bull,up,up,1,2.3051,0.668,1w
