date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-10.1325,0.752,1w
2021-01-13,trending_bear,up,down,0,-4.2558,0.5907,1w
2021-01-25,trending_bear,down,down,1,-3.8089,0.3867,1w
2021-02-03,trending_bear,neutral,up,0,10.9134,0.4653,1w
2021-02-12,high_volatility,down,up,0,9.4433,0.376,1w
2021-02-24,trending_bear,down,up,0,24.9924,0.3333,1w
2021-03-05,crisis,up,up,1,9.1818,0.6133,1w
2021-03-16,crisis,neutral,up,0,14.9343,0.456,1w
2021-03-25,high_volatility,neutral,up,0,7.9825,0.4987,1w
2021-04-06,trending_bull,up,down,0,-5.8392,0.6053,1w
2021-04-15,trending_bull,up,down,0,-7.2386,0.7293,1w
2021-04-26,trending_bull,up,down,0,-8.5068,0.8,1w
2021-05-05,crisis,up,down,0,-1.5373,0.64,1w
2021-05-14,crisis,up,down,0,-7.5674,0.68,1w
2021-05-25,crisis,up,down,0,-5.3001,0.704,1w
2021-06-04,crisis,neutral,down,0,-7.7801,0.5267,1w
2021-06-15,crisis,neutral,down,0,-5.4357,0.4587,1w
2021-06-24,crisis,down,down,1,-4.9333,0.3733,1w
2021-07-06,high_volatility,down,down,1,-0.861,0.3147,1w
2021-07-15,chop,down,up,0,20.4951,0.2253,1w
2021-07-26,chop,down,up,0,13.6907,0.2827,1w
2021-08-04,chop,down,up,0,8.8476,0.3187,1w
2021-08-13,trending_bull,neutral,neutral,0,0.4768,0.524,1w
2021-08-24,trending_bull,neutral,down,0,-10.9499,0.5413,1w
2021-09-02,trending_bull,neutral,down,0,-11.4492,0.4707,1w
2021-09-14,chop,up,down,0,-16.378,0.6747,1w
2021-09-23,crisis,down,up,0,1.0086,0.4413,1w
2021-10-04,crisis,down,up,0,5.5275,0.404,1w
2021-10-13,high_volatility,neutral,up,0,14.8318,0.4987,1w
2021-10-22,high_volatility,neutral,up,0,10.2328,0.4907,1w
2021-11-02,chop,neutral,up,0,11.3867,0.5107,1w
2021-11-11,crisis,down,up,0,3.7072,0.436,1w
2021-11-22,chop,down,down,1,-3.1693,0.4427,1w
2021-12-02,chop,neutral,down,0,-8.7726,0.5427,1w
2021-12-13,chop,neutral,down,0,-5.0454,0.4827,1w
2021-12-22,chop,up,up,1,2.9006,0.5907,1w
2022-01-03,chop,neutral,up,0,11.3011,0.548,1w
2022-01-12,chop,up,up,1,2.1471,0.668,1w
2022-01-24,chop,up,neutral,0,0.4378,0.6173,1w
2022-02-02,chop,up,down,0,-1.1705,0.6973,1w
2022-02-11,chop,neutral,down,0,-0.9415,0.508,1w
2022-02-23,chop,neutral,down,0,-2.3901,0.4707,1w
2022-03-04,chop,neutral,down,0,-0.81,0.4707,1w
