date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-20.4139,0.6307,1w
2021-01-13,high_volatility,neutral,down,0,-9.4907,0.4707,1w
2021-01-25,crisis,down,up,0,4.4194,0.1867,1w
2021-02-03,crisis,down,up,0,2.3486,0.2093,1w
2021-02-12,high_volatility,down,down,1,-6.8371,0.2547,1w
2021-02-24,trending_bear,down,neutral,0,-0.4702,0.256,1w
2021-03-05,chop,down,up,0,1.0785,0.3653,1w
2021-03-16,high_volatility,down,up,0,2.9074,0.216,1w
2021-03-25,high_volatility,down,down,1,-10.2248,0.1907,1w
2021-04-06,chop,down,down,1,-21.2208,0.2947,1w
2021-04-15,chop,down,down,1,-25.7801,0.3027,1w
2021-04-26,crisis,down,down,1,-13.135,0.404,1w
2021-05-05,high_volatility,down,down,1,-7.7545,0.2933,1w
2021-05-14,high_volatility,down,down,1,-12.8392,0.236,1w
2021-05-25,trending_bear,down,down,1,-6.3602,0.296,1w
2021-06-04,trending_bear,down,down,1,-5.0691,0.256,1w
2021-06-15,trending_bear,down,up,0,6.9126,0.2253,1w
2021-06-24,trending_bear,down,up,0,4.5309,0.2253,1w
2021-07-06,trending_bear,down,up,0,17.9352,0.1867,1w
2021-07-15,chop,down,up,0,13.0144,0.2173,1w
2021-07-26,chop,down,neutral,0,0.0092,0.32,1w
2021-08-04,chop,neutral,down,0,-14.9922,0.4547,1w
2021-08-13,chop,neutral,down,0,-11.2734,0.5453,1w
2021-08-24,chop,neutral,down,0,-13.3306,0.4627,1w
2021-09-02,chop,down,down,1,-5.0621,0.396,1w
2021-09-14,chop,up,down,0,-11.595,0.5893,1w
2021-09-23,chop,down,up,0,14.6809,0.3507,1w
2021-10-04,chop,down,up,0,22.4869,0.388,1w
2021-10-13,chop,down,up,0,35.4449,0.3173,1w
2021-10-22,chop,neutral,up,0,18.1959,0.4787,1w
2021-11-02,trending_bull,neutral,up,0,16.2453,0.4907,1w
2021-11-11,trending_bull,up,up,1,3.3047,0.556,1w
2021-11-22,trending_bull,up,up,1,1.24,0.6333,1w
2021-12-02,trending_bull,up,down,0,-2.4316,0.7533,1w
2021-12-13,trending_bull,up,down,0,-8.8024,0.736,1w
2021-12-22,trending_bull,up,down,0,-2.1357,0.7853,1w
2022-01-03,chop,up,down,0,-3.3704,0.752,1w
2022-01-12,chop,up,down,0,-5.3187,0.768,1w
2022-01-24,chop,up,down,0,-3.6505,0.668,1w
2022-02-02,chop,up,down,0,-7.7862,0.5907,1w
2022-02-11,chop,down,down,1,-2.8662,0.3467,1w
2022-02-23,chop,down,up,0,10.9803,0.296,1w
2022-03-04,trending_bear,down,up,0,10.4027,0.24,1w
2022-03-15,chop,down,up,0,11.027,0.208,1w
2022-03-24,chop,down,up,0,16.7874,0.416,1w
2022-04-04,chop,down,up,0,17.5278,0.376,1w
