date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-5.1997,0.764,1w
2021-01-13,high_volatility,up,down,0,-4.587,0.6933,1w
2021-01-25,crisis,down,down,1,-2.3057,0.3507,1w
2021-02-03,crisis,down,down,1,-4.6967,0.396,1w
2021-02-12,high_volatility,down,down,1,-5.3193,0.376,1w
2021-02-24,high_volatility,down,up,0,5.646,0.2667,1w
2021-03-05,crisis,down,up,0,5.1505,0.3467,1w
2021-03-16,crisis,down,up,0,3.1473,0.2253,1w
2021-03-25,high_volatility,down,down,1,-5.4337,0.3507,1w
2021-04-06,chop,down,down,1,-8.86,0.3493,1w
2021-04-15,chop,down,down,1,-11.5431,0.304,1w
2021-04-26,chop,down,down,1,-7.3905,0.3907,1w
2021-05-05,high_volatility,down,down,1,-2.6652,0.2853,1w
2021-05-14,crisis,down,down,1,-6.7204,0.2613,1w
2021-05-25,crisis,down,down,1,-3.6476,0.368,1w
2021-06-04,high_volatility,down,down,1,-6.6137,0.4067,1w
2021-06-15,high_volatility,down,up,0,1.5369,0.2613,1w
2021-06-24,high_volatility,down,up,0,1.4413,0.2133,1w
2021-07-06,high_volatility,down,up,0,8.1603,0.2133,1w
2021-07-15,chop,down,up,0,10.8801,0.2253,1w
2021-07-26,chop,down,up,0,5.4997,0.3467,1w
2021-08-04,chop,down,down,1,-4.2707,0.408,1w
2021-08-13,trending_bull,up,down,0,-8.35,0.5827,1w
2021-08-24,trending_bull,up,down,0,-9.172,0.5573,1w
2021-09-02,chop,down,down,1,-6.1482,0.3893,1w
2021-09-14,chop,up,down,0,-9.2836,0.5733,1w
2021-09-23,chop,down,up,0,1.7038,0.3733,1w
2021-10-04,trending_bear,down,up,0,1.8028,0.3733,1w
2021-10-13,trending_bear,down,up,0,7.8474,0.312,1w
2021-10-22,high_volatility,down,up,0,4.161,0.3813,1w
2021-11-02,chop,down,up,0,8.7153,0.3293,1w
2021-11-11,high_volatility,down,neutral,0,0.095,0.332,1w
2021-11-22,chop,down,down,1,-3.0278,0.3867,1w
2021-12-02,chop,neutral,down,0,-6.0009,0.5387,1w
2021-12-13,chop,neutral,down,0,-0.7985,0.4907,1w
2021-12-22,chop,up,up,1,5.1098,0.5587,1w
2022-01-03,chop,neutral,up,0,8.599,0.484,1w
2022-01-12,chop,up,up,1,3.5992,0.6213,1w
2022-01-24,chop,up,neutral,0,0.0597,0.584,1w
2022-02-02,chop,up,down,0,-1.8849,0.6933,1w
2022-02-11,chop,up,down,0,-5.6445,0.5573,1w
2022-02-23,chop,neutral,neutral,0,0.252,0.4653,1w
2022-03-04,chop,down,up,0,3.0034,0.44,1w
2022-03-15,chop,down,up,0,4.5473,0.376,1w
