date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,down,0,-9.7462,0.4853,1w
2021-01-13,chop,down,down,1,-5.8104,0.4093,1w
2021-01-25,chop,down,down,1,-2.4165,0.216,1w
2021-02-03,crisis,down,neutral,0,0.2384,0.224,1w
2021-02-12,high_volatility,down,down,1,-4.3053,0.2,1w
2021-02-24,chop,down,up,0,5.6586,0.2093,1w
2021-03-05,high_volatility,down,up,0,4.6904,0.32,1w
2021-03-16,chop,down,up,0,0.9028,0.2693,1w
2021-03-25,chop,down,down,1,-6.3933,0.3267,1w
2021-04-06,chop,down,down,1,-9.3406,0.3267,1w
2021-04-15,chop,down,down,1,-14.0909,0.304,1w
2021-04-26,chop,down,down,1,-8.0681,0.3813,1w
2021-05-05,chop,down,down,1,-2.4597,0.3507,1w
2021-05-14,high_volatility,down,down,1,-4.1677,0.2347,1w
2021-05-25,high_volatility,down,down,1,-3.0145,0.3467,1w
2021-06-04,chop,down,down,1,-7.3637,0.3867,1w
2021-06-15,chop,down,neutral,0,0.1062,0.2747,1w
2021-06-24,chop,down,up,0,3.0556,0.2173,1w
2021-07-06,chop,down,up,0,10.6091,0.2253,1w
2021-07-15,chop,down,up,0,15.7548,0.2347,1w
2021-07-26,chop,down,up,0,6.4797,0.372,1w
2021-08-04,chop,down,down,1,-4.1458,0.4293,1w
2021-08-13,trending_bull,up,down,0,-9.3599,0.6573,1w
2021-08-24,trending_bull,up,down,0,-10.9246,0.6053,1w
2021-09-02,chop,down,down,1,-5.5107,0.4093,1w
2021-09-14,chop,up,down,0,-8.1082,0.588,1w
2021-09-23,chop,down,up,0,3.7555,0.412,1w
2021-10-04,chop,down,up,0,4.3068,0.4427,1w
2021-10-13,chop,down,up,0,8.1564,0.408,1w
2021-10-22,chop,down,up,0,5.3736,0.4067,1w
2021-11-02,chop,down,up,0,5.3355,0.412,1w
2021-11-11,chop,down,down,1,-3.3066,0.3507,1w
2021-11-22,chop,down,down,1,-4.3303,0.3893,1w
2021-12-02,chop,neutral,down,0,-7.365,0.5293,1w
2021-12-13,chop,down,up,0,2.4534,0.448,1w
2021-12-22,chop,up,up,1,7.6786,0.56,1w
2022-01-03,chop,down,up,0,12.9643,0.4387,1w
2022-01-12,chop,up,up,1,2.9671,0.6053,1w
2022-01-24,chop,up,up,1,0.9763,0.6027,1w
2022-02-02,chop,up,down,0,-4.2083,0.672,1w
2022-02-11,chop,neutral,down,0,-9.8177,0.532,1w
2022-02-23,chop,neutral,down,0,-8.0455,0.5187,1w
2022-03-04,chop,neutral,down,0,-5.6367,0.4707,1w
2022-03-15,chop,down,up,0,0.6712,0.3653,1w
2022-03-24,chop,down,neutral,0,-0.3685,0.436,1w
2022-04-04,chop,neutral,down,0,-1.8603,0.4653,1w
2022-04-13,chop,down,down,1,-2.2094,0.344,1w
2022-04-25,chop,down,up,0,2.4214,0.296,1w
2022-05-04,chop,down,up,0,2.9407,0.1787,1w
2022-05-13,chop,down,up,0,8.2104,0.26,1w
2022-05-24,chop,down,up,0,4.0653,0.3147,1w
