date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-6.7846,0.588,1w
2021-01-13,chop,neutral,down,0,-6.0162,0.4707,1w
2021-01-25,high_volatility,down,down,1,-9.5361,0.3147,1w
2021-02-03,high_volatility,down,down,1,-2.689,0.3067,1w
2021-02-12,high_volatility,down,up,0,4.617,0.2187,1w
2021-02-24,trending_bear,down,up,0,15.6975,0.1653,1w
2021-03-05,chop,down,up,0,9.081,0.2853,1w
2021-03-16,chop,down,up,0,6.9202,0.296,1w
2021-03-25,high_volatility,neutral,up,0,2.5826,0.48,1w
2021-04-06,trending_bull,neutral,down,0,-0.9434,0.4653,1w
2021-04-15,trending_bull,up,down,0,-9.2234,0.5627,1w
2021-04-26,trending_bull,up,down,0,-2.28,0.584,1w
2021-05-05,high_volatility,neutral,down,0,-1.3513,0.548,1w
2021-05-14,crisis,up,down,0,-5.3946,0.58,1w
2021-05-25,high_volatility,up,down,0,-10.7056,0.696,1w
2021-06-04,chop,up,down,0,-10.1499,0.6067,1w
2021-06-15,chop,down,neutral,0,-0.2333,0.3893,1w
2021-06-24,trending_bear,down,up,0,3.7873,0.2693,1w
2021-07-06,trending_bear,down,up,0,2.0925,0.2827,1w
2021-07-15,chop,down,up,0,6.2026,0.2413,1w
2021-07-26,chop,down,neutral,0,0.3423,0.3453,1w
2021-08-04,chop,down,down,1,-4.2239,0.296,1w
2021-08-13,chop,neutral,down,0,-10.1648,0.4653,1w
2021-08-24,chop,down,down,1,-11.6788,0.3867,1w
2021-09-02,chop,down,down,1,-5.3838,0.2933,1w
2021-09-14,chop,down,down,1,-8.2558,0.4093,1w
2021-09-23,chop,down,up,0,1.1851,0.3467,1w
2021-10-04,trending_bear,down,down,1,-1.4717,0.296,1w
2021-10-13,chop,down,up,0,12.5627,0.2747,1w
2021-10-22,chop,down,up,0,10.3473,0.292,1w
2021-11-02,chop,down,up,0,10.0955,0.2947,1w
2021-11-11,chop,down,down,1,-3.6271,0.3813,1w
2021-11-22,chop,down,down,1,-1.7814,0.3733,1w
2021-12-02,chop,neutral,down,0,-3.0378,0.5427,1w
2021-12-13,chop,neutral,up,0,4.1219,0.4907,1w
2021-12-22,chop,up,up,1,1.2262,0.5693,1w
2022-01-03,chop,neutral,neutral,0,-0.4841,0.5373,1w
2022-01-12,trending_bull,up,down,0,-2.6347,0.668,1w
2022-01-24,chop,up,down,0,-1.3611,0.6053,1w
2022-02-02,chop,up,down,0,-2.5126,0.624,1w
2022-02-11,chop,down,down,1,-5.6066,0.4067,1w
2022-02-23,chop,down,down,1,-7.0418,0.3987,1w
2022-03-04,chop,down,down,1,-6.2505,0.408,1w
2022-03-15,chop,down,down,1,-2.0358,0.3467,1w
2022-03-24,trending_bear,down,neutral,0,-0.2806,0.3453,1w
2022-04-04,chop,down,up,0,2.5801,0.2693,1w
2022-04-13,chop,down,down,1,-1.4777,0.2747,1w
2022-04-25,chop,down,up,0,1.722,0.2987,1w
2022-05-04,chop,down,down,1,-3.8278,0.2747,1w
2022-05-13,chop,down,up,0,1.7991,0.32,1w
2022-05-24,chop,down,up,0,1.9309,0.352,1w
2022-06-03,chop,down,up,0,4.1334,0.3587,1w
2022-06-14,chop,down,up,0,5.0503,0.4213,1w
2022-06-24,chop,neutral,up,0,9.1245,0.48,1w
2022-07-06,chop,up,up,1,5.1645,0.62,1w
2022-07-15,trending_bull,up,up,1,11.4752,0.58,1w
2022-07-26,trending_bull,up,up,1,6.5677,0.7107,1w
2022-08-04,trending_bull,up,up,1,3.2298,0.6133,1w
2022-08-15,trending_bull,up,down,0,-0.8876,0.836,1w
2022-08-24,trending_bull,up,down,0,-1.731,0.8053,1w
2022-09-02,trending_bull,up,up,1,2.1107,0.768,1w
2022-09-14,trending_bull,up,up,1,4.6967,0.7867,1w
2022-09-23,chop,up,up,1,0.7841,0.764,1w
2022-10-04,chop,up,neutral,0,-0.1692,0.7107,1w
2022-10-13,chop,up,down,0,-2.9499,0.7307,1w
2022-10-24,chop,up,down,0,-6.4735,0.5733,1w
2022-11-02,chop,neutral,down,0,-3.4784,0.548,1w
2022-11-11,chop,down,down,1,-5.8884,0.4253,1w
2022-11-22,crisis,down,up,0,3.8097,0.3307,1w
2022-12-02,chop,down,down,1,-0.948,0.424,1w
2022-12-13,chop,down,up,0,2.4593,0.4173,1w
2022-12-22,chop,down,up,0,5.8746,0.4173,1w
2023-01-04,chop,down,up,0,8.2319,0.3653,1w
2023-01-13,chop,down,up,0,10.6179,0.3853,1w
2023-01-25,chop,neutral,up,0,6.9863,0.5013,1w
2023-02-03,trending_bull,neutral,up,0,5.2214,0.5013,1w
2023-02-14,trending_bull,up,up,1,1.337,0.5533,1w
2023-02-24,trending_bull,up,up,1,2.0979,0.8267,1w
2023-03-07,trending_bull,up,down,0,-0.5446,0.784,1w
2023-03-16,trending_bull,up,down,0,-1.9876,0.7853,1w
2023-03-27,trending_bull,up,down,0,-5.7216,0.836,1w
2023-04-05,trending_bull,up,up,1,2.0257,0.8213,1w
2023-04-17,chop,up,down,0,-3.6791,0.7293,1w
2023-04-26,chop,up,down,0,-2.8389,0.588,1w
2023-05-05,chop,up,down,0,-2.1523,0.6307,1w
2023-05-16,trending_bear,down,up,0,0.5382,0.28,1w
2023-05-25,trending_bear,down,up,0,1.1345,0.3333,1w
2023-06-06,trending_bear,down,neutral,0,-0.4628,0.292,1w
2023-06-15,chop,down,up,0,6.2598,0.296,1w
2023-06-27,chop,down,up,0,4.8915,0.2373,1w
2023-07-07,chop,down,up,0,3.3206,0.312,1w
2023-07-18,chop,up,down,0,-1.2286,0.5587,1w
2023-07-27,chop,neutral,up,0,2.9081,0.4827,1w
2023-08-07,high_volatility,down,up,0,3.242,0.4467,1w
2023-08-16,chop,up,down,0,-1.4431,0.5907,1w
2023-08-25,chop,up,up,1,2.7337,0.6413,1w
2023-09-06,chop,neutral,up,0,18.1227,0.5467,1w
2023-09-15,chop,neutral,up,0,14.2493,0.52,1w
2023-09-26,chop,up,up,1,9.7437,0.6627,1w
2023-10-05,trending_bull,up,up,1,1.5632,0.8187,1w
2023-10-16,trending_bull,up,up,1,5.8953,0.684,1w
2023-10-25,trending_bull,up,down,0,-2.2488,0.792,1w
2023-11-03,trending_bull,up,down,0,-2.3502,0.868,1w
2023-11-14,trending_bull,up,down,0,-2.5745,0.8587,1w
2023-11-24,crisis,up,down,0,-2.369,0.62,1w
2023-12-05,chop,up,down,0,-3.5357,0.7293,1w
2023-12-14,chop,up,up,1,0.7942,0.6867,1w
2023-12-26,chop,up,up,1,0.8441,0.564,1w
2024-01-05,chop,down,up,0,1.2362,0.3813,1w
2024-01-17,chop,down,down,1,-6.3407,0.412,1w
2024-01-26,chop,down,down,1,-7.5827,0.4093,1w
2024-02-06,high_volatility,down,down,1,-7.5005,0.3507,1w
2024-02-15,chop,down,down,1,-4.4814,0.2853,1w
2024-02-27,chop,down,down,1,-5.3782,0.212,1w
2024-03-07,chop,down,down,1,-9.3149,0.2013,1w
2024-03-18,trending_bear,down,down,1,-3.8313,0.2253,1w
2024-03-27,chop,down,up,0,2.4981,0.2013,1w
2024-04-08,crisis,down,up,0,3.7203,0.1787,1w
2024-04-17,high_volatility,down,up,0,12.4987,0.2173,1w
2024-04-26,chop,down,up,0,3.0712,0.304,1w
2024-05-07,chop,down,up,0,5.3631,0.3467,1w
2024-05-16,chop,neutral,neutral,0,-0.3574,0.4653,1w
2024-05-28,chop,neutral,up,0,4.0776,0.46,1w
2024-06-06,chop,neutral,up,0,6.8565,0.5467,1w
2024-06-17,chop,neutral,up,0,7.7437,0.5467,1w
2024-06-27,chop,up,up,1,6.5963,0.5987,1w
2024-07-09,chop,up,up,1,9.6345,0.7307,1w
2024-07-18,trending_bull,up,up,1,5.9667,0.7693,1w
2024-07-29,trending_bull,up,up,1,3.778,0.7293,1w
2024-08-07,trending_bull,up,down,0,-2.5885,0.8427,1w
2024-08-16,trending_bull,up,up,1,2.3309,0.76,1w
2024-08-27,trending_bull,up,up,1,1.525,0.7747,1w
2024-09-06,chop,up,up,1,8.7416,0.7307,1w
2024-09-17,chop,up,up,1,4.1697,0.7973,1w
2024-09-26,chop,up,up,1,5.6386,0.724,1w
2024-10-07,trending_bull,up,down,0,-1.2545,0.78,1w
2024-10-16,trending_bull,up,down,0,-7.3691,0.696,1w
2024-10-25,crisis,up,down,0,-14.2081,0.668,1w
2024-11-05,trending_bull,neutral,down,0,-8.4519,0.54,1w
2024-11-14,chop,neutral,down,0,-11.9795,0.5173,1w
2024-11-25,high_volatility,down,up,0,0.591,0.3733,1w
