date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-4.8008,0.7693,1w
2021-01-13,crisis,up,down,0,-5.3737,0.7,1w
2021-01-25,crisis,neutral,down,0,-6.4799,0.4947,1w
2021-02-03,crisis,down,up,0,2.9993,0.448,1w
2021-02-12,high_volatility,down,up,0,2.832,0.412,1w
2021-02-24,chop,down,up,0,11.3477,0.3813,1w
2021-03-05,crisis,up,down,0,-10.959,0.5733,1w
2021-03-16,crisis,down,down,1,-15.4538,0.412,1w
2021-03-25,high_volatility,up,down,0,-18.7536,0.58,1w
2021-04-06,crisis,down,down,1,-2.501,0.3467,1w
2021-04-15,high_volatility,down,up,0,0.6153,0.2547,1w
2021-04-26,trending_bear,down,down,1,-4.4457,0.26,1w
2021-05-05,trending_bear,down,neutral,0,-0.3366,0.3147,1w
2021-05-14,trending_bear,down,down,1,-9.0796,0.3547,1w
2021-05-25,chop,down,down,1,-2.7418,0.336,1w
2021-06-04,chop,down,down,1,-10.9699,0.3253,1w
2021-06-15,chop,down,up,0,2.5586,0.256,1w
2021-06-24,chop,down,up,0,6.8887,0.184,1w
2021-07-06,chop,down,up,0,10.5143,0.336,1w
2021-07-15,chop,down,up,0,16.7013,0.412,1w
2021-07-26,chop,neutral,up,0,11.6865,0.4653,1w
2021-08-04,chop,neutral,down,0,-4.0952,0.4707,1w
2021-08-13,trending_bull,up,down,0,-11.9147,0.5907,1w
2021-08-24,trending_bull,up,down,0,-13.2803,0.6987,1w
2021-09-02,trending_bear,down,down,1,-3.9765,0.412,1w
2021-09-14,trending_bear,up,down,0,-3.9909,0.5613,1w
2021-09-23,trending_bear,neutral,up,0,2.5813,0.4827,1w
2021-10-04,trending_bear,neutral,up,0,2.7316,0.4707,1w
2021-10-13,trending_bear,down,up,0,10.0388,0.448,1w
2021-10-22,trending_bear,down,up,0,9.5733,0.4253,1w
2021-11-02,chop,down,up,0,9.323,0.3893,1w
2021-11-11,chop,down,up,0,0.8144,0.388,1w
2021-11-22,chop,down,up,0,0.6162,0.4173,1w
2021-12-02,chop,up,down,0,-5.6212,0.58,1w
2021-12-13,chop,up,down,0,-2.4966,0.5773,1w
2021-12-22,chop,up,up,1,8.7509,0.5907,1w
2022-01-03,chop,neutral,up,0,12.7843,0.5053,1w
2022-01-12,chop,up,up,1,8.7491,0.5787,1w
2022-01-24,chop,up,down,0,-1.7318,0.656,1w
2022-02-02,trending_bull,up,down,0,-6.0717,0.6733,1w
2022-02-11,trending_bull,neutral,down,0,-13.1618,0.5173,1w
2022-02-23,chop,neutral,down,0,-9.502,0.5387,1w
2022-03-04,chop,neutral,down,0,-5.4632,0.4907,1w
2022-03-15,chop,down,up,0,2.9588,0.3307,1w
2022-03-24,trending_bear,down,up,0,1.9377,0.3733,1w
2022-04-04,chop,down,up,0,2.7664,0.4253,1w
2022-04-13,chop,neutral,neutral,0,-0.3915,0.4653,1w
2022-04-25,chop,down,up,0,1.8301,0.3027,1w
2022-05-04,chop,down,down,1,-5.1451,0.256,1w
2022-05-13,chop,down,up,0,1.9646,0.2853,1w
2022-05-24,chop,down,up,0,3.2579,0.3067,1w
2022-06-03,chop,down,up,0,4.3661,0.3507,1w
2022-06-14,chop,neutral,up,0,3.6455,0.4933,1w
2022-06-24,chop,neutral,up,0,13.4586,0.5453,1w
2022-07-06,chop,up,up,1,15.2075,0.564,1w
2022-07-15,chop,neutral,up,0,6.2602,0.5387,1w
2022-07-26,trending_bull,up,down,0,-5.1777,0.8093,1w
2022-08-04,trending_bull,up,down,0,-9.6611,0.7347,1w
2022-08-15,trending_bull,up,down,0,-1.0483,0.7533,1w
2022-08-24,trending_bear,up,up,1,1.4921,0.668,1w
2022-09-02,trending_bear,up,up,1,0.9376,0.6333,1w
2022-09-14,trending_bear,up,down,0,-1.5178,0.6107,1w
2022-09-23,chop,up,down,0,-7.4056,0.588,1w
2022-10-04,chop,neutral,down,0,-7.3294,0.548,1w
2022-10-13,chop,neutral,down,0,-11.5521,0.4973,1w
2022-10-24,trending_bear,down,up,0,6.7842,0.2307,1w
2022-11-02,trending_bear,down,up,0,8.5421,0.1867,1w
2022-11-11,trending_bear,down,up,0,9.7911,0.2933,1w
2022-11-22,chop,down,up,0,10.1885,0.4067,1w
2022-12-02,chop,neutral,neutral,0,0.3344,0.5053,1w
