date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,up,0,1.1565,0.32,1w
2021-01-13,chop,down,up,0,8.2481,0.4293,1w
2021-01-25,chop,down,up,0,11.1111,0.3973,1w
2021-02-03,chop,neutral,down,0,-6.5173,0.4867,1w
2021-02-12,chop,neutral,down,0,-16.0079,0.5053,1w
2021-02-24,chop,neutral,down,0,-4.698,0.5293,1w
2021-03-05,chop,neutral,up,0,12.0363,0.4653,1w
2021-03-16,trending_bear,down,down,1,-10.9729,0.388,1w
2021-03-25,chop,down,down,1,-10.8726,0.4453,1w
2021-04-06,chop,neutral,down,0,-22.5477,0.48,1w
2021-04-15,chop,down,down,1,-24.5669,0.3253,1w
2021-04-26,chop,down,down,1,-21.6692,0.4147,1w
2021-05-05,chop,down,down,1,-8.1152,0.2933,1w
2021-05-14,trending_bear,down,down,1,-16.004,0.18,1w
2021-05-25,trending_bear,down,down,1,-17.0905,0.2307,1w
2021-06-04,chop,down,down,1,-18.1471,0.3213,1w
2021-06-15,trending_bear,down,down,1,-6.8316,0.1707,1w
2021-06-24,trending_bear,down,down,1,-2.0882,0.1427,1w
2021-07-06,trending_bear,down,up,0,3.3694,0.156,1w
2021-07-15,trending_bear,down,up,0,12.8395,0.1693,1w
2021-07-26,chop,down,neutral,0,-0.1233,0.1867,1w
2021-08-04,chop,down,down,1,-11.2903,0.268,1w
2021-08-13,chop,down,down,1,-12.9771,0.3933,1w
2021-08-24,chop,down,down,1,-12.9902,0.312,1w
2021-09-02,chop,down,down,1,-12.9751,0.2253,1w
2021-09-14,chop,down,down,1,-18.9223,0.4093,1w
2021-09-23,chop,down,up,0,3.6179,0.292,1w
2021-10-04,chop,down,up,0,11.5438,0.2587,1w
2021-10-13,trending_bear,down,up,0,20.5397,0.2733,1w
2021-10-22,chop,down,up,0,2.6525,0.3547,1w
2021-11-02,chop,down,up,0,2.9754,0.3893,1w
2021-11-11,chop,down,down,1,-5.1788,0.3547,1w
2021-11-22,chop,down,down,1,-15.5128,0.4173,1w
2021-12-02,chop,neutral,down,0,-18.136,0.5133,1w
2021-12-13,chop,down,up,0,14.3662,0.428,1w
2021-12-22,chop,down,up,0,32.7586,0.4213,1w
2022-01-03,trending_bear,down,up,0,29.8592,0.3733,1w
2022-01-12,trending_bull,up,up,1,3.6408,0.656,1w
2022-01-24,trending_bull,up,down,0,-1.6647,0.5853,1w
2022-02-02,trending_bull,up,down,0,-3.7801,0.6213,1w
2022-02-11,trending_bull,neutral,down,0,-20.4598,0.52,1w
2022-02-23,trending_bull,neutral,down,0,-17.7914,0.528,1w
2022-03-04,chop,neutral,down,0,-13.7255,0.5267,1w
2022-03-15,chop,down,down,1,-4.3662,0.4467,1w
2022-03-24,trending_bear,neutral,down,0,-0.5865,0.52,1w
2022-04-04,chop,neutral,down,0,-1.4493,0.4653,1w
2022-04-13,chop,down,up,0,1.9118,0.2693,1w
2022-04-25,chop,down,down,1,-1.7442,0.2493,1w
2022-05-04,chop,down,down,1,-0.5698,0.1733,1w
2022-05-13,chop,down,up,0,17.9148,0.188,1w
2022-05-24,chop,down,up,0,17.8624,0.2347,1w
2022-06-03,chop,down,up,0,17.027,0.2747,1w
2022-06-14,chop,up,neutral,0,-0.5,0.6227,1w
2022-06-24,trending_bull,up,down,0,-10.9589,0.692,1w
2022-07-06,trending_bull,up,down,0,-25.196,0.724,1w
2022-07-15,trending_bull,up,down,0,-22.542,0.6347,1w
2022-07-26,trending_bear,up,down,0,-20.2597,0.5907,1w
2022-08-04,trending_bear,down,down,1,-8.9645,0.4213,1w
2022-08-15,trending_bear,down,down,1,-19.9688,0.416,1w
2022-08-24,trending_bear,down,down,1,-26.5677,0.3733,1w
2022-09-02,trending_bear,down,down,1,-15.3846,0.244,1w
2022-09-14,trending_bear,down,down,1,-9.8592,0.132,1w
2022-09-23,trending_bear,down,down,1,-1.8223,0.0373,1w
2022-10-04,trending_bear,down,down,1,-16.4179,0.0427,1w
