date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,neutral,0,-0.3847,0.6693,1w
2021-01-13,chop,up,neutral,0,-0.2179,0.6747,1w
2021-01-25,chop,neutral,neutral,0,-0.4882,0.4853,1w
2021-02-03,high_volatility,up,down,0,-1.8571,0.5573,1w
2021-02-12,chop,up,up,1,3.0303,0.58,1w
2021-02-24,chop,neutral,up,0,8.1379,0.4907,1w
2021-03-05,crisis,up,up,1,5.1393,0.632,1w
2021-03-16,crisis,neutral,up,0,2.1346,0.5133,1w
2021-03-25,high_volatility,up,up,1,3.5951,0.5613,1w
2021-04-06,trending_bull,up,up,1,1.0313,0.5627,1w
2021-04-15,high_volatility,up,down,0,-1.5443,0.6,1w
2021-04-26,high_volatility,up,down,0,-2.9122,0.704,1w
2021-05-05,high_volatility,neutral,down,0,-1.0609,0.544,1w
2021-05-14,high_volatility,up,down,0,-2.7947,0.592,1w
2021-05-25,high_volatility,up,down,0,-0.9592,0.696,1w
2021-06-04,crisis,up,up,1,0.975,0.58,1w
2021-06-15,high_volatility,down,up,0,4.4533,0.38,1w
2021-06-24,crisis,neutral,down,0,-5.3925,0.528,1w
2021-07-06,crisis,neutral,down,0,-2.0808,0.4907,1w
2021-07-15,chop,down,down,1,-7.2547,0.392,1w
2021-07-26,chop,down,down,1,-3.7044,0.2747,1w
2021-08-04,chop,down,down,1,-3.1079,0.3787,1w
2021-08-13,chop,down,down,1,-2.2133,0.2933,1w
2021-08-24,chop,down,neutral,0,0.3624,0.2293,1w
2021-09-02,trending_bear,down,neutral,0,0.2827,0.296,1w
2021-09-14,chop,down,down,1,-1.1964,0.3573,1w
2021-09-23,chop,down,up,0,1.1936,0.2267,1w
2021-10-04,chop,down,up,0,4.5103,0.2253,1w
2021-10-13,chop,down,up,0,5.6434,0.2267,1w
2021-10-22,chop,down,up,0,3.5828,0.3827,1w
2021-11-02,chop,neutral,up,0,5.5528,0.488,1w
2021-11-11,chop,up,up,1,5.7535,0.5907,1w
2021-11-22,chop,up,neutral,0,0.4864,0.6173,1w
2021-12-02,chop,up,neutral,0,-0.3857,0.7133,1w
2021-12-13,chop,up,down,0,-2.9072,0.6787,1w
2021-12-22,chop,up,down,0,-4.9257,0.6533,1w
2022-01-03,chop,up,down,0,-8.0997,0.6787,1w
2022-01-12,chop,up,down,0,-6.1581,0.6173,1w
2022-01-24,chop,down,down,1,-6.2802,0.4067,1w
2022-02-02,trending_bear,down,down,1,-4.8181,0.376,1w
2022-02-11,trending_bear,down,down,1,-4.0606,0.336,1w
2022-02-23,trending_bear,down,down,1,-2.1286,0.1653,1w
2022-03-04,trending_bear,down,up,0,2.8555,0.1373,1w
2022-03-15,trending_bear,down,up,0,7.6673,0.116,1w
2022-03-24,trending_bear,down,up,0,7.7495,0.124,1w
2022-04-04,chop,down,down,1,-2.1013,0.1533,1w
2022-04-13,trending_bull,down,down,1,-3.6941,0.3507,1w
2022-04-25,trending_bull,down,down,1,-2.9382,0.4013,1w
2022-05-04,chop,down,down,1,-1.9458,0.4213,1w
2022-05-13,chop,down,up,0,2.1583,0.42,1w
2022-05-24,chop,neutral,up,0,5.9711,0.4787,1w
2022-06-03,chop,neutral,up,0,2.1621,0.5467,1w
2022-06-14,chop,up,down,0,-2.8461,0.6027,1w
2022-06-24,chop,up,up,1,5.775,0.6587,1w
2022-07-06,chop,down,up,0,6.1476,0.3707,1w
2022-07-15,chop,down,up,0,8.7263,0.3067,1w
2022-07-26,chop,up,down,0,-4.9514,0.6347,1w
2022-08-04,high_volatility,up,down,0,-6.5011,0.5733,1w
2022-08-15,high_volatility,up,down,0,-4.3281,0.668,1w
2022-08-24,crisis,up,down,0,-3.603,0.6067,1w
2022-09-02,high_volatility,neutral,down,0,-1.5758,0.5053,1w
2022-09-14,chop,neutral,down,0,-2.8492,0.4693,1w
2022-09-23,chop,down,down,1,-4.8988,0.4213,1w
2022-10-04,trending_bear,down,down,1,-4.391,0.4093,1w
2022-10-13,trending_bear,down,down,1,-6.2845,0.428,1w
2022-10-24,trending_bear,down,neutral,0,0.302,0.148,1w
