date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-5.9641,0.3467,1w
2021-01-13,chop,up,down,0,-7.4151,0.5587,1w
2021-01-25,crisis,down,up,0,4.774,0.1907,1w
2021-02-03,crisis,down,down,1,-7.7698,0.26,1w
2021-02-12,high_volatility,down,down,1,-15.4301,0.3467,1w
2021-02-24,chop,down,down,1,-5.9923,0.336,1w
2021-03-05,crisis,down,up,0,0.6771,0.2347,1w
2021-03-16,crisis,down,neutral,0,0.0264,0.216,1w
2021-03-25,chop,down,down,1,-9.1975,0.312,1w
2021-04-06,chop,down,down,1,-8.8059,0.2347,1w
2021-04-15,chop,down,down,1,-7.2741,0.168,1w
2021-04-26,chop,down,down,1,-1.7117,0.2747,1w
2021-05-05,trending_bear,down,up,0,3.8552,0.2107,1w
2021-05-14,trending_bear,down,down,1,-2.6031,0.152,1w
2021-05-25,chop,down,down,1,-9.8449,0.2493,1w
2021-06-04,chop,down,down,1,-12.7103,0.4467,1w
2021-06-15,chop,down,down,1,-4.4755,0.2853,1w
2021-06-24,trending_bear,down,down,1,-0.9212,0.1867,1w
2021-07-06,trending_bear,down,up,0,1.5372,0.2253,1w
2021-07-15,trending_bear,down,up,0,8.1275,0.2413,1w
2021-07-26,chop,down,up,0,1.8515,0.344,1w
2021-08-04,chop,down,up,0,1.9135,0.2987,1w
2021-08-13,chop,neutral,down,0,-4.9567,0.5173,1w
2021-08-24,chop,down,down,1,-3.9637,0.3253,1w
2021-09-02,chop,down,down,1,-5.259,0.2693,1w
2021-09-14,chop,neutral,down,0,-9.975,0.5107,1w
2021-09-23,chop,down,up,0,12.9958,0.3787,1w
2021-10-04,chop,down,up,0,14.6551,0.392,1w
2021-10-13,chop,down,up,0,23.5073,0.3347,1w
2021-10-22,chop,up,up,1,8.7188,0.5853,1w
2021-11-02,trending_bull,up,up,1,7.3009,0.6627,1w
2021-11-11,trending_bull,up,down,0,-0.8056,0.6133,1w
2021-11-22,trending_bull,up,down,0,-2.1327,0.6707,1w
2021-12-02,trending_bull,up,neutral,0,-0.0296,0.7267,1w
2021-12-13,trending_bull,up,up,1,4.8034,0.6893,1w
2021-12-22,chop,up,up,1,6.7447,0.7467,1w
2022-01-03,chop,up,up,1,2.6296,0.7547,1w
2022-01-12,chop,up,neutral,0,-0.3077,0.8747,1w
2022-01-24,chop,up,neutral,0,0.3953,0.7307,1w
2022-02-02,chop,up,up,1,1.2262,0.6707,1w
2022-02-11,chop,up,down,0,-10.433,0.596,1w
2022-02-23,chop,up,down,0,-11.3673,0.5573,1w
2022-03-04,chop,up,down,0,-7.3582,0.6053,1w
2022-03-15,chop,down,up,0,6.936,0.3867,1w
2022-03-24,crisis,down,up,0,7.9854,0.3893,1w
2022-04-04,trending_bear,down,up,0,5.1015,0.3733,1w
2022-04-13,chop,down,down,1,-3.2897,0.424,1w
2022-04-25,trending_bull,neutral,neutral,0,0.0813,0.4587,1w
2022-05-04,chop,down,up,0,1.7186,0.396,1w
2022-05-13,chop,down,up,0,5.338,0.388,1w
2022-05-24,chop,down,up,0,2.5945,0.4093,1w
2022-06-03,chop,neutral,up,0,3.4832,0.4827,1w
2022-06-14,chop,up,up,1,7.9274,0.6147,1w
2022-06-24,chop,up,up,1,14.1117,0.632,1w
2022-07-06,chop,up,up,1,8.092,0.6933,1w
2022-07-15,chop,up,down,0,-1.8417,0.684,1w
2022-07-26,trending_bull,up,down,0,-5.6339,0.7947,1w
2022-08-04,trending_bull,up,down,0,-7.3743,0.7827,1w
2022-08-15,trending_bull,up,down,0,-0.6259,0.7467,1w
2022-08-24,trending_bear,up,neutral,0,-0.408,0.68,1w
2022-09-02,trending_bear,up,down,0,-1.1107,0.584,1w
2022-09-14,trending_bear,up,neutral,0,0.1895,0.584,1w
2022-09-23,chop,up,down,0,-1.8756,0.6053,1w
2022-10-04,chop,down,down,1,-1.0357,0.4133,1w
2022-10-13,chop,down,down,1,-1.4001,0.3467,1w
2022-10-24,chop,down,up,0,9.2094,0.1787,1w
2022-11-02,chop,down,up,0,10.4825,0.2093,1w
2022-11-11,chop,down,up,0,8.5017,0.376,1w
2022-11-22,trending_bull,up,up,1,9.027,0.5853,1w
2022-12-02,trending_bull,up,up,1,9.177,0.708,1w
2022-12-13,trending_bull,up,up,1,3.0708,0.6973,1w
2022-12-22,trending_bull,up,up,1,3.3354,0.828,1w
2023-01-04,trending_bull,up,up,1,1.2945,0.916,1w
2023-01-13,trending_bull,up,up,1,5.3504,0.8,1w
2023-01-25,trending_bull,up,up,1,6.4314,0.9467,1w
2023-02-03,trending_bull,up,up,1,8.241,0.9613,1w
2023-02-14,trending_bull,up,up,1,5.7986,0.9467,1w
2023-02-24,trending_bull,up,up,1,6.6939,0.9453,1w
2023-03-07,trending_bull,up,up,1,5.7123,0.9507,1w
2023-03-16,trending_bull,up,down,0,-5.6085,0.904,1w
2023-03-27,trending_bull,up,down,0,-2.5171,0.9,1w
2023-04-05,trending_bull,up,down,0,-3.2648,0.8493,1w
2023-04-17,crisis,up,up,1,12.2334,0.6507,1w
2023-04-26,crisis,up,up,1,3.7315,0.724,1w
2023-05-05,high_volatility,up,up,1,2.8735,0.6747,1w
2023-05-16,chop,up,down,0,-4.292,0.7253,1w
2023-05-25,crisis,up,down,0,-1.0376,0.652,1w
2023-06-06,high_volatility,up,up,1,4.7722,0.5733,1w
2023-06-15,crisis,neutral,up,0,11.8431,0.4827,1w
2023-06-27,high_volatility,down,up,0,7.1527,0.4453,1w
2023-07-07,high_volatility,neutral,down,0,-3.5111,0.5373,1w
2023-07-18,crisis,up,up,1,0.7477,0.8307,1w
2023-07-27,high_volatility,up,up,1,3.9459,0.668,1w
2023-08-07,crisis,up,up,1,8.5978,0.5573,1w
2023-08-16,high_volatility,up,down,0,-2.8555,0.5573,1w
2023-08-25,chop,up,down,0,-4.5372,0.6627,1w
2023-09-06,trending_bull,up,neutral,0,0.0256,0.6733,1w
2023-09-15,crisis,up,up,1,6.9309,0.588,1w
2023-09-26,chop,up,up,1,7.9029,0.5787,1w
2023-10-05,chop,neutral,up,0,4.1957,0.5013,1w
2023-10-16,high_volatility,up,up,1,7.834,0.5813,1w
2023-10-25,trending_bull,up,up,1,11.8034,0.588,1w
2023-11-03,chop,up,up,1,9.8921,0.6627,1w
2023-11-14,high_volatility,up,down,0,-0.7979,0.6413,1w
2023-11-24,high_volatility,up,down,0,-3.1883,0.6413,1w
2023-12-05,trending_bull,up,down,0,-1.3794,0.668,1w
2023-12-14,trending_bull,up,up,1,6.6797,0.6787,1w
2023-12-26,trending_bull,up,up,1,10.4383,0.684,1w
2024-01-05,chop,up,up,1,13.8709,0.6733,1w
2024-01-17,chop,up,up,1,8.0221,0.6693,1w
2024-01-26,trending_bull,up,down,0,-2.8247,0.7413,1w
2024-02-06,trending_bull,up,down,0,-15.8013,0.7827,1w
2024-02-15,trending_bull,up,down,0,-14.3742,0.7973,1w
2024-02-27,high_volatility,neutral,down,0,-8.2373,0.5467,1w
2024-03-07,crisis,down,down,1,-4.7718,0.3653,1w
2024-03-18,crisis,neutral,down,0,-2.3519,0.4653,1w
2024-03-27,high_volatility,neutral,neutral,0,0.337,0.4653,1w
2024-04-08,crisis,down,up,0,8.1634,0.312,1w
2024-04-17,high_volatility,down,up,0,15.6732,0.3427,1w
2024-04-26,chop,down,up,0,8.0738,0.3733,1w
