date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bear,down,neutral,0,0.4109,0.3213,1w
2021-01-13,chop,down,up,0,0.7941,0.3733,1w
2021-01-25,chop,neutral,up,0,4.2915,0.456,1w
2021-02-03,chop,neutral,up,0,2.5066,0.4653,1w
2021-02-12,chop,down,down,1,-11.9252,0.3893,1w
2021-02-24,chop,neutral,down,0,-6.1292,0.4707,1w
2021-03-05,chop,neutral,neutral,0,-0.431,0.528,1w
2021-03-16,trending_bear,down,up,0,4.2699,0.392,1w
2021-03-25,chop,neutral,up,0,1.3633,0.5013,1w
2021-04-06,chop,down,up,0,8.5825,0.4467,1w
2021-04-15,chop,down,neutral,0,-0.2785,0.3867,1w
2021-04-26,chop,neutral,up,0,5.7873,0.4707,1w
2021-05-05,chop,up,neutral,0,-0.1346,0.5533,1w
2021-05-14,chop,down,down,1,-7.9085,0.4253,1w
2021-05-25,chop,down,down,1,-26.4681,0.436,1w
2021-06-04,chop,up,down,0,-24.2197,0.5733,1w
2021-06-15,chop,neutral,down,0,-12.5984,0.4907,1w
2021-06-24,trending_bear,down,down,1,-3.9807,0.224,1w
2021-07-06,trending_bear,down,down,1,-3.7516,0.312,1w
2021-07-15,trending_bear,down,up,0,6.0824,0.2747,1w
2021-07-26,trending_bear,down,up,0,5.2517,0.2827,1w
2021-08-04,trending_bear,down,neutral,0,-0.4984,0.1933,1w
2021-08-13,chop,down,up,0,3.7644,0.312,1w
2021-08-24,chop,down,down,1,-14.6684,0.2827,1w
2021-09-02,chop,down,down,1,-4.1852,0.1773,1w
2021-09-14,chop,down,down,1,-12.5968,0.428,1w
2021-09-23,chop,down,up,0,21.9273,0.3267,1w
2021-10-04,chop,down,up,0,16.9081,0.3573,1w
2021-10-13,chop,down,up,0,35.8437,0.388,1w
2021-10-22,chop,neutral,up,0,12.6592,0.5147,1w
2021-11-02,chop,up,up,1,13.3698,0.616,1w
2021-11-11,chop,up,down,0,-11.2436,0.5907,1w
2021-11-22,high_volatility,up,down,0,-12.3369,0.5733,1w
2021-12-02,chop,up,down,0,-15.7256,0.668,1w
2021-12-13,chop,neutral,up,0,5.466,0.5387,1w
2021-12-22,chop,up,up,1,12.5475,0.656,1w
2022-01-03,chop,neutral,up,0,19.7309,0.5307,1w
2022-01-12,chop,up,down,0,-2.5767,0.7227,1w
2022-01-24,chop,up,down,0,-10.5245,0.5867,1w
2022-02-02,trending_bull,up,down,0,-14.0439,0.656,1w
2022-02-11,chop,down,down,1,-26.4015,0.376,1w
2022-02-23,chop,down,down,1,-6.4495,0.3507,1w
2022-03-04,chop,down,down,1,-9.3436,0.3733,1w
2022-03-15,trending_bear,down,neutral,0,0.3505,0.24,1w
2022-03-24,trending_bear,down,down,1,-20.3393,0.4013,1w
2022-04-04,chop,down,down,1,-10.838,0.4013,1w
2022-04-13,chop,down,down,1,-7.2475,0.2253,1w
2022-04-25,trending_bear,down,up,0,8.2559,0.1533,1w
2022-05-04,trending_bear,down,up,0,4.3954,0.1733,1w
2022-05-13,chop,down,up,0,17.1371,0.1907,1w
2022-05-24,chop,down,up,0,9.2158,0.324,1w
2022-06-03,chop,down,up,0,3.284,0.3187,1w
2022-06-14,chop,neutral,up,0,8.0625,0.544,1w
2022-06-24,chop,down,up,0,19.2466,0.412,1w
