date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,up,0,8.3546,0.5427,1w
2021-01-13,high_volatility,up,up,1,0.5682,0.724,1w
2021-01-25,crisis,neutral,up,0,2.401,0.5267,1w
2021-02-03,crisis,up,down,0,-5.6658,0.6067,1w
2021-02-12,chop,up,down,0,-8.4861,0.6173,1w
2021-02-24,chop,up,down,0,-3.921,0.5933,1w
2021-03-05,crisis,up,down,0,-6.7183,0.5533,1w
2021-03-16,crisis,neutral,down,0,-14.0101,0.548,1w
2021-03-25,high_volatility,neutral,down,0,-12.2458,0.524,1w
2021-04-06,high_volatility,down,down,1,-8.6654,0.3787,1w
2021-04-15,trending_bear,down,down,1,-9.9611,0.1947,1w
2021-04-26,trending_bear,down,down,1,-8.1435,0.256,1w
2021-05-05,trending_bear,down,down,1,-0.8041,0.1867,1w
2021-05-14,trending_bear,down,down,1,-5.6825,0.144,1w
2021-05-25,trending_bear,down,down,1,-9.8789,0.2013,1w
2021-06-04,chop,down,down,1,-11.5071,0.2733,1w
2021-06-15,chop,down,down,1,-5.1881,0.12,1w
2021-06-24,trending_bear,down,up,0,1.5143,0.1093,1w
2021-07-06,trending_bear,down,up,0,4.9856,0.2,1w
2021-07-15,trending_bear,down,up,0,10.7877,0.2093,1w
2021-07-26,chop,down,up,0,6.4663,0.296,1w
2021-08-04,chop,down,up,0,0.7275,0.3173,1w
2021-08-13,chop,neutral,down,0,-6.4654,0.544,1w
2021-08-24,chop,neutral,down,0,-10.6277,0.4573,1w
2021-09-02,chop,down,down,1,-6.1538,0.3253,1w
2021-09-14,chop,neutral,down,0,-11.6213,0.52,1w
2021-09-23,chop,down,up,0,2.9233,0.3733,1w
2021-10-04,trending_bear,down,up,0,5.4322,0.4093,1w
2021-10-13,trending_bear,down,up,0,16.3974,0.3013,1w
2021-10-22,chop,down,up,0,5.7529,0.4227,1w
2021-11-02,chop,neutral,up,0,6.3138,0.5013,1w
2021-11-11,chop,neutral,down,0,-10.483,0.484,1w
2021-11-22,chop,neutral,down,0,-9.2874,0.484,1w
2021-12-02,chop,up,down,0,-5.0674,0.5573,1w
2021-12-13,chop,neutral,up,0,6.0116,0.4773,1w
2021-12-22,chop,neutral,up,0,5.0381,0.52,1w
2022-01-03,chop,neutral,up,0,10.896,0.5173,1w
2022-01-12,chop,up,up,1,8.0858,0.5987,1w
2022-01-24,chop,neutral,down,0,-1.0911,0.4973,1w
2022-02-02,chop,up,down,0,-8.3147,0.6267,1w
2022-02-11,trending_bull,neutral,down,0,-38.3663,0.4667,1w
