date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-10.8162,0.784,1w
2021-01-13,chop,up,down,0,-10.1761,0.788,1w
2021-01-25,crisis,up,down,0,-8.7954,0.5693,1w
2021-02-03,crisis,neutral,down,0,-13.1504,0.4707,1w
2021-02-12,high_volatility,down,down,1,-13.3331,0.412,1w
2021-02-24,high_volatility,down,up,0,1.4399,0.3507,1w
2021-03-05,chop,down,up,0,8.4824,0.3333,1w
2021-03-16,high_volatility,down,down,1,-0.8913,0.2867,1w
2021-03-25,chop,down,down,1,-11.3723,0.3347,1w
2021-04-06,chop,down,down,1,-9.0042,0.3147,1w
2021-04-15,chop,down,down,1,-6.2166,0.2573,1w
2021-04-26,chop,down,up,0,3.354,0.3067,1w
2021-05-05,chop,down,up,0,6.7637,0.324,1w
2021-05-14,chop,down,down,1,-6.7,0.3347,1w
2021-05-25,chop,neutral,down,0,-2.8568,0.4693,1w
2021-06-04,chop,up,down,0,-18.4527,0.58,1w
2021-06-15,chop,down,up,0,0.8279,0.4213,1w
2021-06-24,chop,down,up,0,3.2695,0.3653,1w
2021-07-06,chop,down,up,0,35.1297,0.296,1w
2021-07-15,chop,down,up,0,17.259,0.424,1w
2021-07-26,chop,neutral,up,0,5.1483,0.5267,1w
2021-08-04,trending_bull,up,down,0,-14.8742,0.5867,1w
2021-08-13,chop,up,down,0,-11.3551,0.588,1w
2021-08-24,chop,up,down,0,-13.6764,0.5693,1w
2021-09-02,chop,down,down,1,-5.5839,0.4013,1w
2021-09-14,chop,up,down,0,-20.7149,0.5507,1w
2021-09-23,chop,down,down,1,-5.5169,0.3867,1w
2021-10-04,trending_bear,up,down,0,-1.8669,0.56,1w
2021-10-13,trending_bear,down,up,0,32.2072,0.296,1w
2021-10-22,trending_bear,down,up,0,26.4046,0.296,1w
2021-11-02,trending_bull,down,up,0,25.4947,0.2613,1w
2021-11-11,chop,down,up,0,5.8061,0.4227,1w
2021-11-22,trending_bull,neutral,up,0,3.8202,0.5013,1w
2021-12-02,trending_bull,up,down,0,-3.3397,0.6227,1w
2021-12-13,trending_bull,up,up,1,2.4546,0.6213,1w
2021-12-22,trending_bull,up,up,1,13.1844,0.7267,1w
2022-01-03,chop,up,up,1,8.9499,0.6173,1w
2022-01-12,chop,up,down,0,-3.8185,0.8587,1w
2022-01-24,trending_bull,up,down,0,-7.8073,0.8267,1w
2022-02-02,chop,up,down,0,-6.7048,0.752,1w
2022-02-11,chop,neutral,down,0,-7.9586,0.5467,1w
2022-02-23,chop,neutral,down,0,-1.2584,0.4933,1w
2022-03-04,chop,down,up,0,4.6484,0.4293,1w
2022-03-15,chop,down,down,1,-3.8112,0.3533,1w
2022-03-24,chop,neutral,down,0,-4.35,0.4733,1w
2022-04-04,chop,neutral,down,0,-2.1959,0.5133,1w
2022-04-13,chop,down,up,0,8.9634,0.324,1w
2022-04-25,chop,down,up,0,14.8085,0.2693,1w
2022-05-04,chop,down,up,0,19.1712,0.352,1w
2022-05-13,chop,neutral,up,0,17.5461,0.4773,1w
2022-05-24,chop,up,up,1,5.5958,0.5733,1w
2022-06-03,trending_bull,up,neutral,0,0.1171,0.6973,1w
2022-06-14,trending_bull,up,up,1,3.7666,0.7253,1w
2022-06-24,trending_bull,up,down,0,-4.0006,0.7227,1w
2022-07-06,trending_bull,up,up,1,8.9156,0.7,1w
2022-07-15,chop,up,neutral,0,0.1624,0.7693,1w
2022-07-26,chop,up,down,0,-0.9648,0.752,1w
2022-08-04,high_volatility,up,up,1,1.4819,0.7547,1w
2022-08-15,chop,up,up,1,1.2447,0.6733,1w
2022-08-24,high_volatility,up,down,0,-5.4678,0.588,1w
2022-09-02,chop,up,down,0,-10.209,0.612,1w
2022-09-14,chop,neutral,up,0,7.1749,0.492,1w
2022-09-23,chop,down,up,0,5.6384,0.404,1w
2022-10-04,chop,neutral,up,0,6.1291,0.4893,1w
2022-10-13,chop,neutral,up,0,7.5406,0.4773,1w
2022-10-24,chop,down,up,0,22.1738,0.424,1w
2022-11-02,high_volatility,down,up,0,8.2973,0.4093,1w
2022-11-11,high_volatility,up,up,1,4.6311,0.624,1w
2022-11-22,trending_bull,up,up,1,4.8611,0.6787,1w
2022-12-02,trending_bull,neutral,up,0,1.7144,0.5467,1w
2022-12-13,trending_bull,up,down,0,-2.6802,0.792,1w
2022-12-22,trending_bull,up,up,1,8.5091,0.836,1w
2023-01-04,trending_bull,up,up,1,12.9651,0.724,1w
2023-01-13,chop,up,up,1,16.2382,0.6933,1w
2023-01-25,crisis,up,up,1,14.3434,0.9107,1w
2023-02-03,chop,up,up,1,19.1866,0.7427,1w
2023-02-14,crisis,up,up,1,4.8315,0.724,1w
2023-02-24,crisis,up,up,1,1.5998,0.7347,1w
2023-03-07,high_volatility,up,down,0,-5.5886,0.7947,1w
2023-03-16,high_volatility,up,neutral,0,0.3779,0.6773,1w
2023-03-27,crisis,up,down,0,-3.4325,0.668,1w
2023-04-05,crisis,up,up,1,3.9895,0.7507,1w
2023-04-17,crisis,up,up,1,15.5218,0.7293,1w
2023-04-26,crisis,up,up,1,10.5322,0.6267,1w
2023-05-05,crisis,up,up,1,10.1049,0.6933,1w
2023-05-16,high_volatility,up,up,1,10.055,0.6667,1w
2023-05-25,high_volatility,up,up,1,3.4548,0.656,1w
2023-06-06,crisis,up,up,1,11.2016,0.5827,1w
2023-06-15,crisis,up,down,0,-7.9081,0.7,1w
2023-06-27,crisis,up,down,0,-3.3723,0.668,1w
2023-07-07,high_volatility,up,down,0,-18.1369,0.752,1w
2023-07-18,crisis,up,up,1,6.4366,0.668,1w
2023-07-27,crisis,up,up,1,2.8119,0.588,1w
2023-08-07,crisis,neutral,up,0,4.5394,0.4773,1w
2023-08-16,crisis,up,down,0,-10.148,0.576,1w
2023-08-25,chop,neutral,down,0,-5.0111,0.4907,1w
2023-09-06,chop,down,up,0,12.0361,0.4147,1w
2023-09-15,chop,down,down,1,-4.3104,0.368,1w
2023-09-26,chop,down,down,1,-17.2009,0.4253,1w
2023-10-05,chop,down,down,1,-15.1343,0.3893,1w
2023-10-16,chop,down,down,1,-5.5729,0.3973,1w
2023-10-25,chop,down,down,1,-4.7166,0.3653,1w
2023-11-03,chop,down,neutral,0,-0.3374,0.4253,1w
2023-11-14,chop,down,up,0,1.6393,0.2613,1w
2023-11-24,trending_bear,down,up,0,0.909,0.268,1w
2023-12-05,chop,down,up,0,7.4213,0.4133,1w
2023-12-14,chop,down,up,0,13.889,0.3507,1w
2023-12-26,chop,down,up,0,8.3833,0.26,1w
