date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,up,1,2.1248,0.752,1w
2021-01-13,trending_bull,up,up,1,1.3875,0.7427,1w
2021-01-25,trending_bull,up,up,1,3.8693,0.736,1w
2021-02-03,crisis,up,up,1,2.1085,0.6733,1w
2021-02-12,crisis,up,down,0,-2.1594,0.6693,1w
2021-02-24,crisis,up,down,0,-1.1814,0.7427,1w
2021-03-05,crisis,up,up,1,1.2486,0.8267,1w
2021-03-16,crisis,neutral,up,0,8.2858,0.5013,1w
2021-03-25,high_volatility,up,up,1,7.0023,0.5667,1w
2021-04-06,chop,up,up,1,0.8635,0.6093,1w
2021-04-15,chop,up,neutral,0,-0.3399,0.6173,1w
2021-04-26,trending_bull,up,down,0,-4.6709,0.668,1w
2021-05-05,high_volatility,neutral,down,0,-1.9991,0.5453,1w
2021-05-14,crisis,up,down,0,-6.6646,0.6173,1w
2021-05-25,crisis,neutral,down,0,-2.6444,0.508,1w
2021-06-04,high_volatility,neutral,up,0,1.2183,0.5053,1w
2021-06-15,high_volatility,neutral,up,0,4.9806,0.5147,1w
2021-06-24,high_volatility,neutral,down,0,-1.3484,0.5013,1w
2021-07-06,high_volatility,neutral,up,0,0.8043,0.4947,1w
2021-07-15,chop,down,up,0,1.92,0.392,1w
2021-07-26,chop,down,up,0,1.6769,0.368,1w
2021-08-04,chop,down,down,1,-2.6229,0.428,1w
2021-08-13,chop,down,down,1,-6.2481,0.408,1w
2021-08-24,chop,neutral,down,0,-7.2529,0.4733,1w
2021-09-02,chop,down,down,1,-6.6835,0.4147,1w
2021-09-14,chop,neutral,down,0,-8.633,0.5013,1w
2021-09-23,chop,down,down,1,-4.5051,0.2933,1w
2021-10-04,trending_bear,down,up,0,5.037,0.184,1w
2021-10-13,trending_bear,down,up,0,8.9672,0.1733,1w
2021-10-22,trending_bear,down,up,0,7.834,0.184,1w
2021-11-02,trending_bull,down,up,0,9.2372,0.312,1w
2021-11-11,chop,down,up,0,5.0615,0.3467,1w
2021-11-22,chop,down,up,0,3.0513,0.388,1w
2021-12-02,trending_bull,up,down,0,-2.1756,0.5827,1w
2021-12-13,trending_bull,up,down,0,-4.3444,0.6027,1w
2021-12-22,trending_bull,up,down,0,-4.4048,0.6653,1w
2022-01-03,trending_bull,up,down,0,-4.1958,0.7133,1w
2022-01-12,chop,up,down,0,-1.3511,0.6907,1w
2022-01-24,chop,up,down,0,-1.3786,0.5907,1w
2022-02-02,chop,neutral,up,0,0.8858,0.5387,1w
2022-02-11,chop,down,up,0,1.4096,0.4213,1w
2022-02-23,chop,down,up,0,2.552,0.3507,1w
2022-03-04,chop,down,up,0,4.4612,0.256,1w
2022-03-15,chop,down,up,0,4.5605,0.2693,1w
2022-03-24,chop,down,up,0,4.075,0.3453,1w
2022-04-04,chop,down,up,0,1.465,0.4213,1w
2022-04-13,trending_bull,up,up,1,0.7564,0.5573,1w
2022-04-25,trending_bull,up,down,0,-4.2014,0.64,1w
2022-05-04,trending_bull,up,down,0,-5.1078,0.7213,1w
2022-05-13,trending_bull,up,down,0,-3.733,0.756,1w
2022-05-24,trending_bear,neutral,up,0,2.1126,0.532,1w
2022-06-03,trending_bear,neutral,up,0,1.1793,0.5067,1w
2022-06-14,trending_bear,neutral,down,0,-0.6859,0.4653,1w
2022-06-24,chop,down,up,0,3.2084,0.4413,1w
2022-07-06,chop,down,up,0,1.5897,0.296,1w
2022-07-15,chop,down,neutral,0,-0.1651,0.2827,1w
2022-07-26,chop,down,down,1,-3.7316,0.424,1w
2022-08-04,chop,down,down,1,-3.8732,0.2747,1w
