date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-13.3333,0.2933,1w
2021-01-13,chop,down,neutral,0,-0.4725,0.2333,1w
2021-01-25,trending_bear,down,down,1,-4.0588,0.1773,1w
2021-02-03,trending_bear,down,up,0,12.7976,0.1667,1w
2021-02-12,chop,down,up,0,6.0854,0.168,1w
2021-02-24,chop,down,up,0,31.6489,0.2013,1w
2021-03-05,chop,down,up,0,3.5,0.4067,1w
2021-03-16,chop,down,up,0,3.7716,0.416,1w
2021-03-25,chop,neutral,down,0,-20.887,0.4853,1w
2021-04-06,chop,neutral,down,0,-28.0622,0.5133,1w
2021-04-15,chop,up,down,0,-32.3988,0.5747,1w
2021-04-26,chop,neutral,down,0,-18.7575,0.4587,1w
2021-05-05,trending_bear,down,down,1,-6.5725,0.424,1w
2021-05-14,high_volatility,down,up,0,6.7629,0.3027,1w
2021-05-25,high_volatility,down,up,0,2.7186,0.412,1w
2021-06-04,chop,down,down,1,-6.7843,0.2747,1w
2021-06-15,chop,down,down,1,-6.8232,0.268,1w
2021-06-24,chop,down,neutral,0,0.4926,0.1867,1w
2021-07-06,chop,down,up,0,11.8681,0.1533,1w
2021-07-15,trending_bear,down,up,0,19.387,0.176,1w
2021-07-26,chop,down,up,0,0.9346,0.3467,1w
2021-08-04,chop,down,down,1,-18.3389,0.4133,1w
2021-08-13,chop,up,down,0,-24.4222,0.628,1w
2021-08-24,chop,neutral,down,0,-13.5,0.504,1w
2021-09-02,trending_bear,down,down,1,-13.8614,0.2693,1w
2021-09-14,trending_bear,down,down,1,-23.8134,0.3387,1w
2021-09-23,trending_bear,down,down,1,-9.0667,0.2813,1w
2021-10-04,trending_bear,down,up,0,4.7178,0.2173,1w
2021-10-13,trending_bear,down,up,0,13.0256,0.168,1w
2021-10-22,trending_bear,down,down,1,-9.405,0.1933,1w
2021-11-02,chop,down,down,1,-9.833,0.2133,1w
2021-11-11,chop,down,down,1,-15.588,0.1693,1w
2021-11-22,trending_bear,down,up,0,1.9438,0.1733,1w
2021-12-02,trending_bear,down,up,0,1.3131,0.2827,1w
2021-12-13,trending_bear,down,up,0,17.8914,0.2347,1w
2021-12-22,trending_bear,down,up,0,17.1739,0.312,1w
2022-01-03,chop,down,up,0,20.666,0.3973,1w
2022-01-12,chop,up,up,1,5.8986,0.5907,1w
2022-01-24,chop,neutral,up,0,5.326,0.5053,1w
2022-02-02,trending_bull,up,up,1,9.2116,0.6027,1w
2022-02-11,trending_bull,neutral,up,0,11.1882,0.52,1w
2022-02-23,chop,up,up,1,2.3883,0.7293,1w
2022-03-04,trending_bull,up,neutral,0,0.3019,0.752,1w
2022-03-15,trending_bull,up,down,0,-1.0769,0.7693,1w
2022-03-24,trending_bull,up,down,0,-4.0449,0.8187,1w
2022-04-04,trending_bull,up,up,1,8.3721,0.74,1w
2022-04-13,chop,up,up,1,4.5455,0.6613,1w
2022-04-25,chop,up,up,1,6.8362,0.656,1w
2022-05-04,chop,up,neutral,0,0.2948,0.632,1w
2022-05-13,chop,up,up,1,1.9048,0.656,1w
2022-05-24,trending_bull,neutral,up,0,6.7939,0.516,1w
2022-06-03,chop,neutral,down,0,-3.5436,0.5013,1w
2022-06-14,chop,up,down,0,-3.8933,0.5653,1w
2022-06-24,chop,neutral,up,0,1.6006,0.5213,1w
2022-07-06,chop,neutral,up,0,23.5119,0.5293,1w
2022-07-15,chop,neutral,up,0,13.5857,0.5013,1w
2022-07-26,chop,up,up,1,2.8082,0.6173,1w
2022-08-04,crisis,up,down,0,-7.0659,0.656,1w
2022-08-15,high_volatility,up,down,0,-3.5387,0.58,1w
2022-08-24,trending_bull,up,down,0,-5.7049,0.5893,1w
2022-09-02,trending_bull,up,down,0,-4.5718,0.5587,1w
2022-09-14,chop,neutral,up,0,16.0959,0.5267,1w
2022-09-23,chop,neutral,up,0,18.2507,0.4707,1w
2022-10-04,chop,up,up,1,20.7129,0.58,1w
2022-10-13,chop,up,up,1,4.1403,0.6787,1w
2022-10-24,trending_bull,up,up,1,10.6915,0.62,1w
2022-11-02,trending_bull,up,up,1,17.2174,0.5573,1w
2022-11-11,crisis,up,up,1,13.9472,0.6733,1w
2022-11-22,high_volatility,up,up,1,4.2652,0.7293,1w
2022-12-02,high_volatility,up,down,0,-7.581,0.7653,1w
2022-12-13,trending_bull,up,down,0,-8.3047,0.8667,1w
2022-12-22,trending_bull,up,down,0,-15.0365,0.828,1w
2023-01-04,trending_bear,up,down,0,-4.6994,0.7213,1w
2023-01-13,trending_bear,up,up,1,13.3987,0.5707,1w
2023-01-25,trending_bear,neutral,up,0,7.907,0.4907,1w
2023-02-03,trending_bear,neutral,up,0,2.4817,0.4827,1w
2023-02-14,crisis,up,down,0,-17.3913,0.5867,1w
2023-02-24,crisis,down,down,1,-4.7645,0.4213,1w
2023-03-07,chop,down,down,1,-4.4552,0.376,1w
2023-03-16,chop,down,up,0,3.7059,0.2973,1w
2023-03-27,chop,down,down,1,-4.6884,0.332,1w
2023-04-05,chop,down,up,0,2.7012,0.4373,1w
2023-04-17,chop,down,up,0,14.4225,0.424,1w
2023-04-26,chop,neutral,up,0,14.21,0.472,1w
2023-05-05,chop,neutral,up,0,13.5394,0.544,1w
2023-05-16,chop,down,down,1,-3.8368,0.4427,1w
2023-05-25,trending_bull,up,down,0,-9.1284,0.6573,1w
2023-06-06,trending_bull,up,neutral,0,-0.0961,0.644,1w
