date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-1.8724,0.2693,1w
2021-01-13,chop,down,down,1,-2.2715,0.3,1w
2021-01-25,chop,down,down,1,-2.5258,0.2733,1w
2021-02-03,chop,down,up,0,16.7685,0.2867,1w
2021-02-12,chop,down,up,0,15.5332,0.3747,1w
2021-02-24,high_volatility,down,up,0,17.7468,0.416,1w
2021-03-05,crisis,up,up,1,0.904,0.6987,1w
2021-03-16,high_volatility,up,up,1,4.1647,0.6627,1w
2021-03-25,high_volatility,up,up,1,0.6602,0.752,1w
2021-04-06,chop,up,down,0,-4.3924,0.7253,1w
2021-04-15,chop,up,down,0,-7.5049,0.7293,1w
2021-04-26,chop,up,down,0,-4.9641,0.6933,1w
2021-05-05,chop,up,up,1,0.8303,0.6773,1w
2021-05-14,trending_bear,up,down,0,-2.2039,0.6653,1w
2021-05-25,trending_bear,up,down,0,-3.9967,0.668,1w
2021-06-04,chop,down,down,1,-5.519,0.4093,1w
2021-06-15,chop,down,neutral,0,0.3064,0.3453,1w
2021-06-24,trending_bear,down,up,0,1.3587,0.2493,1w
2021-07-06,chop,down,down,1,-1.3231,0.3173,1w
2021-07-15,chop,down,up,0,1.3882,0.2747,1w
2021-07-26,chop,down,down,1,-3.1495,0.3867,1w
2021-08-04,chop,down,down,1,-4.2796,0.3787,1w
2021-08-13,chop,down,down,1,-8.141,0.428,1w
2021-08-24,chop,down,down,1,-8.5827,0.4253,1w
2021-09-02,chop,down,down,1,-2.7385,0.2747,1w
2021-09-14,trending_bear,down,down,1,-3.7444,0.3653,1w
2021-09-23,trending_bear,down,up,0,7.5544,0.2347,1w
2021-10-04,trending_bear,down,up,0,10.9147,0.2413,1w
2021-10-13,chop,down,up,0,17.6929,0.2747,1w
2021-10-22,chop,down,up,0,12.0732,0.3147,1w
2021-11-02,trending_bull,neutral,up,0,5.0402,0.548,1w
2021-11-11,trending_bull,up,up,1,4.2561,0.584,1w
2021-11-22,trending_bull,up,down,0,-1.1921,0.6093,1w
2021-12-02,trending_bull,up,down,0,-4.9099,0.744,1w
2021-12-13,trending_bull,up,down,0,-7.0352,0.7347,1w
2021-12-22,trending_bull,up,down,0,-7.1388,0.7827,1w
2022-01-03,chop,up,down,0,-6.1703,0.7067,1w
2022-01-12,chop,up,up,1,2.3996,0.6227,1w
2022-01-24,trending_bear,neutral,up,0,1.4468,0.4907,1w
2022-02-02,trending_bear,down,down,1,-1.132,0.308,1w
2022-02-11,trending_bear,down,down,1,-2.7068,0.3867,1w
2022-02-23,chop,down,down,1,-7.5966,0.2987,1w
2022-03-04,chop,down,down,1,-4.7359,0.216,1w
2022-03-15,trending_bear,down,down,1,-0.6593,0.208,1w
2022-03-24,trending_bear,down,neutral,0,0.0328,0.2173,1w
2022-04-04,trending_bear,down,down,1,-13.1789,0.224,1w
2022-04-13,trending_bear,down,down,1,-15.8664,0.3173,1w
2022-04-25,trending_bear,down,down,1,-9.848,0.2973,1w
2022-05-04,high_volatility,down,neutral,0,-0.2103,0.2333,1w
2022-05-13,trending_bear,down,up,0,8.4094,0.2387,1w
2022-05-24,trending_bear,down,up,0,8.8676,0.2267,1w
2022-06-03,trending_bear,down,up,0,9.2117,0.268,1w
2022-06-14,chop,down,up,0,6.1474,0.3467,1w
2022-06-24,chop,down,up,0,8.3883,0.396,1w
2022-07-06,chop,down,up,0,10.2908,0.4253,1w
2022-07-15,chop,down,up,0,8.0244,0.4293,1w
2022-07-26,trending_bull,neutral,up,0,4.6115,0.5293,1w
2022-08-04,trending_bull,up,neutral,0,-0.1741,0.78,1w
2022-08-15,trending_bull,up,down,0,-1.3413,0.8773,1w
2022-08-24,trending_bull,up,down,0,-4.262,0.8307,1w
2022-09-02,trending_bull,up,down,0,-5.0075,0.8253,1w
2022-09-14,trending_bull,up,up,1,0.9039,0.7227,1w
2022-09-23,chop,up,neutral,0,0.033,0.5907,1w
2022-10-04,chop,up,up,1,14.0741,0.5507,1w
2022-10-13,chop,up,up,1,9.433,0.58,1w
2022-10-24,chop,down,up,0,16.4257,0.4253,1w
2022-11-02,chop,up,up,1,7.081,0.5813,1w
2022-11-11,trending_bull,up,up,1,4.9533,0.616,1w
2022-11-22,trending_bull,up,up,1,1.1638,0.6733,1w
2022-12-02,trending_bull,up,down,0,-1.6426,0.736,1w
2022-12-13,trending_bull,up,neutral,0,0.046,0.7533,1w
2022-12-22,trending_bull,up,up,1,2.6228,0.768,1w
2023-01-04,chop,up,up,1,1.8301,0.7867,1w
2023-01-13,chop,up,up,1,11.9712,0.7307,1w
2023-01-25,chop,up,up,1,12.6759,0.8333,1w
2023-02-03,chop,up,up,1,15.7543,0.6773,1w
2023-02-14,trending_bull,up,up,1,5.001,0.8053,1w
2023-02-24,trending_bull,up,up,1,2.5004,0.8453,1w
2023-03-07,trending_bull,up,down,0,-0.5756,0.86,1w
2023-03-16,trending_bull,up,down,0,-1.3534,0.8587,1w
2023-03-27,trending_bull,up,down,0,-0.5056,0.9,1w
2023-04-05,trending_bull,up,up,1,10.3528,0.864,1w
2023-04-17,trending_bear,up,up,1,18.4062,0.7947,1w
2023-04-26,chop,up,up,1,15.9481,0.824,1w
2023-05-05,crisis,up,up,1,1.9741,0.9053,1w
2023-05-16,trending_bull,up,down,0,-2.3585,0.868,1w
2023-05-25,trending_bull,up,down,0,-0.5442,0.8587,1w
2023-06-06,trending_bull,up,up,1,1.1818,0.728,1w
2023-06-15,trending_bull,up,up,1,4.4349,0.752,1w
2023-06-27,trending_bull,up,up,1,1.8005,0.728,1w
2023-07-07,trending_bull,up,down,0,-1.2134,0.7333,1w
2023-07-18,high_volatility,up,down,0,-1.8899,0.848,1w
2023-07-27,crisis,up,up,1,1.2421,0.7467,1w
2023-08-07,crisis,neutral,up,0,8.8141,0.4653,1w
2023-08-16,high_volatility,neutral,up,0,4.8458,0.4653,1w
2023-08-25,trending_bull,up,up,1,1.4934,0.58,1w
2023-09-06,trending_bull,up,up,1,9.1275,0.6387,1w
2023-09-15,chop,up,up,1,8.6562,0.6227,1w
2023-09-26,chop,up,up,1,6.5392,0.6173,1w
2023-10-05,trending_bull,up,up,1,11.7965,0.752,1w
2023-10-16,trending_bull,up,up,1,15.6661,0.6987,1w
2023-10-25,trending_bull,up,down,0,-1.8967,0.708,1w
2023-11-03,crisis,up,down,0,-13.1583,0.904,1w
2023-11-14,crisis,up,down,0,-8.8116,0.8773,1w
2023-11-24,high_volatility,neutral,down,0,-10.7817,0.544,1w
2023-12-05,trending_bear,up,down,0,-9.2402,0.564,1w
2023-12-14,trending_bear,neutral,up,0,1.6984,0.4653,1w
2023-12-26,trending_bear,down,down,1,-2.8962,0.3787,1w
2024-01-05,trending_bear,down,down,1,-4.3992,0.3467,1w
2024-01-17,trending_bear,down,down,1,-15.4079,0.3813,1w
2024-01-26,trending_bear,down,down,1,-7.5569,0.2973,1w
2024-02-06,trending_bear,down,down,1,-3.4371,0.184,1w
2024-02-15,trending_bear,down,up,0,5.7175,0.1613,1w
2024-02-27,trending_bear,down,up,0,3.4584,0.1667,1w
2024-03-07,trending_bear,down,neutral,0,-0.259,0.2267,1w
2024-03-18,trending_bear,down,up,0,3.389,0.3347,1w
2024-03-27,chop,down,up,0,9.3523,0.3507,1w
2024-04-08,chop,down,up,0,10.7207,0.344,1w
2024-04-17,chop,down,up,0,15.4007,0.3347,1w
2024-04-26,chop,neutral,neutral,0,0.2174,0.5467,1w
2024-05-07,chop,up,down,0,-6.0116,0.5893,1w
2024-05-16,trending_bull,up,down,0,-7.2059,0.752,1w
2024-05-28,trending_bull,up,up,1,6.507,0.6613,1w
2024-06-06,trending_bear,up,up,1,12.2593,0.6,1w
2024-06-17,chop,up,up,1,8.2789,0.6173,1w
2024-06-27,chop,up,neutral,0,0.0684,0.7107,1w
2024-07-09,trending_bull,up,up,1,8.917,0.752,1w
2024-07-18,trending_bull,up,up,1,10.8259,0.7427,1w
2024-07-29,chop,up,up,1,13.5985,0.6413,1w
2024-08-07,chop,up,up,1,1.067,0.692,1w
2024-08-16,trending_bull,up,up,1,4.1064,0.6613,1w
2024-08-27,trending_bull,up,up,1,2.816,0.8013,1w
2024-09-06,trending_bull,up,up,1,10.1415,0.8587,1w
2024-09-17,trending_bull,up,down,0,-1.5684,0.8773,1w
2024-09-26,chop,up,down,0,-0.6086,0.7427,1w
2024-10-07,chop,up,neutral,0,0.3659,0.8307,1w
2024-10-16,chop,up,down,0,-0.8924,0.7253,1w
2024-10-25,chop,up,up,1,1.1692,0.752,1w
2024-11-05,chop,up,down,0,-5.7671,0.6653,1w
2024-11-14,chop,up,down,0,-3.8803,0.5653,1w
2024-11-25,chop,up,down,0,-2.7152,0.5733,1w
