date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-06-10,chop,down,down,1,-18.1818,0.3867,1w
2021-06-21,trending_bear,down,up,0,8.9286,0.216,1w
2021-06-30,trending_bear,down,up,0,7.1942,0.1973,1w
2021-07-12,trending_bear,down,up,0,16.9284,0.2253,1w
2021-07-21,trending_bear,down,up,0,7.2197,0.2013,1w
2021-07-30,chop,down,up,0,0.9646,0.4067,1w
2021-08-10,chop,up,up,1,21.7557,0.5653,1w
2021-08-19,chop,down,up,0,23.9521,0.4453,1w
2021-08-30,chop,down,up,0,27.2727,0.3813,1w
2021-09-09,chop,up,down,0,-18.6349,0.6173,1w
2021-09-20,trending_bull,up,down,0,-1.2392,0.6693,1w
2021-09-29,chop,up,up,1,3.5665,0.656,1w
2021-10-08,chop,up,down,0,-4.3194,0.6093,1w
2021-10-19,chop,up,down,0,-23.7705,0.5827,1w
2021-10-28,chop,up,down,0,-38.601,0.58,1w
2021-11-08,chop,down,down,1,-20.5307,0.428,1w
2021-11-17,chop,down,down,1,-0.5894,0.4013,1w
2021-11-29,trending_bear,down,down,1,-6.6955,0.3733,1w
2021-12-08,chop,down,down,1,-11.9005,0.268,1w
2021-12-17,chop,down,up,0,7.6596,0.2747,1w
2021-12-29,chop,down,up,0,13.0342,0.256,1w
2022-01-07,chop,down,up,0,2.2088,0.292,1w
2022-01-19,chop,down,up,0,4.6065,0.3093,1w
2022-01-28,chop,down,down,1,-9.2803,0.3027,1w
2022-02-08,trending_bear,down,up,0,12.2047,0.3227,1w
2022-02-17,trending_bull,neutral,up,0,29.4574,0.524,1w
2022-03-01,chop,neutral,up,0,47.9424,0.5013,1w
2022-03-10,chop,neutral,up,0,34.2419,0.488,1w
2022-03-21,trending_bull,up,up,1,12.4286,0.7,1w
2022-03-30,trending_bull,up,up,1,10.3634,0.752,1w
2022-04-08,trending_bull,up,up,1,4.4248,0.7827,1w
2022-04-20,trending_bull,up,up,1,4.1096,0.7627,1w
2022-04-29,trending_bull,up,up,1,2.375,0.7707,1w
2022-05-10,trending_bull,up,up,1,3.1553,0.8013,1w
2022-05-19,trending_bull,up,up,1,9.3863,0.8187,1w
2022-05-31,chop,up,up,1,9.7356,0.86,1w
2022-06-09,chop,up,up,1,4.2959,0.8867,1w
2022-06-21,chop,up,down,0,-3.1833,0.788,1w
2022-06-30,chop,up,up,1,4.8098,0.736,1w
2022-07-12,chop,up,down,0,-6.0364,0.6,1w
2022-07-21,chop,up,down,0,-13.7625,0.5907,1w
2022-08-01,chop,up,down,0,-8.3878,0.688,1w
2022-08-10,chop,neutral,down,0,-11.5196,0.4693,1w
2022-08-19,trending_bear,down,down,1,-9.2288,0.3787,1w
2022-08-30,trending_bear,neutral,down,0,-16.3216,0.484,1w
2022-09-09,trending_bear,down,down,1,-5.6818,0.2973,1w
2022-09-20,trending_bear,down,down,1,-19.5051,0.2107,1w
2022-09-29,trending_bear,down,down,1,-13.0898,0.1867,1w
2022-10-10,trending_bear,down,down,1,-11.6844,0.184,1w
2022-10-19,trending_bear,down,up,0,15.1119,0.0773,1w
2022-10-28,trending_bear,down,up,0,15.7804,0.1093,1w
2022-11-08,chop,down,up,0,19.0391,0.1867,1w
2022-11-17,chop,down,up,0,19.6774,0.2653,1w
2022-11-29,chop,down,up,0,13.9738,0.296,1w
2022-12-08,chop,down,up,0,6.7265,0.4213,1w
2022-12-19,trending_bull,neutral,down,0,-3.2832,0.5453,1w
2022-12-29,trending_bull,up,down,0,-24.3038,0.62,1w
2023-01-10,chop,neutral,down,0,-5.6818,0.5453,1w
2023-01-20,chop,up,down,0,-8.815,0.724,1w
2023-01-31,trending_bear,neutral,up,0,38.0319,0.4987,1w
2023-02-09,high_volatility,up,down,0,-1.5737,0.6173,1w
2023-02-21,high_volatility,neutral,down,0,-2.8754,0.4907,1w
2023-03-02,crisis,up,down,0,-22.8093,0.5573,1w
2023-03-13,chop,neutral,down,0,-7.2617,0.4947,1w
2023-03-22,chop,down,down,1,-1.0118,0.3707,1w
2023-03-31,chop,down,up,0,6.6116,0.312,1w
2023-04-12,chop,down,up,0,13.3884,0.3893,1w
2023-04-21,chop,down,up,0,22.4223,0.376,1w
2023-05-02,chop,up,down,0,-14.7014,0.568,1w
2023-05-11,chop,neutral,down,0,-26.3598,0.4653,1w
2023-05-22,trending_bull,up,down,0,-8.9501,0.5933,1w
2023-06-01,trending_bear,down,down,1,-8.167,0.2347,1w
2023-06-12,trending_bear,down,down,1,-2.5594,0.304,1w
2023-06-22,trending_bear,down,up,0,4.8964,0.388,1w
2023-07-03,trending_bear,down,up,0,10.6509,0.3507,1w
2023-07-13,chop,down,neutral,0,0.365,0.3867,1w
2023-07-24,chop,down,up,0,5.0909,0.4093,1w
2023-08-02,chop,down,up,0,12.4777,0.3733,1w
2023-08-11,chop,down,up,0,15.411,0.296,1w
2023-08-22,chop,neutral,up,0,13.1229,0.4653,1w
2023-08-31,chop,up,up,1,6.1633,0.6,1w
2023-09-12,trending_bull,up,neutral,0,-0.1449,0.6733,1w
2023-09-21,trending_bull,up,up,1,2.1771,0.7107,1w
2023-10-02,trending_bull,up,down,0,-2.2956,0.7693,1w
2023-10-11,chop,up,up,1,5.7471,0.7293,1w
2023-10-20,chop,up,neutral,0,-0.4127,0.752,1w
2023-10-31,chop,up,up,1,12.0715,0.6933,1w
2023-11-09,chop,up,down,0,-2.8417,0.7347,1w
2023-11-20,chop,up,down,0,-2.3546,0.6987,1w
2023-11-30,trending_bull,up,down,0,-1.8642,0.6667,1w
2023-12-11,trending_bull,neutral,up,0,7.5104,0.524,1w
2023-12-20,chop,neutral,up,0,9.6022,0.4987,1w
2024-01-02,chop,neutral,up,0,6.4901,0.5413,1w
2024-01-11,chop,up,up,1,1.2887,0.5893,1w
2024-01-23,chop,up,down,0,-4.7679,0.5853,1w
2024-02-01,chop,up,up,1,1.3665,0.692,1w
2024-02-12,chop,up,down,0,-13.3917,0.5573,1w
2024-02-22,chop,neutral,down,0,-9.9734,0.544,1w
2024-03-04,chop,up,down,0,-14.467,0.5867,1w
2024-03-13,chop,down,down,1,-0.5806,0.412,1w
2024-03-22,chop,down,down,1,-1.6667,0.3467,1w
2024-04-03,chop,down,neutral,0,-0.3012,0.2827,1w
2024-04-12,chop,down,down,1,-15.8358,0.2747,1w
2024-04-23,chop,down,down,1,-15.9265,0.22,1w
2024-05-02,chop,down,down,1,-9.1603,0.2267,1w
2024-05-13,chop,down,down,1,-9.1537,0.2013,1w
2024-05-22,trending_bear,down,down,1,-18.3168,0.216,1w
2024-06-03,chop,down,down,1,-21.1636,0.2413,1w
2024-06-12,chop,down,down,1,-14.8936,0.248,1w
2024-06-24,trending_bear,down,down,1,-18.5039,0.2347,1w
2024-07-03,trending_bear,down,down,1,-17.759,0.2093,1w
2024-07-15,trending_bear,down,up,0,26.2443,0.156,1w
2024-07-24,trending_bear,down,up,0,29.2566,0.1453,1w
2024-08-02,trending_bear,down,up,0,40.2564,0.124,1w
2024-08-13,trending_bull,down,down,1,-4.7794,0.4387,1w
2024-08-22,trending_bull,down,neutral,0,0.1852,0.3733,1w
2024-09-03,trending_bull,down,up,0,2.6071,0.3973,1w
2024-09-12,trending_bull,neutral,down,0,-2.6769,0.4707,1w
2024-09-23,trending_bull,neutral,down,0,-2.2814,0.528,1w
2024-10-02,chop,up,down,0,-12.2995,0.6027,1w
2024-10-11,chop,up,up,1,24.0848,0.5893,1w
2024-10-22,chop,up,up,1,23.8462,0.6547,1w
2024-10-31,chop,up,up,1,28.5141,0.6747,1w
2024-11-11,trending_bull,up,up,1,9.5087,0.5907,1w
2024-11-20,trending_bull,up,up,1,8.7827,0.5987,1w
