date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-0.7799,0.412,1w
2021-01-13,chop,down,down,1,-2.2127,0.3653,1w
2021-01-25,chop,down,down,1,-2.7061,0.2773,1w
2021-02-03,crisis,down,up,0,20.6574,0.3813,1w
2021-02-12,high_volatility,down,up,0,12.6659,0.4253,1w
2021-02-24,high_volatility,down,up,0,18.537,0.4253,1w
2021-03-05,crisis,up,down,0,-4.7195,0.7293,1w
2021-03-16,crisis,up,neutral,0,-0.3525,0.66,1w
2021-03-25,crisis,up,down,0,-3.5036,0.7293,1w
2021-04-06,high_volatility,up,down,0,-5.9809,0.6933,1w
2021-04-15,chop,up,down,0,-7.351,0.668,1w
2021-04-26,chop,up,down,0,-3.742,0.5907,1w
2021-05-05,high_volatility,up,neutral,0,0.0048,0.6173,1w
2021-05-14,chop,neutral,down,0,-0.7804,0.5467,1w
2021-05-25,chop,up,down,0,-3.4528,0.58,1w
2021-06-04,chop,down,down,1,-5.0095,0.3013,1w
2021-06-15,chop,down,down,1,-2.2078,0.296,1w
2021-06-24,chop,down,down,1,-3.1043,0.256,1w
2021-07-06,chop,down,up,0,0.7345,0.304,1w
2021-07-15,chop,down,up,0,5.7631,0.2547,1w
2021-07-26,chop,down,up,0,3.7497,0.3467,1w
2021-08-04,chop,neutral,down,0,-3.8839,0.4653,1w
2021-08-13,chop,neutral,down,0,-5.2425,0.4707,1w
2021-08-24,chop,down,down,1,-2.555,0.424,1w
2021-09-02,chop,down,down,1,-4.3134,0.3653,1w
2021-09-14,chop,neutral,down,0,-4.1845,0.4653,1w
2021-09-23,chop,down,up,0,12.1648,0.4093,1w
2021-10-04,chop,down,up,0,7.5986,0.2973,1w
2021-10-13,chop,neutral,up,0,5.1905,0.4707,1w
2021-10-22,chop,up,down,0,-8.7118,0.6133,1w
2021-11-02,chop,neutral,down,0,-5.1399,0.4947,1w
2021-11-11,chop,neutral,down,0,-2.6937,0.4667,1w
2021-11-22,chop,down,down,1,-8.1395,0.4253,1w
2021-12-02,chop,neutral,down,0,-10.0304,0.4653,1w
2021-12-13,chop,down,down,1,-7.5873,0.3733,1w
2021-12-22,trending_bear,down,down,1,-4.9265,0.3787,1w
2022-01-03,trending_bear,down,up,0,2.4694,0.3507,1w
2022-01-12,trending_bear,down,up,0,8.7848,0.2693,1w
2022-01-24,trending_bear,down,up,0,6.0047,0.1013,1w
2022-02-02,trending_bull,down,up,0,1.4032,0.2813,1w
2022-02-11,trending_bull,down,down,1,-5.1596,0.3787,1w
2022-02-23,trending_bull,down,down,1,-7.5923,0.3173,1w
2022-03-04,chop,down,down,1,-6.4452,0.312,1w
2022-03-15,chop,down,down,1,-0.8701,0.3173,1w
2022-03-24,chop,down,up,0,2.4571,0.3507,1w
2022-04-04,chop,down,down,1,-5.9119,0.3747,1w
2022-04-13,chop,neutral,down,0,-7.7185,0.5013,1w
2022-04-25,chop,neutral,down,0,-6.0861,0.488,1w
2022-05-04,chop,down,down,1,-2.1411,0.1787,1w
2022-05-13,chop,down,up,0,4.4602,0.1693,1w
2022-05-24,chop,down,up,0,9.3999,0.1573,1w
2022-06-03,trending_bear,down,up,0,5.5441,0.18,1w
2022-06-14,chop,down,up,0,2.3736,0.3413,1w
2022-06-24,chop,down,up,0,4.6011,0.424,1w
2022-07-06,chop,down,down,1,-4.2176,0.4253,1w
2022-07-15,chop,down,down,1,-7.101,0.4093,1w
2022-07-26,chop,up,down,0,-6.2763,0.5733,1w
2022-08-04,trending_bear,neutral,down,0,-7.641,0.456,1w
2022-08-15,trending_bear,down,down,1,-5.42,0.448,1w
2022-08-24,trending_bear,neutral,down,0,-1.7808,0.4907,1w
2022-09-02,trending_bear,down,down,1,-3.7664,0.312,1w
2022-09-14,trending_bear,down,up,0,2.617,0.216,1w
2022-09-23,trending_bear,down,neutral,0,-0.2651,0.2307,1w
2022-10-04,trending_bear,down,up,0,13.5045,0.152,1w
2022-10-13,trending_bull,down,up,0,2.7095,0.308,1w
2022-10-24,chop,down,up,0,7.5335,0.3067,1w
2022-11-02,chop,down,up,0,7.987,0.424,1w
2022-11-11,chop,neutral,up,0,11.5896,0.488,1w
2022-11-22,chop,up,up,1,9.1513,0.5733,1w
2022-12-02,trending_bull,up,up,1,4.8078,0.724,1w
2022-12-13,trending_bull,up,down,0,-0.7309,0.74,1w
2022-12-22,trending_bull,up,down,0,-2.4223,0.736,1w
2023-01-04,trending_bull,up,up,1,0.9405,0.8253,1w
2023-01-13,trending_bull,up,up,1,2.7574,0.744,1w
2023-01-25,trending_bull,up,up,1,1.2093,0.7707,1w
2023-02-03,trending_bull,up,up,1,3.7986,0.7267,1w
2023-02-14,chop,up,up,1,1.2928,0.7413,1w
2023-02-24,chop,up,neutral,0,0.2513,0.712,1w
2023-03-07,chop,up,down,0,-1.9059,0.6693,1w
2023-03-16,chop,up,down,0,-5.0206,0.5573,1w
2023-03-27,chop,neutral,down,0,-2.4188,0.4787,1w
2023-04-05,chop,neutral,up,0,2.9976,0.512,1w
2023-04-17,chop,down,up,0,10.2731,0.3893,1w
2023-04-26,chop,down,up,0,4.0598,0.424,1w
2023-05-05,chop,up,up,1,4.3505,0.5573,1w
2023-05-16,chop,up,down,0,-1.5765,0.5933,1w
2023-05-25,trending_bull,up,up,1,2.6315,0.6053,1w
2023-06-06,trending_bull,up,up,1,1.7835,0.5907,1w
2023-06-15,chop,neutral,up,0,7.9569,0.5453,1w
2023-06-27,chop,up,up,1,2.7915,0.5907,1w
2023-07-07,chop,up,neutral,0,0.0,0.684,1w
2023-07-18,trending_bull,up,down,0,-4.7401,0.864,1w
2023-07-27,crisis,up,up,1,1.8551,0.616,1w
2023-08-07,crisis,up,up,1,2.5085,0.5733,1w
2023-08-16,chop,neutral,up,0,1.9132,0.5067,1w
2023-08-25,chop,up,up,1,1.9255,0.5733,1w
2023-09-06,chop,up,up,1,7.2306,0.5653,1w
2023-09-15,chop,up,up,1,6.7868,0.5827,1w
2023-09-26,chop,up,up,1,5.4457,0.5733,1w
2023-10-05,chop,up,up,1,2.1964,0.6213,1w
2023-10-16,chop,neutral,up,0,5.4445,0.5387,1w
2023-10-25,chop,up,down,0,-1.3761,0.7,1w
2023-11-03,chop,up,down,0,-3.72,0.692,1w
2023-11-14,high_volatility,up,down,0,-9.6498,0.7693,1w
2023-11-24,high_volatility,up,down,0,-11.3383,0.6347,1w
2023-12-05,chop,up,down,0,-14.2143,0.5853,1w
2023-12-14,trending_bear,down,down,1,-1.6033,0.4053,1w
2023-12-26,trending_bear,down,neutral,0,-0.1358,0.2973,1w
2024-01-05,trending_bear,down,up,0,1.8029,0.1693,1w
2024-01-17,trending_bear,down,down,1,-10.2952,0.2307,1w
2024-01-26,trending_bear,down,down,1,-3.3263,0.184,1w
2024-02-06,high_volatility,down,up,0,6.2651,0.1533,1w
2024-02-15,high_volatility,down,up,0,10.0477,0.0787,1w
2024-02-27,trending_bear,down,up,0,1.3482,0.1653,1w
2024-03-07,crisis,down,down,1,-5.4538,0.288,1w
2024-03-18,high_volatility,down,up,0,3.9687,0.3787,1w
2024-03-27,chop,down,up,0,5.6949,0.4067,1w
2024-04-08,crisis,down,up,0,1.8848,0.4427,1w
2024-04-17,high_volatility,neutral,up,0,7.8694,0.4693,1w
2024-04-26,high_volatility,up,up,1,10.6354,0.5507,1w
