date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-5.088,0.872,1w
2021-01-13,chop,up,down,0,-9.5051,0.7467,1w
2021-01-25,high_volatility,neutral,down,0,-7.1388,0.4707,1w
2021-02-03,crisis,down,down,1,-10.8226,0.4067,1w
2021-02-12,crisis,down,down,1,-2.7907,0.2853,1w
2021-02-24,crisis,down,up,0,5.9923,0.26,1w
2021-03-05,crisis,down,up,0,15.1352,0.2733,1w
2021-03-16,crisis,down,up,0,6.7664,0.26,1w
2021-03-25,high_volatility,down,down,1,-2.616,0.356,1w
2021-04-06,trending_bull,down,down,1,-2.3115,0.4067,1w
2021-04-15,chop,down,down,1,-5.61,0.3653,1w
2021-04-26,chop,down,up,0,2.0478,0.444,1w
2021-05-05,chop,down,up,0,3.7749,0.432,1w
2021-05-14,chop,neutral,down,0,-2.051,0.5013,1w
2021-05-25,chop,up,down,0,-7.0422,0.5933,1w
2021-06-04,chop,up,down,0,-18.4604,0.6987,1w
2021-06-15,chop,neutral,down,0,-9.0014,0.5053,1w
2021-06-24,chop,down,down,1,-4.9929,0.368,1w
2021-07-06,chop,down,up,0,9.3952,0.2333,1w
2021-07-15,trending_bear,down,up,0,12.481,0.2347,1w
2021-07-26,chop,down,up,0,2.6376,0.3467,1w
2021-08-04,chop,down,down,1,-7.2593,0.3653,1w
2021-08-13,trending_bull,neutral,down,0,-8.1496,0.4867,1w
2021-08-24,chop,down,down,1,-6.1139,0.336,1w
2021-09-02,chop,down,down,1,-0.6805,0.2093,1w
2021-09-14,chop,down,down,1,-5.2273,0.4067,1w
2021-09-23,chop,down,up,0,7.1224,0.292,1w
2021-10-04,chop,neutral,up,0,4.0878,0.4773,1w
2021-10-13,chop,down,up,0,16.2536,0.424,1w
2021-10-22,chop,neutral,up,0,20.2251,0.4787,1w
2021-11-02,trending_bull,down,up,0,14.9816,0.4453,1w
2021-11-11,trending_bull,neutral,up,0,2.1206,0.548,1w
2021-11-22,trending_bull,up,down,0,-2.9265,0.6693,1w
2021-12-02,trending_bull,up,down,0,-5.6321,0.752,1w
2021-12-13,trending_bull,up,down,0,-3.9539,0.7253,1w
2021-12-22,chop,up,neutral,0,0.296,0.768,1w
2022-01-03,chop,up,up,1,4.8237,0.6533,1w
2022-01-12,chop,up,neutral,0,-0.015,0.724,1w
2022-01-24,chop,up,up,1,1.6945,0.7467,1w
2022-02-02,chop,up,up,1,10.6458,0.6973,1w
2022-02-11,chop,neutral,down,0,-0.5479,0.4907,1w
2022-02-23,chop,down,neutral,0,-0.4655,0.412,1w
2022-03-04,trending_bull,up,up,1,1.4121,0.5747,1w
2022-03-15,chop,down,up,0,6.32,0.4067,1w
2022-03-24,high_volatility,up,up,1,5.7505,0.5573,1w
2022-04-04,chop,up,up,1,1.4595,0.6707,1w
2022-04-13,trending_bull,up,up,1,1.7801,0.6027,1w
2022-04-25,trending_bull,up,down,0,-2.7781,0.6933,1w
2022-05-04,trending_bull,up,down,0,-0.6134,0.676,1w
2022-05-13,chop,up,up,1,2.6686,0.6693,1w
2022-05-24,chop,neutral,up,0,4.3359,0.5053,1w
2022-06-03,chop,neutral,up,0,1.3315,0.5293,1w
2022-06-14,chop,up,up,1,1.5062,0.7293,1w
2022-06-24,chop,up,up,1,3.316,0.6573,1w
2022-07-06,chop,neutral,up,0,3.6515,0.5267,1w
2022-07-15,chop,up,down,0,-1.2725,0.5987,1w
2022-07-26,chop,up,down,0,-1.7393,0.6107,1w
2022-08-04,chop,neutral,down,0,-0.5478,0.5427,1w
2022-08-15,chop,up,up,1,3.5173,0.5533,1w
2022-08-24,chop,up,down,0,-0.9894,0.6173,1w
2022-09-02,chop,up,down,0,-1.221,0.616,1w
2022-09-14,chop,up,down,0,-2.6032,0.5587,1w
2022-09-23,chop,neutral,down,0,-1.0614,0.464,1w
2022-10-04,chop,up,up,1,5.3534,0.5693,1w
2022-10-13,chop,down,up,0,5.4082,0.4013,1w
2022-10-24,chop,down,up,0,12.9645,0.312,1w
2022-11-02,chop,neutral,up,0,3.9201,0.4907,1w
2022-11-11,chop,up,up,1,1.5463,0.6107,1w
2022-11-22,trending_bull,up,down,0,-0.5336,0.6627,1w
2022-12-02,trending_bull,up,up,1,1.1437,0.6173,1w
2022-12-13,high_volatility,up,down,0,-0.7493,0.58,1w
2022-12-22,chop,up,down,0,-1.5759,0.6947,1w
2023-01-04,chop,up,down,0,-2.0752,0.6987,1w
2023-01-13,chop,up,up,1,2.8642,0.6267,1w
2023-01-25,chop,up,up,1,10.1228,0.7173,1w
2023-02-03,chop,neutral,up,0,11.5627,0.5107,1w
2023-02-14,chop,neutral,up,0,9.5464,0.548,1w
2023-02-24,trending_bull,up,up,1,5.4255,0.6267,1w
2023-03-07,trending_bull,up,neutral,0,0.1685,0.7547,1w
2023-03-16,trending_bull,up,down,0,-4.3616,0.82,1w
2023-03-27,trending_bull,up,down,0,-4.8045,0.824,1w
2023-04-05,trending_bull,up,down,0,-7.592,0.7947,1w
2023-04-17,trending_bear,up,down,0,-3.5744,0.7213,1w
2023-04-26,trending_bear,up,down,0,-1.7171,0.7253,1w
2023-05-05,crisis,neutral,up,0,1.5062,0.528,1w
2023-05-16,trending_bear,neutral,up,0,2.0161,0.4653,1w
2023-05-25,chop,down,up,0,2.3045,0.3867,1w
2023-06-06,chop,down,neutral,0,0.4356,0.2693,1w
2023-06-15,chop,down,up,0,1.9654,0.2613,1w
2023-06-27,chop,down,up,0,2.5374,0.2747,1w
2023-07-07,chop,down,up,0,3.3534,0.2853,1w
