date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-01,chop,up,down,0,-9.0997,0.6733,1w
2021-01-08,chop,up,down,0,-3.1073,0.764,1w
2021-01-15,chop,up,up,1,14.4615,0.6653,1w
2021-01-22,chop,neutral,up,0,7.4947,0.512,1w
2021-01-29,chop,neutral,up,0,14.4922,0.536,1w
2021-02-05,chop,neutral,up,0,15.1288,0.4653,1w
2021-02-12,chop,neutral,up,0,21.5488,0.4707,1w
2021-02-19,chop,neutral,down,0,-14.253,0.5467,1w
2021-02-26,chop,neutral,down,0,-20.4533,0.4867,1w
2021-03-05,trending_bull,up,down,0,-28.3913,0.6173,1w
2021-03-12,trending_bear,neutral,down,0,-28.2247,0.456,1w
2021-03-19,chop,up,down,0,-21.2527,0.5573,1w
2021-03-26,trending_bear,down,down,1,-4.9355,0.424,1w
2021-04-02,trending_bear,down,up,0,7.4604,0.3293,1w
2021-04-09,trending_bear,down,up,0,38.7394,0.296,1w
2021-04-16,trending_bear,down,up,0,15.8331,0.3507,1w
2021-04-23,chop,down,up,0,3.0768,0.26,1w
2021-04-30,chop,down,down,1,-41.5249,0.3493,1w
2021-05-07,trending_bull,down,down,1,-37.2498,0.32,1w
2021-05-14,chop,down,up,0,0.5706,0.304,1w
2021-05-21,trending_bear,down,down,1,-3.4177,0.2693,1w
2021-05-28,trending_bear,down,down,1,-23.9502,0.3067,1w
2021-06-04,chop,down,down,1,-7.9532,0.4467,1w
2021-06-11,chop,down,down,1,-13.3706,0.3893,1w
2021-06-18,chop,down,up,0,0.5799,0.2267,1w
2021-06-25,chop,down,up,0,17.913,0.3347,1w
2021-07-02,trending_bear,down,up,0,29.3067,0.1653,1w
2021-07-09,chop,down,up,0,4.9687,0.1907,1w
2021-07-16,chop,down,down,1,-12.4408,0.4253,1w
2021-07-23,chop,neutral,down,0,-21.5085,0.5053,1w
2021-07-30,trending_bull,down,down,1,-16.3344,0.4093,1w
2021-08-06,chop,down,down,1,-22.6842,0.3733,1w
2021-08-13,chop,down,down,1,-51.7297,0.396,1w
2021-08-20,trending_bear,down,down,1,-39.6906,0.3853,1w
2021-08-27,trending_bear,down,down,1,-38.8127,0.3187,1w
2021-09-03,trending_bear,down,up,0,0.7516,0.1613,1w
2021-09-10,trending_bear,down,up,0,34.6315,0.1653,1w
2021-09-17,trending_bear,down,up,0,1.0066,0.1413,1w
2021-09-24,trending_bear,down,up,0,2.0236,0.144,1w
2021-10-01,trending_bull,down,down,1,-22.2915,0.2667,1w
2021-10-08,chop,down,up,0,4.3714,0.1933,1w
2021-10-15,chop,down,down,1,-14.0141,0.2347,1w
2021-10-22,chop,down,up,0,15.3038,0.24,1w
2021-10-29,chop,down,up,0,13.1683,0.2933,1w
2021-11-05,chop,down,up,0,16.2493,0.412,1w
2021-11-12,chop,neutral,up,0,31.6229,0.4907,1w
2021-11-19,chop,neutral,down,0,-3.0204,0.5467,1w
2021-11-26,chop,neutral,down,0,-9.2926,0.5133,1w
2021-12-03,trending_bull,neutral,down,0,-26.1156,0.5387,1w
2021-12-10,trending_bull,up,up,1,7.2262,0.5973,1w
2021-12-17,trending_bear,neutral,up,0,16.3305,0.464,1w
2021-12-24,trending_bear,up,up,1,2.8168,0.5693,1w
2021-12-31,chop,up,up,1,1.9891,0.58,1w
2022-01-07,chop,up,neutral,0,-0.0906,0.5867,1w
2022-01-14,chop,neutral,down,0,-5.4902,0.504,1w
2022-01-21,chop,neutral,down,0,-12.0617,0.4707,1w
2022-01-28,chop,neutral,down,0,-9.1821,0.456,1w
2022-02-04,chop,down,up,0,11.8564,0.2813,1w
2022-02-11,chop,down,up,0,5.8879,0.4467,1w
2022-02-18,chop,neutral,down,0,-12.3919,0.524,1w
2022-02-25,chop,up,down,0,-21.8486,0.5613,1w
2022-03-04,chop,down,up,0,9.6629,0.4333,1w
2022-03-11,chop,down,up,0,13.2651,0.3733,1w
2022-03-18,chop,down,down,1,-5.7141,0.4253,1w
