date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-8.6299,0.7573,1w
2021-01-13,chop,up,down,0,-6.3614,0.6227,1w
2021-01-25,chop,neutral,neutral,0,-0.1213,0.4653,1w
2021-02-03,trending_bear,down,up,0,3.5441,0.412,1w
2021-02-12,chop,down,up,0,14.5851,0.3293,1w
2021-02-24,chop,down,up,0,19.2523,0.3467,1w
2021-03-05,chop,neutral,up,0,11.3364,0.5373,1w
2021-03-16,trending_bull,up,up,1,11.842,0.5853,1w
2021-03-25,trending_bull,up,down,0,-3.1145,0.5867,1w
2021-04-06,trending_bull,up,down,0,-1.1495,0.6053,1w
2021-04-15,trending_bull,up,down,0,-3.5914,0.7747,1w
2021-04-26,trending_bull,up,up,1,6.4585,0.7253,1w
2021-05-05,high_volatility,up,up,1,2.899,0.704,1w
2021-05-14,crisis,up,neutral,0,-0.12,0.7933,1w
2021-05-25,crisis,up,up,1,2.2094,0.8053,1w
2021-06-04,crisis,up,up,1,8.4635,0.6853,1w
2021-06-15,high_volatility,up,up,1,12.4145,0.5573,1w
2021-06-24,crisis,up,up,1,1.8212,0.5907,1w
2021-07-06,high_volatility,up,down,0,-4.9432,0.632,1w
2021-07-15,trending_bull,up,down,0,-6.7896,0.5853,1w
2021-07-26,chop,up,down,0,-4.6541,0.6933,1w
2021-08-04,chop,up,up,1,1.4223,0.5733,1w
2021-08-13,trending_bear,up,down,0,-2.3762,0.5573,1w
2021-08-24,chop,neutral,down,0,-2.5088,0.5173,1w
2021-09-02,chop,neutral,up,0,6.7103,0.5053,1w
2021-09-14,chop,up,up,1,4.8319,0.56,1w
2021-09-23,chop,down,up,0,9.4105,0.3787,1w
2021-10-04,crisis,down,up,0,6.878,0.4213,1w
2021-10-13,crisis,down,up,0,11.0268,0.4253,1w
2021-10-22,crisis,neutral,up,0,4.1039,0.5107,1w
2021-11-02,crisis,up,up,1,4.6211,0.6787,1w
2021-11-11,high_volatility,up,up,1,4.5344,0.704,1w
2021-11-22,high_volatility,up,up,1,1.9757,0.656,1w
2021-12-02,chop,up,down,0,-2.607,0.764,1w
2021-12-13,chop,up,neutral,0,0.1283,0.7253,1w
2021-12-22,chop,up,down,0,-5.1791,0.7267,1w
2022-01-03,chop,up,down,0,-8.9232,0.6627,1w
2022-01-12,chop,up,down,0,-3.1027,0.6107,1w
2022-01-24,chop,neutral,down,0,-6.0476,0.452,1w
2022-02-02,chop,down,down,1,-5.6294,0.3213,1w
2022-02-11,chop,down,down,1,-5.2048,0.4467,1w
2022-02-23,trending_bear,down,up,0,4.505,0.2693,1w
2022-03-04,trending_bear,down,up,0,14.1615,0.1733,1w
2022-03-15,trending_bear,down,up,0,13.7165,0.2947,1w
2022-03-24,chop,down,up,0,15.0149,0.2933,1w
2022-04-04,chop,down,up,0,18.2752,0.4093,1w
2022-04-13,trending_bull,neutral,up,0,16.9975,0.5427,1w
2022-04-25,trending_bull,up,up,1,13.4498,0.6613,1w
2022-05-04,high_volatility,up,up,1,4.1153,0.8307,1w
2022-05-13,trending_bull,up,up,1,2.5352,0.8107,1w
2022-05-24,high_volatility,up,up,1,5.9559,0.9053,1w
