date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,up,0,9.2138,0.52,1w
2021-01-13,chop,neutral,up,0,6.6787,0.4907,1w
2021-01-25,trending_bull,neutral,up,0,3.4474,0.4653,1w
2021-02-03,high_volatility,up,up,1,16.4102,0.8867,1w
2021-02-12,trending_bull,up,up,1,12.9534,0.8147,1w
2021-02-24,high_volatility,up,up,1,15.2778,0.7427,1w
2021-03-05,crisis,up,down,0,-2.6563,0.924,1w
2021-03-16,crisis,up,up,1,4.208,0.848,1w
2021-03-25,crisis,up,down,0,-0.8761,0.8187,1w
2021-04-06,high_volatility,up,down,0,-2.081,0.772,1w
2021-04-15,chop,up,down,0,-7.3744,0.8,1w
2021-04-26,chop,up,down,0,-2.2263,0.724,1w
2021-05-05,chop,up,neutral,0,-0.4199,0.6387,1w
2021-05-14,chop,up,down,0,-1.9737,0.6067,1w
2021-05-25,chop,up,down,0,-6.6833,0.6267,1w
2021-06-04,chop,down,down,1,-6.1985,0.4013,1w
2021-06-15,chop,down,down,1,-3.8109,0.3733,1w
2021-06-24,chop,down,down,1,-4.5915,0.2947,1w
2021-07-06,chop,down,up,0,0.8007,0.3507,1w
2021-07-15,chop,down,up,0,9.0015,0.2107,1w
2021-07-26,trending_bear,down,up,0,9.1505,0.2853,1w
2021-08-04,chop,down,down,1,-0.6349,0.3973,1w
2021-08-13,chop,neutral,down,0,-5.9282,0.4653,1w
2021-08-24,chop,down,down,1,-2.0363,0.4213,1w
2021-09-02,chop,down,down,1,-4.4986,0.3787,1w
2021-09-14,chop,down,down,1,-4.6108,0.4253,1w
2021-09-23,chop,neutral,up,0,10.0564,0.488,1w
2021-10-04,chop,down,up,0,19.5809,0.3147,1w
2021-10-13,chop,neutral,up,0,20.8912,0.4653,1w
2021-10-22,chop,up,up,1,5.1327,0.692,1w
2021-11-02,trending_bull,up,up,1,0.9638,0.6733,1w
2021-11-11,trending_bull,up,up,1,5.4957,0.656,1w
2021-11-22,trending_bull,up,up,1,2.3338,0.6213,1w
2021-12-02,trending_bull,up,down,0,-3.7684,0.6907,1w
2021-12-13,trending_bull,up,down,0,-3.8482,0.6987,1w
2021-12-22,chop,up,down,0,-6.2737,0.7213,1w
2022-01-03,chop,up,down,0,-4.0525,0.724,1w
2022-01-12,chop,up,up,1,7.1449,0.6747,1w
2022-01-24,trending_bear,down,up,0,5.4871,0.4227,1w
2022-02-02,chop,down,up,0,5.2525,0.3507,1w
2022-02-11,chop,up,down,0,-1.0985,0.5733,1w
2022-02-23,chop,neutral,down,0,-0.5979,0.464,1w
2022-03-04,chop,down,up,0,2.0641,0.3733,1w
2022-03-15,chop,down,up,0,3.1168,0.412,1w
2022-03-24,chop,down,neutral,0,0.4626,0.4253,1w
2022-04-04,chop,neutral,down,0,-7.7675,0.536,1w
2022-04-13,chop,up,down,0,-7.7036,0.7,1w
2022-04-25,chop,up,down,0,-1.928,0.5907,1w
2022-05-04,chop,down,neutral,0,0.4863,0.416,1w
2022-05-13,trending_bear,down,up,0,1.758,0.2933,1w
2022-05-24,chop,down,up,0,2.9408,0.2973,1w
2022-06-03,chop,down,up,0,0.6563,0.3347,1w
2022-06-14,chop,down,up,0,3.0749,0.3507,1w
2022-06-24,chop,down,neutral,0,-0.075,0.3507,1w
2022-07-06,chop,down,down,1,-2.8319,0.2973,1w
2022-07-15,chop,down,down,1,-2.6596,0.3507,1w
2022-07-26,chop,down,up,0,0.8715,0.404,1w
2022-08-04,chop,down,neutral,0,-0.3598,0.3893,1w
2022-08-15,chop,down,down,1,-3.6836,0.4253,1w
2022-08-24,chop,neutral,down,0,-7.8551,0.536,1w
2022-09-02,chop,down,down,1,-5.3333,0.3653,1w
2022-09-14,trending_bear,down,up,0,4.0113,0.28,1w
2022-09-23,trending_bear,down,up,0,7.8654,0.2253,1w
2022-10-04,trending_bear,down,up,0,15.2737,0.1533,1w
2022-10-13,trending_bull,down,up,0,1.049,0.404,1w
2022-10-24,trending_bull,down,up,0,0.6053,0.4267,1w
2022-11-02,trending_bull,neutral,neutral,0,0.1242,0.5053,1w
2022-11-11,trending_bull,neutral,up,0,2.3498,0.4693,1w
2022-11-22,chop,neutral,neutral,0,-0.1316,0.4667,1w
2022-12-02,chop,up,up,1,2.6062,0.5907,1w
2022-12-13,chop,up,up,1,2.823,0.5987,1w
2022-12-22,chop,up,down,0,-4.2516,0.6653,1w
2023-01-04,chop,up,down,0,-7.6232,0.752,1w
2023-01-13,chop,up,down,0,-8.3861,0.5907,1w
2023-01-25,chop,down,neutral,0,-0.1698,0.3507,1w
2023-02-03,trending_bear,down,up,0,2.2744,0.2413,1w
2023-02-14,trending_bear,down,up,0,3.7572,0.2853,1w
2023-02-24,trending_bear,down,up,0,4.3752,0.304,1w
2023-03-07,chop,down,up,0,5.9048,0.3747,1w
2023-03-16,chop,down,up,0,4.873,0.3893,1w
2023-03-27,chop,down,up,0,1.7514,0.4253,1w
2023-04-05,trending_bull,neutral,up,0,2.299,0.456,1w
2023-04-17,chop,down,up,0,1.7608,0.4467,1w
2023-04-26,trending_bull,up,up,1,1.3137,0.7347,1w
2023-05-05,trending_bull,up,neutral,0,0.3614,0.7467,1w
2023-05-16,trending_bull,up,down,0,-0.7314,0.7933,1w
2023-05-25,chop,up,up,1,2.5429,0.768,1w
2023-06-06,chop,up,down,0,-1.4639,0.728,1w
2023-06-15,chop,up,up,1,3.7167,0.656,1w
2023-06-27,chop,neutral,up,0,12.3456,0.544,1w
2023-07-07,chop,neutral,up,0,17.6537,0.54,1w
2023-07-18,chop,up,up,1,17.708,0.6173,1w
2023-07-27,crisis,up,up,1,5.7729,0.7787,1w
2023-08-07,crisis,up,up,1,4.2388,0.8133,1w
2023-08-16,high_volatility,up,up,1,2.8537,0.8867,1w
2023-08-25,trending_bull,up,up,1,3.7031,0.9107,1w
2023-09-06,trending_bull,up,up,1,6.7945,0.916,1w
2023-09-15,trending_bull,up,up,1,6.7001,0.9413,1w
2023-09-26,trending_bull,up,down,0,-2.2844,0.9333,1w
2023-10-05,trending_bull,up,down,0,-10.3115,0.9533,1w
2023-10-16,trending_bull,up,down,0,-8.9911,0.9373,1w
2023-10-25,crisis,up,down,0,-3.5693,0.6173,1w
2023-11-03,high_volatility,down,down,1,-4.7561,0.4293,1w
2023-11-14,crisis,neutral,down,0,-7.6509,0.456,1w
2023-11-24,high_volatility,down,down,1,-5.8821,0.3893,1w
2023-12-05,trending_bear,down,down,1,-9.9482,0.2853,1w
2023-12-14,trending_bear,down,down,1,-0.9743,0.216,1w
2023-12-26,trending_bear,down,down,1,-6.639,0.1707,1w
2024-01-05,trending_bear,down,down,1,-3.3279,0.0733,1w
2024-01-17,trending_bear,down,down,1,-12.5999,0.1093,1w
2024-01-26,crisis,down,down,1,-1.7387,0.1747,1w
2024-02-06,high_volatility,down,up,0,8.6224,0.184,1w
2024-02-15,high_volatility,down,up,0,9.4869,0.152,1w
2024-02-27,trending_bear,down,down,1,-1.2481,0.2253,1w
2024-03-07,crisis,down,down,1,-5.4428,0.3507,1w
2024-03-18,high_volatility,down,down,1,-0.5699,0.4013,1w
2024-03-27,high_volatility,down,up,0,6.53,0.32,1w
2024-04-08,crisis,down,up,0,2.6588,0.4093,1w
2024-04-17,crisis,down,up,0,3.2138,0.3973,1w
2024-04-26,high_volatility,up,down,0,-0.8498,0.5573,1w
2024-05-07,chop,up,up,1,2.2432,0.5853,1w
2024-05-16,chop,up,down,0,-0.839,0.6173,1w
2024-05-28,chop,up,down,0,-3.3272,0.56,1w
2024-06-06,chop,neutral,down,0,-2.64,0.5173,1w
2024-06-17,chop,neutral,down,0,-2.1315,0.4827,1w
2024-06-27,chop,neutral,down,0,-10.1429,0.536,1w
2024-07-09,chop,neutral,down,0,-8.9581,0.4813,1w
2024-07-18,chop,neutral,up,0,7.3915,0.4827,1w
2024-07-29,chop,down,up,0,8.3614,0.2947,1w
2024-08-07,trending_bear,down,up,0,8.0079,0.3307,1w
2024-08-16,chop,down,up,0,6.9676,0.3707,1w
2024-08-27,chop,down,up,0,8.7657,0.3893,1w
2024-09-06,trending_bull,down,up,0,10.8112,0.4093,1w
2024-09-17,trending_bull,neutral,up,0,4.6962,0.488,1w
2024-09-26,trending_bull,up,down,0,-2.6923,0.5707,1w
2024-10-07,trending_bull,up,down,0,-7.6493,0.6267,1w
