date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bear,down,down,1,-20.0281,0.0707,1w
2021-01-13,trending_bear,down,down,1,-14.0246,0.0627,1w
2021-01-25,trending_bear,down,down,1,-19.7903,0.0427,1w
2021-02-03,trending_bear,down,down,1,-15.5906,0.0787,1w
2021-02-12,trending_bear,down,down,1,-24.6541,0.144,1w
2021-02-24,trending_bear,down,up,0,8.8918,0.152,1w
2021-03-05,trending_bear,down,up,0,13.0455,0.2747,1w
2021-03-16,trending_bear,down,up,0,26.0744,0.2333,1w
2021-03-25,chop,down,down,1,-5.9224,0.3027,1w
2021-04-06,chop,down,down,1,-16.3859,0.3187,1w
2021-04-15,chop,down,down,1,-38.2735,0.3733,1w
2021-04-26,chop,down,down,1,-32.844,0.368,1w
2021-05-05,chop,down,down,1,-21.6704,0.376,1w
2021-05-14,trending_bear,down,down,1,-28.2153,0.2493,1w
2021-05-25,trending_bear,down,up,0,3.7709,0.3307,1w
2021-06-04,trending_bear,down,down,1,-3.8182,0.3507,1w
2021-06-15,trending_bear,down,up,0,10.3279,0.2267,1w
2021-06-24,trending_bear,down,down,1,-10.9184,0.22,1w
2021-07-06,chop,down,neutral,0,-0.1912,0.2253,1w
2021-07-15,chop,down,up,0,2.489,0.176,1w
2021-07-26,chop,down,down,1,-10.6518,0.2267,1w
2021-08-04,chop,down,down,1,-31.0367,0.3147,1w
2021-08-13,chop,down,down,1,-12.7644,0.3733,1w
2021-08-24,chop,down,down,1,-19.883,0.3693,1w
2021-09-02,chop,down,down,1,-9.8422,0.2747,1w
2021-09-14,chop,neutral,down,0,-24.222,0.4693,1w
2021-09-23,chop,down,down,1,-0.7901,0.256,1w
2021-10-04,trending_bear,down,down,1,-1.7609,0.256,1w
2021-10-13,chop,down,up,0,51.0297,0.2867,1w
2021-10-22,trending_bear,down,up,0,25.896,0.3,1w
2021-11-02,chop,down,up,0,20.7442,0.2973,1w
2021-11-11,trending_bull,neutral,down,0,-12.7311,0.464,1w
2021-11-22,chop,down,neutral,0,0.3745,0.4253,1w
2021-12-02,chop,up,down,0,-18.6065,0.5747,1w
2021-12-13,chop,neutral,down,0,-9.9757,0.4947,1w
2021-12-22,chop,up,up,1,18.6802,0.5773,1w
2022-01-03,chop,neutral,up,0,58.2656,0.456,1w
2022-01-12,chop,up,up,1,29.8923,0.5907,1w
2022-01-24,chop,up,up,1,11.973,0.6213,1w
2022-02-02,trending_bull,up,down,0,-34.0046,0.6987,1w
2022-02-11,trending_bull,neutral,down,0,-34.9101,0.4947,1w
2022-02-23,trending_bull,up,down,0,-70.7668,0.5907,1w
2022-03-04,chop,down,down,1,-57.0627,0.424,1w
2022-03-15,trending_bear,down,up,0,28.3293,0.372,1w
