date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-01,trending_bull,up,down,0,-12.1334,0.6387,1w
2021-01-08,trending_bull,up,down,0,-0.5078,0.7133,1w
2021-01-15,chop,up,up,1,18.3186,0.6227,1w
2021-01-22,chop,neutral,up,0,18.5015,0.504,1w
2021-01-29,chop,up,up,1,7.9588,0.5827,1w
2021-02-05,chop,neutral,up,0,7.4962,0.468,1w
2021-02-12,chop,neutral,up,0,37.87,0.5173,1w
2021-02-19,chop,neutral,up,0,4.1143,0.52,1w
2021-02-26,chop,down,up,0,8.0672,0.4467,1w
2021-03-05,trending_bull,up,down,0,-19.1084,0.728,1w
2021-03-12,trending_bull,up,down,0,-30.4134,0.5547,1w
2021-03-19,chop,up,down,0,-23.5705,0.6773,1w
2021-03-26,chop,up,down,0,-13.1049,0.5907,1w
2021-04-02,trending_bear,down,neutral,0,-0.2102,0.3947,1w
2021-04-09,trending_bear,down,down,1,-5.428,0.356,1w
2021-04-16,trending_bear,down,down,1,-15.354,0.3893,1w
2021-04-23,trending_bear,down,down,1,-11.0226,0.324,1w
2021-04-30,trending_bear,down,down,1,-18.6594,0.2747,1w
2021-05-07,trending_bear,down,down,1,-23.7954,0.1653,1w
2021-05-14,trending_bear,down,up,0,18.0927,0.1733,1w
2021-05-21,trending_bear,down,up,0,6.2775,0.148,1w
2021-05-28,trending_bear,down,down,1,-13.8007,0.168,1w
2021-06-04,trending_bull,down,down,1,-11.6472,0.408,1w
2021-06-11,chop,down,down,1,-10.8871,0.3307,1w
2021-06-18,chop,down,up,0,0.9554,0.2093,1w
2021-06-25,chop,down,up,0,24.8437,0.2973,1w
2021-07-02,trending_bear,down,up,0,17.8637,0.3213,1w
2021-07-09,chop,down,up,0,1.8858,0.2973,1w
2021-07-16,chop,neutral,down,0,-13.4252,0.548,1w
2021-07-23,trending_bull,up,down,0,-14.3215,0.5693,1w
2021-07-30,trending_bull,down,down,1,-6.8169,0.4253,1w
2021-08-06,chop,down,down,1,-12.7716,0.3587,1w
2021-08-13,chop,down,down,1,-39.0129,0.412,1w
2021-08-20,chop,down,down,1,-28.1748,0.424,1w
2021-08-27,trending_bear,down,down,1,-34.0562,0.428,1w
2021-09-03,trending_bear,down,down,1,-5.1664,0.2107,1w
