date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-0.9449,0.4493,1w
2021-01-13,chop,up,down,0,-18.5102,0.6027,1w
2021-01-25,chop,down,down,1,-20.1633,0.4467,1w
2021-02-03,chop,neutral,down,0,-16.1063,0.524,1w
2021-02-12,chop,down,up,0,8.721,0.2307,1w
2021-02-24,trending_bear,down,up,0,15.7363,0.2093,1w
2021-03-05,trending_bear,down,up,0,11.7476,0.3467,1w
2021-03-16,trending_bear,down,up,0,5.7514,0.388,1w
2021-03-25,chop,down,down,1,-0.7346,0.3467,1w
2021-04-06,trending_bull,down,down,1,-9.7138,0.4013,1w
2021-04-15,trending_bull,down,down,1,-0.7785,0.3507,1w
2021-04-26,trending_bull,down,up,0,5.3358,0.376,1w
2021-05-05,trending_bear,down,up,0,13.2885,0.2973,1w
2021-05-14,crisis,up,down,0,-7.5251,0.6587,1w
2021-05-25,crisis,up,down,0,-5.916,0.7,1w
2021-06-04,high_volatility,up,down,0,-4.811,0.6573,1w
2021-06-15,chop,neutral,neutral,0,0.3777,0.4653,1w
2021-06-24,chop,neutral,down,0,-5.6788,0.5013,1w
2021-07-06,chop,down,up,0,2.6704,0.4467,1w
2021-07-15,chop,down,up,0,4.2711,0.396,1w
2021-07-26,chop,neutral,up,0,1.3035,0.4667,1w
2021-08-04,chop,neutral,down,0,-4.8936,0.5467,1w
2021-08-13,chop,neutral,down,0,-15.3781,0.4533,1w
2021-08-24,chop,down,down,1,-21.9257,0.376,1w
2021-09-02,chop,down,down,1,-21.0152,0.2973,1w
2021-09-14,chop,down,down,1,-25.9218,0.312,1w
2021-09-23,trending_bear,down,down,1,-18.0812,0.152,1w
2021-10-04,trending_bear,down,down,1,-7.5871,0.1653,1w
2021-10-13,trending_bear,down,down,1,-5.7018,0.1173,1w
2021-10-22,trending_bear,down,down,1,-14.6667,0.1227,1w
2021-11-02,trending_bear,down,down,1,-20.7092,0.172,1w
2021-11-11,trending_bear,down,down,1,-12.3028,0.1533,1w
2021-11-22,trending_bear,down,down,1,-9.0909,0.124,1w
2021-12-02,trending_bear,down,down,1,-2.5408,0.144,1w
2021-12-13,trending_bear,down,up,0,6.338,0.1693,1w
2021-12-22,trending_bear,down,up,0,1.9268,0.1947,1w
2022-01-03,trending_bear,down,up,0,3.125,0.2,1w
2022-01-12,chop,down,down,1,-31.1864,0.376,1w
2022-01-24,chop,down,down,1,-31.8868,0.2933,1w
2022-02-02,chop,down,down,1,-37.2624,0.2973,1w
2022-02-11,chop,down,down,1,-34.0967,0.1933,1w
2022-02-23,trending_bear,down,down,1,-32.3034,0.18,1w
2022-03-04,trending_bear,down,down,1,-21.8649,0.1707,1w
2022-03-15,trending_bear,down,down,1,-8.8353,0.0773,1w
2022-03-24,trending_bear,down,down,1,-5.9055,0.0787,1w
2022-04-04,trending_bear,down,down,1,-12.3967,0.076,1w
2022-04-13,trending_bear,down,up,0,9.2105,0.0507,1w
2022-04-25,trending_bear,down,down,1,-7.4766,0.0787,1w
2022-05-04,chop,down,down,1,-16.2281,0.072,1w
2022-05-13,chop,down,down,1,-10.6719,0.1733,1w
2022-05-24,chop,down,up,0,5.8511,0.1413,1w
2022-06-03,chop,down,up,0,16.1111,0.1707,1w
2022-06-14,chop,down,down,1,-24.4444,0.4093,1w
2022-06-24,chop,down,down,1,-13.3971,0.3333,1w
2022-07-06,chop,down,down,1,-24.2009,0.388,1w
2022-07-15,chop,down,up,0,4.321,0.312,1w
2022-07-26,chop,down,down,1,-12.2807,0.3813,1w
2022-08-04,chop,down,down,1,-13.7931,0.3133,1w
2022-08-15,chop,down,down,1,-15.6977,0.2787,1w
2022-08-24,chop,down,down,1,-10.3226,0.3653,1w
2022-09-02,chop,down,down,1,-9.4595,0.3787,1w
2022-09-14,chop,down,down,1,-14.2857,0.236,1w
2022-09-23,chop,down,up,0,5.3846,0.256,1w
2022-10-04,chop,down,down,1,-21.4815,0.22,1w
2022-10-13,chop,down,down,1,-14.8148,0.356,1w
2022-10-24,chop,down,down,1,-3.7313,0.336,1w
2022-11-02,chop,down,up,0,39.2857,0.2693,1w
2022-11-11,chop,down,up,0,21.5385,0.312,1w
2022-11-22,chop,down,up,0,37.3016,0.4027,1w
2022-12-02,chop,neutral,up,0,12.9032,0.5013,1w
2022-12-13,chop,neutral,down,0,-12.4294,0.492,1w
2022-12-22,chop,up,down,0,-23.3333,0.588,1w
2023-01-04,trending_bull,up,down,0,-24.1177,0.5827,1w
2023-01-13,chop,neutral,up,0,10.4167,0.5373,1w
2023-01-25,chop,neutral,up,0,5.7143,0.4933,1w
2023-02-03,chop,up,up,1,26.6667,0.5573,1w
2023-02-14,chop,up,down,0,-1.875,0.5867,1w
2023-02-24,chop,up,up,1,0.6494,0.5733,1w
2023-03-07,trending_bull,neutral,down,0,-22.5434,0.544,1w
2023-03-16,trending_bull,down,down,1,-17.3913,0.3893,1w
2023-03-27,chop,down,down,1,-23.4177,0.376,1w
2023-04-05,chop,down,down,1,-3.6496,0.3173,1w
2023-04-17,chop,down,down,1,-1.5152,0.4147,1w
2023-04-26,chop,down,up,0,4.9587,0.376,1w
2023-05-05,chop,neutral,up,0,2.3077,0.4587,1w
2023-05-16,chop,down,down,1,-13.7405,0.2973,1w
2023-05-25,chop,down,down,1,-21.875,0.3067,1w
2023-06-06,chop,down,down,1,-19.084,0.2573,1w
2023-06-15,chop,down,up,0,24.0741,0.1947,1w
2023-06-27,chop,down,up,0,71.8447,0.144,1w
2023-07-07,chop,down,up,0,371.6981,0.256,1w
2023-07-18,chop,neutral,up,0,319.8529,0.4907,1w
2023-07-27,trending_bull,up,up,1,215.4639,0.7547,1w
2023-08-07,crisis,up,down,0,-17.0437,0.8,1w
2023-08-16,crisis,up,up,1,3.8206,0.7947,1w
2023-08-25,high_volatility,up,up,1,36.7113,0.8147,1w
2023-09-06,high_volatility,up,up,1,16.0959,0.7827,1w
2023-09-15,trending_bull,up,down,0,-2.2152,0.8453,1w
2023-09-26,trending_bull,up,down,0,-9.5101,0.8707,1w
2023-10-05,chop,up,up,1,20.0642,0.8587,1w
2023-10-16,chop,up,up,1,42.468,0.7933,1w
2023-10-25,chop,up,up,1,22.3602,0.7427,1w
2023-11-03,trending_bull,neutral,down,0,-13.5348,0.5387,1w
2023-11-14,high_volatility,up,down,0,-24.5655,0.676,1w
2023-11-24,high_volatility,up,down,0,-25.1928,0.7,1w
2023-12-05,chop,up,down,0,-10.0464,0.5573,1w
2023-12-14,chop,neutral,down,0,-10.9501,0.4973,1w
2023-12-26,chop,down,down,1,-10.4056,0.3693,1w
2024-01-05,chop,down,down,1,-9.7297,0.4253,1w
2024-01-17,chop,down,down,1,-12.8975,0.3947,1w
2024-01-26,chop,down,down,1,-9.98,0.3387,1w
2024-02-06,chop,down,down,1,-1.2024,0.2253,1w
