date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bear,down,up,0,2.6818,0.1747,1w
2021-01-13,chop,down,up,0,2.9197,0.32,1w
2021-01-25,chop,down,up,0,3.9891,0.3467,1w
2021-02-03,chop,down,down,1,-5.9156,0.368,1w
2021-02-12,chop,down,down,1,-11.9262,0.3893,1w
2021-02-24,chop,down,down,1,-2.5903,0.4027,1w
2021-03-05,chop,down,up,0,12.8564,0.3467,1w
2021-03-16,high_volatility,neutral,up,0,1.8069,0.456,1w
2021-03-25,trending_bear,neutral,up,0,6.6712,0.52,1w
2021-04-06,chop,neutral,up,0,2.8739,0.52,1w
2021-04-15,chop,down,down,1,-8.0782,0.4013,1w
2021-04-26,chop,neutral,down,0,-6.569,0.5453,1w
2021-05-05,chop,neutral,down,0,-7.2811,0.5453,1w
2021-05-14,chop,down,down,1,-12.4913,0.3893,1w
2021-05-25,chop,neutral,down,0,-13.8749,0.456,1w
2021-06-04,chop,up,down,0,-16.7199,0.5733,1w
2021-06-15,chop,down,up,0,3.3315,0.3467,1w
2021-06-24,trending_bear,down,up,0,7.6597,0.2613,1w
2021-07-06,trending_bear,down,up,0,7.4084,0.2373,1w
2021-07-15,trending_bear,down,neutral,0,-0.3032,0.2733,1w
2021-07-26,chop,down,down,1,-5.3788,0.3187,1w
2021-08-04,chop,down,down,1,-5.5684,0.256,1w
2021-08-13,chop,down,down,1,-5.4238,0.376,1w
2021-08-24,chop,down,down,1,-12.6984,0.3467,1w
2021-09-02,chop,down,down,1,-15.0245,0.256,1w
2021-09-14,chop,neutral,down,0,-16.934,0.4733,1w
2021-09-23,chop,down,up,0,3.2761,0.2933,1w
2021-10-04,trending_bear,down,up,0,11.2986,0.2747,1w
2021-10-13,trending_bear,down,up,0,19.704,0.2133,1w
2021-10-22,chop,down,up,0,11.9514,0.2427,1w
2021-11-02,chop,down,up,0,9.8082,0.3947,1w
2021-11-11,trending_bull,down,up,0,1.512,0.428,1w
