date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,up,1,3.555,0.864,1w
2021-01-13,high_volatility,up,up,1,7.4225,0.9027,1w
2021-01-25,high_volatility,up,up,1,8.3149,0.7693,1w
2021-02-03,crisis,up,up,1,8.5812,0.788,1w
2021-02-12,crisis,up,up,1,5.2166,0.848,1w
2021-02-24,high_volatility,up,up,1,12.0138,0.8307,1w
2021-03-05,crisis,up,up,1,8.9347,0.9133,1w
2021-03-16,crisis,up,up,1,10.9934,0.868,1w
2021-03-25,high_volatility,up,up,1,4.6817,0.904,1w
2021-04-06,trending_bull,up,up,1,0.6705,0.8653,1w
2021-04-15,high_volatility,up,down,0,-1.1087,0.896,1w
2021-04-26,crisis,up,up,1,3.2523,0.8867,1w
2021-05-05,crisis,up,neutral,0,-0.229,0.7693,1w
2021-05-14,crisis,up,down,0,-5.1871,0.7427,1w
2021-05-25,crisis,up,down,0,-4.166,0.7653,1w
2021-06-04,crisis,up,up,1,1.8965,0.668,1w
2021-06-15,high_volatility,up,up,1,6.5151,0.5587,1w
2021-06-24,chop,neutral,up,0,4.5561,0.524,1w
2021-07-06,high_volatility,up,up,1,1.7292,0.5533,1w
2021-07-15,high_volatility,neutral,up,0,10.6666,0.4693,1w
2021-07-26,chop,up,up,1,7.8034,0.568,1w
2021-08-04,chop,neutral,up,0,7.8626,0.5013,1w
2021-08-13,high_volatility,up,down,0,-6.2035,0.692,1w
2021-08-24,chop,up,down,0,-4.3347,0.6667,1w
2021-09-02,chop,up,down,0,-4.6946,0.7293,1w
2021-09-14,high_volatility,up,up,1,1.1687,0.6987,1w
2021-09-23,chop,up,up,1,7.9733,0.6093,1w
2021-10-04,high_volatility,up,up,1,7.5079,0.608,1w
2021-10-13,chop,up,up,1,4.4715,0.5547,1w
2021-10-22,high_volatility,up,down,0,-2.7221,0.6333,1w
2021-11-02,trending_bull,up,down,0,-2.4455,0.696,1w
2021-11-11,crisis,neutral,up,0,6.1972,0.456,1w
2021-11-22,high_volatility,neutral,up,0,0.8654,0.4907,1w
2021-12-02,chop,neutral,down,0,-3.2364,0.544,1w
2021-12-13,chop,up,up,1,2.6274,0.6413,1w
2021-12-22,chop,up,down,0,-1.3856,0.6453,1w
2022-01-03,chop,up,down,0,-2.0133,0.5653,1w
2022-01-12,chop,up,down,0,-3.8894,0.5933,1w
2022-01-24,chop,down,down,1,-4.1803,0.4427,1w
2022-02-02,chop,down,down,1,-3.9055,0.3347,1w
2022-02-11,chop,neutral,down,0,-8.1972,0.5267,1w
2022-02-23,chop,down,down,1,-3.3559,0.3267,1w
2022-03-04,trending_bear,down,up,0,7.6068,0.1973,1w
2022-03-15,trending_bear,down,up,0,6.4956,0.1867,1w
2022-03-24,trending_bear,down,up,0,3.9754,0.224,1w
2022-04-04,trending_bull,down,down,1,-4.8584,0.3787,1w
2022-04-13,trending_bull,down,up,0,7.6718,0.3213,1w
2022-04-25,chop,down,up,0,10.3524,0.3733,1w
2022-05-04,chop,down,up,0,8.1986,0.4013,1w
2022-05-13,trending_bull,up,down,0,-1.0704,0.5907,1w
2022-05-24,trending_bull,up,up,1,4.8769,0.6573,1w
2022-06-03,chop,up,up,1,6.9287,0.76,1w
2022-06-14,chop,up,up,1,2.8995,0.7293,1w
2022-06-24,chop,up,down,0,-2.6379,0.7747,1w
2022-07-06,chop,up,up,1,1.6803,0.692,1w
2022-07-15,chop,up,up,1,4.9362,0.7253,1w
2022-07-26,chop,up,up,1,4.3994,0.704,1w
2022-08-04,chop,up,down,0,-3.4342,0.7307,1w
2022-08-15,trending_bull,up,down,0,-2.1885,0.644,1w
2022-08-24,chop,up,up,1,5.6172,0.6013,1w
2022-09-02,chop,up,up,1,7.4845,0.56,1w
2022-09-14,chop,up,up,1,10.0992,0.5707,1w
2022-09-23,chop,up,up,1,2.036,0.6173,1w
2022-10-04,chop,up,neutral,0,0.4038,0.5933,1w
2022-10-13,trending_bull,up,up,1,3.3715,0.7147,1w
2022-10-24,trending_bull,up,up,1,0.9824,0.6987,1w
