date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-6.5987,0.6133,1w
2021-01-13,chop,up,down,0,-4.1138,0.5573,1w
2021-01-25,high_volatility,down,down,1,-1.6475,0.2853,1w
2021-02-03,crisis,down,neutral,0,-0.0619,0.2973,1w
2021-02-12,high_volatility,down,down,1,-3.6025,0.2973,1w
2021-02-24,chop,down,up,0,4.476,0.2613,1w
2021-03-05,high_volatility,down,up,0,3.7161,0.392,1w
2021-03-16,crisis,down,up,0,0.6815,0.312,1w
2021-03-25,chop,down,down,1,-4.0757,0.3787,1w
2021-04-06,chop,down,down,1,-6.0423,0.372,1w
2021-04-15,chop,down,down,1,-10.271,0.324,1w
2021-04-26,chop,down,down,1,-7.0535,0.4133,1w
2021-05-05,chop,down,down,1,-2.178,0.376,1w
2021-05-14,crisis,down,down,1,-5.4833,0.2813,1w
2021-05-25,crisis,down,down,1,-5.1054,0.376,1w
2021-06-04,high_volatility,down,down,1,-8.8182,0.4213,1w
2021-06-15,high_volatility,down,down,1,-0.9193,0.2827,1w
2021-06-24,high_volatility,down,up,0,3.4012,0.22,1w
2021-07-06,chop,down,up,0,10.1344,0.2307,1w
2021-07-15,chop,down,up,0,13.5801,0.2413,1w
2021-07-26,chop,down,up,0,5.2676,0.3627,1w
2021-08-04,trending_bull,down,down,1,-3.0409,0.404,1w
2021-08-13,trending_bull,up,down,0,-7.1394,0.588,1w
2021-08-24,trending_bull,up,down,0,-9.5985,0.5747,1w
2021-09-02,chop,down,down,1,-5.1237,0.3813,1w
2021-09-14,chop,up,down,0,-7.0876,0.584,1w
2021-09-23,chop,down,up,0,3.3663,0.412,1w
2021-10-04,chop,neutral,up,0,3.7028,0.4533,1w
2021-10-13,chop,down,up,0,9.4361,0.42,1w
2021-10-22,high_volatility,down,up,0,7.7668,0.4013,1w
2021-11-02,chop,down,up,0,8.5494,0.4253,1w
2021-11-11,high_volatility,down,down,1,-1.2965,0.404,1w
2021-11-22,chop,down,down,1,-3.7954,0.4467,1w
2021-12-02,chop,up,down,0,-5.8984,0.5853,1w
2021-12-13,chop,neutral,up,0,2.4886,0.5147,1w
2021-12-22,chop,up,up,1,6.9074,0.616,1w
2022-01-03,chop,neutral,up,0,11.1007,0.5133,1w
2022-01-12,chop,up,up,1,3.4973,0.668,1w
2022-01-24,chop,up,up,1,1.2038,0.668,1w
2022-02-02,chop,up,down,0,-3.3042,0.7307,1w
2022-02-11,chop,up,down,0,-10.0523,0.5867,1w
2022-02-23,chop,neutral,down,0,-7.3621,0.5253,1w
2022-03-04,chop,neutral,down,0,-4.2736,0.5013,1w
2022-03-15,chop,down,up,0,2.5209,0.36,1w
2022-03-24,chop,down,up,0,1.0297,0.448,1w
2022-04-04,chop,neutral,down,0,-1.6278,0.4707,1w
2022-04-13,chop,down,down,1,-2.1602,0.376,1w
2022-04-25,chop,down,neutral,0,-0.23,0.336,1w
2022-05-04,chop,down,up,0,0.8676,0.212,1w
2022-05-13,chop,down,up,0,6.3885,0.2667,1w
2022-05-24,chop,down,up,0,4.918,0.2947,1w
2022-06-03,chop,down,up,0,1.9803,0.3733,1w
2022-06-14,chop,up,up,1,3.9015,0.5893,1w
2022-06-24,chop,up,up,1,6.0066,0.58,1w
2022-07-06,trending_bull,up,up,1,3.0913,0.5907,1w
2022-07-15,trending_bull,up,down,0,-3.1491,0.644,1w
2022-07-26,trending_bull,up,down,0,-4.507,0.7533,1w
2022-08-04,trending_bull,up,down,0,-3.3155,0.704,1w
2022-08-15,chop,up,neutral,0,-0.1891,0.7,1w
2022-08-24,chop,up,down,0,-2.5388,0.6307,1w
2022-09-02,chop,up,down,0,-6.0028,0.5533,1w
2022-09-14,chop,down,down,1,-4.7915,0.448,1w
2022-09-23,chop,down,down,1,-3.4177,0.3653,1w
2022-10-04,trending_bear,down,neutral,0,-0.0967,0.2413,1w
2022-10-13,trending_bear,down,down,1,-1.8105,0.152,1w
2022-10-24,chop,down,up,0,8.7245,0.1507,1w
2022-11-02,trending_bear,down,up,0,6.8255,0.1867,1w
2022-11-11,chop,down,up,0,7.0853,0.2747,1w
2022-11-22,chop,down,up,0,8.9907,0.4227,1w
2022-12-02,trending_bull,neutral,up,0,3.6625,0.5013,1w
