date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-22.0415,0.2347,1w
2021-01-13,chop,down,down,1,-10.3205,0.152,1w
2021-01-25,trending_bear,down,down,1,-10.2682,0.108,1w
2021-02-03,trending_bear,down,down,1,-2.4962,0.1373,1w
2021-02-12,chop,down,down,1,-20.8271,0.1867,1w
2021-02-24,chop,down,up,0,16.2258,0.2013,1w
2021-03-05,chop,down,up,0,6.6403,0.324,1w
2021-03-16,chop,down,up,0,8.4249,0.2253,1w
2021-03-25,chop,down,down,1,-19.2336,0.2987,1w
2021-04-06,chop,down,down,1,-28.903,0.3387,1w
2021-04-15,chop,down,down,1,-20.3245,0.3373,1w
2021-04-26,chop,down,down,1,-4.6553,0.3867,1w
2021-05-05,chop,down,up,0,8.8512,0.3467,1w
2021-05-14,chop,down,down,1,-8.7819,0.2947,1w
2021-05-25,chop,down,up,0,16.973,0.444,1w
2021-06-04,chop,down,down,1,-12.5346,0.424,1w
2021-06-15,chop,down,down,1,-25.387,0.4093,1w
2021-06-24,chop,down,down,1,-24.7887,0.3653,1w
2021-07-06,chop,down,up,0,4.947,0.2747,1w
2021-07-15,chop,down,up,0,28.0053,0.256,1w
2021-07-26,chop,down,up,0,9.1984,0.3187,1w
2021-08-04,chop,down,down,1,-13.5673,0.3893,1w
2021-08-13,chop,down,down,1,-24.1837,0.4253,1w
2021-08-24,chop,down,down,1,-19.4444,0.412,1w
2021-09-02,chop,down,down,1,-6.6298,0.26,1w
2021-09-14,trending_bear,down,down,1,-14.2287,0.3187,1w
2021-09-23,trending_bear,down,up,0,6.585,0.208,1w
2021-10-04,trending_bear,down,up,0,2.2069,0.3213,1w
2021-10-13,chop,down,up,0,44.7806,0.3653,1w
2021-10-22,chop,down,up,0,44.5235,0.4093,1w
2021-11-02,chop,down,up,0,70.7914,0.368,1w
2021-11-11,chop,neutral,down,0,-1.6379,0.4707,1w
2021-11-22,trending_bull,up,up,1,7.2038,0.5573,1w
2021-12-02,trending_bull,up,down,0,-21.564,0.656,1w
2021-12-13,trending_bull,up,down,0,-12.6417,0.6173,1w
2021-12-22,trending_bull,up,down,0,-1.0338,0.668,1w
2022-01-03,trending_bull,up,up,1,35.6037,0.588,1w
2022-01-12,chop,up,up,1,20.5645,0.6173,1w
2022-01-24,chop,up,up,1,5.4782,0.6173,1w
2022-02-02,chop,up,down,0,-22.2138,0.6987,1w
2022-02-11,chop,neutral,down,0,-28.934,0.4987,1w
2022-02-23,trending_bull,neutral,down,0,-16.6062,0.5227,1w
2022-03-04,chop,down,down,1,-11.4481,0.348,1w
2022-03-15,chop,down,up,0,7.3988,0.2747,1w
2022-03-24,chop,down,down,1,-5.5677,0.376,1w
