date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bear,down,down,1,-14.3885,0.0693,1w
2021-01-13,trending_bear,down,down,1,-4.8837,0.0453,1w
2021-01-25,trending_bear,down,down,1,-35.3982,0.0427,1w
2021-02-03,trending_bear,down,down,1,-38.0282,0.0653,1w
2021-02-12,trending_bear,down,down,1,-47.8142,0.1227,1w
2021-02-24,trending_bear,down,up,0,29.4393,0.072,1w
2021-03-05,trending_bear,down,up,0,43.1818,0.1093,1w
2021-03-16,trending_bear,down,up,0,75.0,0.12,1w
2021-03-25,chop,down,up,0,0.6667,0.26,1w
2021-04-06,chop,down,down,1,-17.9878,0.368,1w
2021-04-15,trending_bull,down,down,1,-37.6658,0.4093,1w
2021-04-26,trending_bull,down,down,1,-7.8431,0.4387,1w
2021-05-05,chop,down,up,0,18.0212,0.3867,1w
2021-05-14,chop,down,down,1,-20.4778,0.3347,1w
2021-05-25,chop,up,up,1,8.2353,0.58,1w
2021-06-04,chop,up,down,0,-40.7514,0.616,1w
2021-06-15,chop,neutral,down,0,-17.5439,0.5293,1w
2021-06-24,chop,neutral,down,0,-25.6098,0.456,1w
2021-07-06,chop,down,down,1,-1.0,0.34,1w
2021-07-15,chop,down,up,0,30.2083,0.2333,1w
2021-07-26,chop,down,up,0,13.6095,0.2933,1w
2021-08-04,chop,down,down,1,-20.4651,0.3467,1w
2021-08-13,chop,down,down,1,-30.4721,0.4093,1w
2021-08-24,chop,down,down,1,-19.6891,0.368,1w
2021-09-02,chop,down,down,1,-19.883,0.208,1w
2021-09-14,chop,down,down,1,-27.2152,0.3147,1w
2021-09-23,chop,down,down,1,-23.8411,0.2493,1w
2021-10-04,chop,down,up,0,2.0408,0.2693,1w
2021-10-13,chop,down,up,0,13.5593,0.2093,1w
2021-10-22,trending_bear,down,up,0,1.7391,0.2493,1w
2021-11-02,trending_bull,down,down,1,-18.2482,0.256,1w
2021-11-11,chop,down,down,1,-32.4823,0.168,1w
2021-11-22,chop,down,down,1,-26.8103,0.18,1w
