date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,up,0,8.4599,0.5013,1w
2021-01-13,chop,neutral,up,0,9.5681,0.46,1w
2021-01-25,chop,down,up,0,12.989,0.392,1w
2021-02-03,crisis,up,up,1,26.2883,0.6333,1w
2021-02-12,crisis,up,up,1,24.2305,0.7253,1w
2021-02-24,high_volatility,up,up,1,50.6158,0.692,1w
2021-03-05,crisis,up,up,1,10.112,0.8947,1w
2021-03-16,crisis,up,up,1,29.1802,0.8547,1w
2021-03-25,crisis,up,down,0,-2.625,0.8867,1w
2021-04-06,crisis,up,up,1,1.2388,0.8293,1w
2021-04-15,high_volatility,up,down,0,-21.7321,0.8867,1w
2021-04-26,crisis,up,down,0,-4.1031,0.8453,1w
2021-05-05,crisis,up,down,0,-10.244,0.7693,1w
2021-05-14,crisis,up,down,0,-17.2364,0.6293,1w
2021-05-25,crisis,up,down,0,-22.0815,0.672,1w
2021-06-04,high_volatility,neutral,down,0,-25.4146,0.4827,1w
2021-06-15,chop,down,down,1,-17.1819,0.3813,1w
2021-06-24,trending_bear,down,up,0,8.3673,0.212,1w
2021-07-06,trending_bear,down,up,0,19.0508,0.216,1w
2021-07-15,trending_bear,down,up,0,21.8348,0.152,1w
2021-07-26,chop,down,up,0,15.2839,0.3067,1w
2021-08-04,chop,down,up,0,2.4533,0.2973,1w
2021-08-13,chop,down,down,1,-0.775,0.368,1w
2021-08-24,chop,neutral,down,0,-13.2349,0.4587,1w
2021-09-02,chop,down,down,1,-9.8468,0.368,1w
2021-09-14,chop,neutral,down,0,-7.013,0.4707,1w
2021-09-23,chop,up,up,1,9.4168,0.5893,1w
2021-10-04,chop,up,up,1,4.5306,0.58,1w
2021-10-13,chop,up,up,1,2.8846,0.58,1w
2021-10-22,chop,neutral,down,0,-7.2966,0.5387,1w
2021-11-02,chop,neutral,down,0,-5.0962,0.5213,1w
2021-11-11,chop,neutral,down,0,-10.21,0.484,1w
2021-11-22,chop,down,down,1,-8.8845,0.2973,1w
2021-12-02,chop,down,down,1,-13.547,0.3813,1w
2021-12-13,chop,down,neutral,0,-0.1063,0.368,1w
2021-12-22,chop,down,up,0,8.3389,0.4173,1w
2022-01-03,chop,down,up,0,17.5179,0.2853,1w
2022-01-12,chop,down,up,0,8.4413,0.376,1w
2022-01-24,chop,down,up,0,7.0686,0.3813,1w
2022-02-02,chop,down,up,0,11.8798,0.448,1w
2022-02-11,chop,down,down,1,-9.6537,0.3947,1w
2022-02-23,chop,neutral,down,0,-16.9584,0.5013,1w
2022-03-04,trending_bull,up,down,0,-14.2493,0.6613,1w
2022-03-15,trending_bear,down,up,0,5.477,0.412,1w
2022-03-24,trending_bear,down,down,1,-1.4094,0.4093,1w
2022-04-04,chop,up,down,0,-16.6343,0.5613,1w
2022-04-13,chop,neutral,down,0,-22.8824,0.4987,1w
2022-04-25,chop,down,down,1,-16.6429,0.3373,1w
2022-05-04,chop,down,down,1,-14.4962,0.2187,1w
2022-05-13,trending_bear,down,neutral,0,-0.167,0.1867,1w
2022-05-24,trending_bear,down,up,0,1.1333,0.148,1w
2022-06-03,trending_bear,down,up,0,0.8093,0.0787,1w
2022-06-14,trending_bear,down,up,0,1.3605,0.2293,1w
2022-06-24,chop,down,up,0,16.4652,0.2333,1w
2022-07-06,chop,down,up,0,12.2177,0.1947,1w
2022-07-15,chop,down,up,0,4.4764,0.1867,1w
2022-07-26,chop,down,down,1,-3.5053,0.424,1w
2022-08-04,trending_bull,neutral,down,0,-5.4197,0.5467,1w
2022-08-15,trending_bull,up,neutral,0,-0.3371,0.616,1w
2022-08-24,chop,up,down,0,-6.9145,0.6333,1w
2022-09-02,chop,up,down,0,-12.0189,0.656,1w
2022-09-14,chop,up,down,0,-5.2878,0.6107,1w
2022-09-23,chop,neutral,down,0,-3.5028,0.528,1w
2022-10-04,chop,down,down,1,-1.0,0.3467,1w
2022-10-13,chop,down,down,1,-5.1937,0.4213,1w
2022-10-24,chop,down,up,0,7.9436,0.2693,1w
2022-11-02,chop,down,up,0,8.2434,0.22,1w
2022-11-11,chop,down,up,0,2.1126,0.312,1w
2022-11-22,chop,down,neutral,0,0.0198,0.376,1w
2022-12-02,chop,down,up,0,2.2031,0.396,1w
2022-12-13,chop,down,down,1,-12.7493,0.4093,1w
2022-12-22,chop,neutral,down,0,-11.9747,0.5013,1w
2023-01-04,chop,neutral,down,0,-15.7376,0.5427,1w
2023-01-13,chop,down,down,1,-6.5465,0.32,1w
2023-01-25,chop,down,down,1,-1.8306,0.412,1w
2023-02-03,trending_bear,down,up,0,4.3257,0.3173,1w
2023-02-14,trending_bear,down,up,0,7.2237,0.204,1w
2023-02-24,trending_bear,down,down,1,-1.6451,0.2747,1w
2023-03-07,chop,down,up,0,3.1945,0.32,1w
2023-03-16,chop,down,down,1,-5.5866,0.256,1w
2023-03-27,chop,down,down,1,-5.4045,0.1947,1w
2023-04-05,chop,down,down,1,-10.8108,0.3507,1w
2023-04-17,chop,down,neutral,0,-0.2641,0.4067,1w
2023-04-26,chop,down,up,0,2.4132,0.3733,1w
2023-05-05,chop,down,down,1,-2.4766,0.4067,1w
2023-05-16,chop,neutral,down,0,-11.0915,0.4773,1w
2023-05-25,chop,neutral,down,0,-4.2246,0.4627,1w
2023-06-06,chop,down,down,1,-6.8823,0.324,1w
2023-06-15,chop,down,up,0,13.7918,0.2307,1w
2023-06-27,chop,down,neutral,0,0.1694,0.3573,1w
2023-07-07,chop,down,neutral,0,0.2973,0.22,1w
2023-07-18,chop,neutral,down,0,-7.1405,0.492,1w
2023-07-27,chop,down,down,1,-1.9172,0.4427,1w
2023-08-07,chop,down,up,0,0.5841,0.3347,1w
2023-08-16,chop,down,down,1,-7.5516,0.328,1w
2023-08-25,chop,down,down,1,-11.5747,0.3653,1w
2023-09-06,chop,down,up,0,5.2776,0.3467,1w
2023-09-15,chop,down,neutral,0,-0.4678,0.3973,1w
2023-09-26,chop,down,up,0,0.6785,0.2747,1w
2023-10-05,chop,neutral,up,0,10.0621,0.4787,1w
2023-10-16,chop,down,neutral,0,0.2302,0.2747,1w
2023-10-25,chop,down,down,1,-3.3779,0.3653,1w
2023-11-03,chop,up,down,0,-4.8433,0.5693,1w
2023-11-14,chop,down,up,0,2.592,0.4027,1w
2023-11-24,chop,down,down,1,-6.7394,0.3507,1w
2023-12-05,chop,neutral,down,0,-0.859,0.5213,1w
2023-12-14,chop,neutral,up,0,3.4056,0.536,1w
2023-12-26,chop,down,up,0,17.0266,0.368,1w
2024-01-05,chop,neutral,up,0,4.9109,0.46,1w
2024-01-17,chop,neutral,neutral,0,-0.0737,0.5053,1w
2024-01-26,chop,neutral,down,0,-12.5174,0.536,1w
2024-02-06,high_volatility,down,down,1,-6.4844,0.4093,1w
2024-02-15,chop,neutral,up,0,4.0448,0.516,1w
2024-02-27,chop,down,up,0,14.9696,0.416,1w
2024-03-07,crisis,down,down,1,-8.4473,0.4413,1w
2024-03-18,high_volatility,up,down,0,-3.9112,0.58,1w
2024-03-27,chop,up,up,1,11.9956,0.628,1w
2024-04-08,crisis,down,up,0,30.6726,0.3707,1w
2024-04-17,high_volatility,neutral,up,0,29.9632,0.4893,1w
