date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,up,0,12.7323,0.5013,1w
2021-01-13,chop,up,up,1,9.1133,0.628,1w
2021-01-25,trending_bull,neutral,up,0,8.2373,0.5467,1w
2021-02-03,crisis,up,down,0,-0.712,0.6733,1w
2021-02-12,high_volatility,up,down,0,-4.8826,0.7307,1w
2021-02-24,crisis,up,up,1,6.2599,0.752,1w
2021-03-05,crisis,up,up,1,9.1085,0.7573,1w
2021-03-16,crisis,up,up,1,15.3226,0.7667,1w
2021-03-25,high_volatility,up,up,1,6.991,0.792,1w
2021-04-06,chop,up,up,1,8.9103,0.8013,1w
2021-04-15,trending_bull,up,up,1,5.8797,0.7187,1w
2021-04-26,trending_bull,up,up,1,15.7087,0.7653,1w
2021-05-05,crisis,up,up,1,8.8746,0.7213,1w
2021-05-14,crisis,up,up,1,7.2048,0.6573,1w
2021-05-25,crisis,up,down,0,-13.0216,0.7707,1w
2021-06-04,high_volatility,up,down,0,-22.6094,0.8373,1w
2021-06-15,crisis,up,down,0,-21.4181,0.848,1w
2021-06-24,crisis,neutral,up,0,3.6415,0.52,1w
2021-07-06,crisis,down,up,0,16.8579,0.4253,1w
2021-07-15,high_volatility,down,up,0,15.4584,0.3893,1w
2021-07-26,trending_bear,neutral,up,0,18.3725,0.5347,1w
2021-08-04,chop,down,up,0,7.9621,0.4267,1w
2021-08-13,chop,neutral,up,0,2.5627,0.4947,1w
2021-08-24,chop,neutral,down,0,-8.3985,0.5453,1w
2021-09-02,chop,down,up,0,3.6921,0.384,1w
2021-09-14,chop,down,up,0,6.7535,0.4147,1w
2021-09-23,chop,up,up,1,21.7933,0.6173,1w
2021-10-04,chop,up,up,1,10.6572,0.7667,1w
2021-10-13,chop,up,up,1,9.2693,0.7347,1w
2021-10-22,high_volatility,up,up,1,8.6159,0.7507,1w
2021-11-02,trending_bull,up,up,1,5.45,0.7853,1w
2021-11-11,trending_bull,up,down,0,-7.6909,0.728,1w
2021-11-22,trending_bull,up,down,0,-9.5182,0.6467,1w
2021-12-02,trending_bull,up,down,0,-6.1829,0.7107,1w
2021-12-13,high_volatility,up,up,1,8.9003,0.6173,1w
2021-12-22,chop,up,up,1,16.6234,0.7333,1w
2022-01-03,chop,neutral,up,0,8.4283,0.516,1w
2022-01-12,chop,up,up,1,4.8224,0.6107,1w
2022-01-24,chop,up,down,0,-2.7378,0.684,1w
2022-02-02,crisis,neutral,up,0,12.262,0.5387,1w
2022-02-11,crisis,neutral,down,0,-4.066,0.5467,1w
2022-02-23,chop,neutral,neutral,0,-0.1761,0.4653,1w
2022-03-04,high_volatility,up,down,0,-3.3715,0.6107,1w
2022-03-15,crisis,up,up,1,4.4903,0.5987,1w
2022-03-24,crisis,up,down,0,-4.4682,0.6133,1w
2022-04-04,crisis,up,down,0,-20.8349,0.6267,1w
2022-04-13,chop,up,down,0,-14.4393,0.564,1w
2022-04-25,chop,down,down,1,-9.1696,0.4093,1w
2022-05-04,trending_bear,down,up,0,2.3685,0.3467,1w
2022-05-13,trending_bear,down,up,0,4.5808,0.296,1w
2022-05-24,trending_bear,down,up,0,3.214,0.3333,1w
2022-06-03,trending_bear,down,up,0,3.953,0.26,1w
2022-06-14,trending_bear,down,up,0,3.7776,0.332,1w
2022-06-24,chop,down,up,0,14.3622,0.3013,1w
2022-07-06,chop,down,up,0,16.887,0.2413,1w
2022-07-15,chop,down,up,0,20.0232,0.34,1w
2022-07-26,trending_bull,up,up,1,11.382,0.5747,1w
2022-08-04,trending_bull,up,up,1,5.5472,0.8827,1w
2022-08-15,trending_bull,up,up,1,10.4597,0.9133,1w
2022-08-24,trending_bull,up,up,1,7.0982,0.904,1w
2022-09-02,trending_bull,up,down,0,-4.0571,0.9373,1w
2022-09-14,trending_bull,up,down,0,-3.6473,0.952,1w
2022-09-23,trending_bull,up,down,0,-1.5826,0.9413,1w
2022-10-04,trending_bear,up,up,1,9.4813,0.7907,1w
2022-10-13,chop,up,down,0,-2.6468,0.8413,1w
2022-10-24,chop,up,up,1,1.8198,0.7293,1w
2022-11-02,chop,up,up,1,0.9573,0.6693,1w
2022-11-11,chop,neutral,down,0,-2.1255,0.5307,1w
2022-11-22,chop,neutral,up,0,0.9164,0.5387,1w
2022-12-02,chop,neutral,up,0,3.0083,0.512,1w
2022-12-13,chop,down,up,0,2.1406,0.384,1w
2022-12-22,chop,neutral,up,0,3.4126,0.4693,1w
2023-01-04,chop,up,up,1,12.2098,0.5907,1w
2023-01-13,chop,neutral,up,0,11.7632,0.5053,1w
2023-01-25,chop,up,up,1,7.9497,0.5827,1w
2023-02-03,high_volatility,up,up,1,5.6374,0.6667,1w
2023-02-14,trending_bull,up,up,1,13.7034,0.6627,1w
2023-02-24,trending_bull,up,up,1,15.3392,0.6973,1w
2023-03-07,trending_bull,up,up,1,22.4395,0.7253,1w
2023-03-16,high_volatility,up,up,1,5.3649,0.8227,1w
2023-03-27,trending_bull,up,up,1,1.2793,0.8467,1w
2023-04-05,high_volatility,up,down,0,-15.7618,0.9453,1w
2023-04-17,crisis,up,down,0,-14.3188,0.904,1w
2023-04-26,crisis,up,down,0,-9.9528,0.7933,1w
2023-05-05,high_volatility,up,down,0,-3.4125,0.608,1w
2023-05-16,high_volatility,neutral,down,0,-2.6892,0.492,1w
2023-05-25,trending_bear,neutral,down,0,-2.7127,0.5293,1w
2023-06-06,trending_bear,down,down,1,-4.7004,0.424,1w
2023-06-15,trending_bear,down,down,1,-3.5928,0.28,1w
2023-06-27,chop,down,neutral,0,-0.1504,0.292,1w
2023-07-07,chop,down,up,0,4.892,0.1413,1w
2023-07-18,chop,down,up,0,9.8651,0.1867,1w
2023-07-27,chop,down,up,0,1.2076,0.26,1w
2023-08-07,crisis,down,neutral,0,-0.045,0.3733,1w
2023-08-16,chop,neutral,down,0,-10.1329,0.52,1w
2023-08-25,chop,down,down,1,-4.8443,0.4093,1w
2023-09-06,chop,down,up,0,3.6024,0.3973,1w
2023-09-15,chop,down,down,1,-4.1801,0.3707,1w
2023-09-26,chop,down,down,1,-6.4611,0.368,1w
2023-10-05,high_volatility,up,down,0,-16.3502,0.5573,1w
2023-10-16,high_volatility,down,up,0,0.7663,0.4093,1w
2023-10-25,chop,down,up,0,4.6163,0.3187,1w
2023-11-03,trending_bear,down,up,0,1.1412,0.256,1w
2023-11-14,chop,down,down,1,-7.4245,0.2973,1w
2023-11-24,chop,down,down,1,-13.5144,0.3733,1w
2023-12-05,chop,down,down,1,-6.3758,0.3267,1w
2023-12-14,chop,down,up,0,9.7764,0.296,1w
2023-12-26,trending_bear,down,up,0,11.2637,0.2253,1w
2024-01-05,chop,down,up,0,7.2497,0.1947,1w
2024-01-17,chop,down,up,0,4.1454,0.4,1w
2024-01-26,trending_bull,neutral,down,0,-1.6899,0.452,1w
2024-02-06,chop,neutral,down,0,-8.7102,0.4987,1w
2024-02-15,chop,neutral,down,0,-4.5135,0.484,1w
2024-02-27,chop,down,down,1,-4.0485,0.3893,1w
2024-03-07,high_volatility,down,down,1,-12.0027,0.3507,1w
2024-03-18,chop,up,down,0,-15.946,0.584,1w
2024-03-27,chop,up,down,0,-5.0656,0.56,1w
2024-04-08,crisis,down,up,0,14.115,0.2973,1w
2024-04-17,high_volatility,down,up,0,28.054,0.3227,1w
2024-04-26,chop,down,up,0,17.041,0.396,1w
2024-05-07,chop,neutral,up,0,6.8182,0.4773,1w
2024-05-16,trending_bull,neutral,up,0,4.2336,0.504,1w
2024-05-28,trending_bull,neutral,up,0,3.3408,0.54,1w
2024-06-06,chop,up,up,1,12.0635,0.6347,1w
2024-06-17,trending_bull,up,up,1,3.4059,0.5773,1w
2024-06-27,chop,up,neutral,0,0.4884,0.5987,1w
2024-07-09,trending_bull,up,down,0,-10.5749,0.8867,1w
2024-07-18,trending_bull,up,down,0,-6.2026,0.9333,1w
2024-07-29,chop,up,up,1,5.9393,0.8,1w
2024-08-07,chop,up,up,1,16.1484,0.584,1w
2024-08-16,trending_bear,neutral,up,0,11.5848,0.5013,1w
2024-08-27,trending_bull,up,up,1,9.3261,0.668,1w
2024-09-06,trending_bull,up,up,1,3.8637,0.6987,1w
2024-09-17,trending_bull,up,down,0,-0.5338,0.6493,1w
2024-09-26,trending_bull,up,neutral,0,-0.275,0.7413,1w
2024-10-07,trending_bull,up,up,1,2.7511,0.5733,1w
2024-10-16,trending_bull,up,up,1,5.2075,0.5773,1w
2024-10-25,chop,up,down,0,-1.5553,0.6987,1w
2024-11-05,chop,up,down,0,-1.6232,0.7747,1w
2024-11-14,chop,up,down,0,-12.1394,0.7293,1w
2024-11-25,chop,up,down,0,-15.5526,0.5827,1w
