date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,down,0,-17.8862,0.5467,1w
2021-01-13,trending_bear,down,down,1,-9.2713,0.428,1w
2021-01-25,trending_bear,down,up,0,11.9621,0.2187,1w
2021-02-03,high_volatility,down,up,0,3.7395,0.22,1w
2021-02-12,high_volatility,down,down,1,-9.2578,0.2093,1w
2021-02-24,crisis,down,up,0,7.4894,0.2947,1w
2021-03-05,crisis,down,up,0,12.2045,0.2747,1w
2021-03-16,crisis,down,down,1,-4.7869,0.2973,1w
2021-03-25,crisis,down,down,1,-18.1588,0.424,1w
2021-04-06,high_volatility,down,down,1,-3.593,0.424,1w
2021-04-15,high_volatility,down,down,1,-7.6598,0.392,1w
2021-04-26,chop,neutral,neutral,0,-0.338,0.4827,1w
2021-05-05,high_volatility,neutral,down,0,-1.4378,0.5467,1w
2021-05-14,crisis,down,down,1,-9.7366,0.4147,1w
2021-05-25,crisis,neutral,up,0,2.8859,0.4587,1w
2021-06-04,crisis,up,down,0,-19.2371,0.5613,1w
2021-06-15,high_volatility,down,down,1,-2.5618,0.4213,1w
2021-06-24,chop,down,up,0,2.7859,0.3467,1w
2021-07-06,chop,down,up,0,42.5413,0.3213,1w
2021-07-15,chop,down,up,0,28.6411,0.4293,1w
2021-07-26,chop,neutral,up,0,17.8626,0.4947,1w
2021-08-04,chop,neutral,down,0,-19.8678,0.5453,1w
2021-08-13,trending_bull,up,down,0,-21.3362,0.62,1w
2021-08-24,trending_bull,up,down,0,-23.2142,0.6693,1w
2021-09-02,chop,down,down,1,-10.9969,0.412,1w
2021-09-14,trending_bear,neutral,down,0,-24.6888,0.5053,1w
2021-09-23,trending_bear,down,down,1,-10.1688,0.3867,1w
2021-10-04,trending_bear,neutral,down,0,-11.454,0.4947,1w
2021-10-13,trending_bear,down,up,0,16.5411,0.2747,1w
2021-10-22,trending_bear,down,up,0,11.2662,0.28,1w
2021-11-02,trending_bear,down,up,0,14.2076,0.1533,1w
2021-11-11,chop,down,neutral,0,-0.0864,0.2253,1w
2021-11-22,chop,down,down,1,-1.8769,0.2493,1w
2021-12-02,chop,down,down,1,-10.3083,0.388,1w
2021-12-13,chop,down,neutral,0,-0.2484,0.4013,1w
2021-12-22,chop,neutral,up,0,20.8446,0.4653,1w
2022-01-03,chop,down,up,0,32.4539,0.368,1w
2022-01-12,chop,up,up,1,25.8395,0.6253,1w
2022-01-24,chop,up,up,1,16.5321,0.668,1w
2022-02-02,trending_bull,up,up,1,8.9656,0.74,1w
2022-02-11,trending_bull,up,down,0,-8.4428,0.6733,1w
2022-02-23,trending_bull,up,neutral,0,0.4844,0.7053,1w
2022-03-04,trending_bull,up,down,0,-1.7865,0.6987,1w
