date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-0.8804,0.6627,1w
2021-01-13,trending_bull,up,down,0,-8.2737,0.6627,1w
2021-01-25,trending_bull,up,down,0,-11.234,0.588,1w
2021-02-03,chop,up,up,1,32.2649,0.584,1w
2021-02-12,chop,neutral,up,0,23.1832,0.5053,1w
2021-02-24,chop,neutral,up,0,28.468,0.52,1w
2021-03-05,trending_bull,up,down,0,-5.8301,0.784,1w
2021-03-16,trending_bull,up,down,0,-7.801,0.74,1w
2021-03-25,trending_bull,up,down,0,-11.0791,0.712,1w
2021-04-06,trending_bull,up,down,0,-15.4452,0.6173,1w
2021-04-15,chop,neutral,down,0,-10.1227,0.52,1w
2021-04-26,chop,neutral,neutral,0,-0.0521,0.4693,1w
2021-05-05,trending_bear,neutral,up,0,6.2239,0.548,1w
2021-05-14,trending_bear,neutral,up,0,1.5702,0.5133,1w
2021-05-25,chop,up,up,1,3.8306,0.588,1w
2021-06-04,chop,down,neutral,0,0.2854,0.356,1w
2021-06-15,chop,down,up,0,7.831,0.3707,1w
2021-06-24,chop,down,up,0,1.2879,0.336,1w
2021-07-06,high_volatility,down,down,1,-20.8737,0.412,1w
2021-07-15,chop,neutral,down,0,-19.2586,0.5013,1w
2021-07-26,chop,up,down,0,-11.701,0.5573,1w
2021-08-04,crisis,down,down,1,-7.0961,0.3093,1w
2021-08-13,trending_bear,down,down,1,-8.3787,0.344,1w
2021-08-24,trending_bear,down,down,1,-13.4743,0.3653,1w
2021-09-02,trending_bear,down,down,1,-7.8,0.22,1w
2021-09-14,trending_bear,down,down,1,-8.3859,0.2813,1w
2021-09-23,trending_bear,down,up,0,7.7189,0.1867,1w
2021-10-04,trending_bear,down,up,0,9.4038,0.1573,1w
2021-10-13,trending_bear,down,up,0,17.4483,0.168,1w
2021-10-22,chop,down,up,0,8.5879,0.2693,1w
2021-11-02,trending_bull,down,up,0,2.9576,0.4093,1w
2021-11-11,trending_bull,neutral,down,0,-2.0993,0.4587,1w
2021-11-22,trending_bull,neutral,down,0,-11.3356,0.4653,1w
2021-12-02,chop,up,down,0,-16.8346,0.6027,1w
2021-12-13,chop,neutral,neutral,0,0.2896,0.5267,1w
2021-12-22,chop,neutral,up,0,9.5803,0.4853,1w
2022-01-03,chop,neutral,up,0,23.0973,0.4707,1w
2022-01-12,chop,up,up,1,15.6983,0.588,1w
2022-01-24,chop,neutral,up,0,11.1757,0.5013,1w
2022-02-02,trending_bull,up,down,0,-4.1448,0.5813,1w
2022-02-11,trending_bull,neutral,down,0,-11.2089,0.5467,1w
2022-02-23,trending_bull,up,down,0,-8.6162,0.5573,1w
2022-03-04,trending_bull,neutral,down,0,-2.4986,0.4587,1w
2022-03-15,trending_bear,neutral,up,0,4.7889,0.4707,1w
2022-03-24,trending_bear,up,down,0,-4.8692,0.6013,1w
2022-04-04,chop,up,down,0,-22.5781,0.6053,1w
2022-04-13,chop,neutral,down,0,-15.7123,0.54,1w
2022-04-25,chop,down,down,1,-13.6138,0.44,1w
2022-05-04,trending_bear,down,up,0,2.1425,0.1733,1w
2022-05-13,trending_bear,down,down,1,-2.4578,0.2333,1w
2022-05-24,trending_bear,down,down,1,-20.233,0.2187,1w
2022-06-03,trending_bear,down,down,1,-20.4193,0.256,1w
2022-06-14,trending_bear,down,down,1,-12.0907,0.3173,1w
2022-06-24,trending_bear,down,up,0,12.7344,0.1453,1w
2022-07-06,trending_bear,down,up,0,12.6736,0.1693,1w
2022-07-15,trending_bear,down,down,1,-3.5623,0.208,1w
2022-07-26,trending_bear,down,up,0,5.9452,0.2947,1w
2022-08-04,chop,down,down,1,-5.9717,0.4053,1w
2022-08-15,chop,down,up,0,5.0318,0.2347,1w
2022-08-24,chop,down,down,1,-5.3917,0.4453,1w
2022-09-02,chop,down,down,1,-2.0845,0.312,1w
2022-09-14,chop,down,up,0,1.8455,0.4213,1w
2022-09-23,chop,up,up,1,0.778,0.6107,1w
2022-10-04,chop,up,up,1,2.6294,0.5573,1w
2022-10-13,chop,up,down,0,-14.1684,0.5853,1w
2022-10-24,chop,neutral,down,0,-5.3576,0.4653,1w
2022-11-02,chop,down,down,1,-3.5196,0.4253,1w
2022-11-11,chop,down,up,0,10.5764,0.388,1w
2022-11-22,chop,down,up,0,6.3793,0.3293,1w
2022-12-02,chop,down,down,1,-5.9517,0.4293,1w
2022-12-13,chop,neutral,down,0,-13.54,0.4853,1w
2022-12-22,chop,neutral,down,0,-15.9326,0.4907,1w
2023-01-04,chop,down,down,1,-9.3656,0.3893,1w
2023-01-13,trending_bear,down,down,1,-1.3562,0.26,1w
2023-01-25,trending_bear,down,down,1,-6.015,0.296,1w
2023-02-03,trending_bear,down,down,1,-1.0248,0.256,1w
2023-02-14,trending_bear,down,down,1,-5.5519,0.3467,1w
2023-02-24,trending_bear,down,down,1,-6.7554,0.2973,1w
2023-03-07,chop,down,down,1,-7.4219,0.2973,1w
2023-03-16,chop,down,down,1,-2.5115,0.2347,1w
2023-03-27,chop,down,neutral,0,-0.2425,0.2093,1w
2023-04-05,chop,down,neutral,0,-0.2052,0.304,1w
2023-04-17,chop,down,up,0,8.1937,0.3547,1w
2023-04-26,chop,down,up,0,7.2215,0.4093,1w
2023-05-05,chop,down,up,0,4.3628,0.4253,1w
2023-05-16,chop,down,down,1,-8.1332,0.4253,1w
2023-05-25,chop,up,down,0,-12.9559,0.5533,1w
2023-06-06,chop,down,neutral,0,-0.232,0.448,1w
2023-06-15,chop,neutral,up,0,18.9122,0.4907,1w
2023-06-27,chop,down,up,0,32.0628,0.388,1w
2023-07-07,chop,neutral,up,0,10.2362,0.504,1w
2023-07-18,trending_bull,up,up,1,23.9802,0.6987,1w
2023-07-27,trending_bull,up,up,1,6.5564,0.6933,1w
2023-08-07,trending_bull,up,up,1,11.2493,0.628,1w
2023-08-16,crisis,up,down,0,-6.5337,0.6933,1w
2023-08-25,trending_bull,up,down,0,-2.897,0.6267,1w
2023-09-06,trending_bull,up,up,1,2.6099,0.668,1w
2023-09-15,chop,up,down,0,-2.3338,0.7253,1w
2023-09-26,chop,up,down,0,-10.2245,0.7427,1w
2023-10-05,chop,up,down,0,-9.5238,0.668,1w
2023-10-16,chop,up,up,1,21.5108,0.584,1w
2023-10-25,chop,down,up,0,22.5015,0.4093,1w
2023-11-03,chop,neutral,up,0,16.0866,0.452,1w
2023-11-14,trending_bull,neutral,down,0,-7.2723,0.5453,1w
2023-11-24,trending_bull,up,down,0,-0.6351,0.5587,1w
2023-12-05,chop,up,up,1,11.7279,0.5533,1w
2023-12-14,chop,neutral,up,0,8.9753,0.5,1w
2023-12-26,chop,up,down,0,-1.8338,0.5587,1w
2024-01-05,chop,up,up,1,11.5983,0.6053,1w
2024-01-17,chop,up,up,1,4.0075,0.6267,1w
2024-01-26,chop,up,up,1,9.2765,0.656,1w
2024-02-06,crisis,up,down,0,-6.2183,0.6987,1w
2024-02-15,high_volatility,up,up,1,5.3182,0.5587,1w
2024-02-27,chop,neutral,down,0,-3.5803,0.528,1w
2024-03-07,chop,up,down,0,-0.6476,0.58,1w
2024-03-18,chop,up,up,1,3.2286,0.6173,1w
2024-03-27,chop,neutral,up,0,16.4075,0.492,1w
2024-04-08,high_volatility,neutral,up,0,3.1831,0.488,1w
2024-04-17,high_volatility,up,down,0,-1.2701,0.58,1w
2024-04-26,chop,up,down,0,-3.3,0.6773,1w
2024-05-07,high_volatility,neutral,up,0,16.2495,0.4907,1w
2024-05-16,chop,neutral,up,0,7.0343,0.5453,1w
2024-05-28,chop,up,up,1,9.3604,0.58,1w
2024-06-06,chop,up,down,0,-3.6177,0.7253,1w
2024-06-17,high_volatility,up,up,1,3.1515,0.588,1w
2024-06-27,high_volatility,up,up,1,4.681,0.7253,1w
2024-07-09,high_volatility,up,up,1,3.6696,0.6173,1w
2024-07-18,chop,up,up,1,24.6748,0.5893,1w
2024-07-29,chop,neutral,up,0,30.2529,0.544,1w
2024-08-07,chop,up,up,1,28.2008,0.628,1w
2024-08-16,crisis,up,up,1,19.4608,0.6933,1w
2024-08-27,trending_bull,up,up,1,11.4434,0.724,1w
2024-09-06,trending_bull,up,up,1,17.0432,0.676,1w
2024-09-17,high_volatility,up,neutral,0,-0.3035,0.7693,1w
2024-09-26,high_volatility,up,neutral,0,0.2584,0.768,1w
2024-10-07,crisis,up,down,0,-6.917,0.824,1w
2024-10-16,crisis,up,down,0,-11.2799,0.744,1w
2024-10-25,high_volatility,up,down,0,-10.0981,0.744,1w
2024-11-05,crisis,up,down,0,-2.8757,0.724,1w
2024-11-14,high_volatility,neutral,up,0,2.4875,0.5427,1w
