date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,up,0,6.5695,0.3707,1w
2021-01-13,chop,neutral,down,0,-5.7143,0.5267,1w
2021-01-25,chop,neutral,down,0,-3.6534,0.4587,1w
2021-02-03,chop,down,down,1,-5.9261,0.352,1w
2021-02-12,chop,down,up,0,2.3902,0.292,1w
2021-02-24,chop,down,up,0,6.0644,0.3213,1w
2021-03-05,chop,up,up,1,8.2654,0.58,1w
2021-03-16,chop,up,up,1,8.8886,0.628,1w
2021-03-25,chop,up,up,1,5.1983,0.5867,1w
2021-04-06,trending_bull,up,up,1,4.3239,0.6693,1w
2021-04-15,trending_bull,up,up,1,5.4569,0.6053,1w
2021-04-26,trending_bull,up,up,1,9.8198,0.6467,1w
2021-05-05,trending_bull,up,up,1,1.6719,0.6053,1w
2021-05-14,trending_bull,up,down,0,-5.9839,0.8147,1w
2021-05-25,trending_bull,up,down,0,-1.9939,0.8827,1w
2021-06-04,trending_bull,up,up,1,3.8796,0.7893,1w
2021-06-15,trending_bear,up,up,1,11.1006,0.6307,1w
2021-06-24,high_volatility,up,down,0,-2.7918,0.736,1w
2021-07-06,high_volatility,up,down,0,-5.9165,0.676,1w
2021-07-15,trending_bull,up,down,0,-4.1491,0.6547,1w
2021-07-26,chop,up,down,0,-1.194,0.5867,1w
2021-08-04,chop,down,neutral,0,0.3801,0.4467,1w
2021-08-13,chop,neutral,down,0,-4.7682,0.4907,1w
2021-08-24,chop,down,down,1,-1.9937,0.368,1w
2021-09-02,chop,down,up,0,2.3493,0.4013,1w
2021-09-14,chop,neutral,up,0,3.9908,0.5013,1w
2021-09-23,chop,down,up,0,10.2443,0.3267,1w
2021-10-04,chop,down,up,0,12.8634,0.32,1w
2021-10-13,chop,down,up,0,10.1633,0.3613,1w
2021-10-22,chop,up,up,1,8.4626,0.5827,1w
2021-11-02,trending_bull,up,up,1,10.4628,0.7573,1w
2021-11-11,high_volatility,up,up,1,11.2393,0.728,1w
2021-11-22,high_volatility,up,up,1,4.6269,0.7653,1w
2021-12-02,trending_bull,up,up,1,1.6688,0.904,1w
2021-12-13,trending_bull,up,up,1,1.4431,0.8693,1w
2021-12-22,trending_bull,up,down,0,-2.4452,0.924,1w
2022-01-03,trending_bull,up,down,0,-7.6909,0.9107,1w
2022-01-12,trending_bull,up,down,0,-2.4053,0.8427,1w
2022-01-24,chop,up,up,1,1.8418,0.7213,1w
2022-02-02,high_volatility,up,up,1,7.927,0.56,1w
2022-02-11,trending_bull,up,neutral,0,-0.3327,0.724,1w
2022-02-23,chop,up,down,0,-3.9689,0.5533,1w
2022-03-04,chop,neutral,down,0,-1.5129,0.4907,1w
2022-03-15,crisis,down,up,0,7.425,0.412,1w
2022-03-24,high_volatility,down,up,0,8.9778,0.3507,1w
2022-04-04,chop,down,up,0,4.8789,0.4093,1w
2022-04-13,chop,neutral,up,0,1.1825,0.5253,1w
2022-04-25,trending_bull,up,neutral,0,0.1499,0.6133,1w
2022-05-04,chop,up,down,0,-3.8834,0.732,1w
2022-05-13,chop,up,down,0,-5.7667,0.616,1w
2022-05-24,chop,neutral,up,0,1.3673,0.5467,1w
2022-06-03,chop,neutral,up,0,2.2604,0.5053,1w
2022-06-14,chop,neutral,down,0,-3.5009,0.4987,1w
2022-06-24,chop,up,down,0,-5.4536,0.6107,1w
2022-07-06,chop,neutral,down,0,-3.6697,0.4587,1w
2022-07-15,chop,down,up,0,2.5578,0.2547,1w
2022-07-26,chop,down,up,0,3.9707,0.32,1w
2022-08-04,chop,down,up,0,1.3385,0.208,1w
2022-08-15,chop,down,neutral,0,0.228,0.3013,1w
2022-08-24,chop,down,down,1,-3.3105,0.4067,1w
2022-09-02,chop,down,down,1,-3.4026,0.4093,1w
2022-09-14,chop,down,down,1,-3.2645,0.4387,1w
2022-09-23,chop,down,down,1,-2.2393,0.2973,1w
2022-10-04,trending_bear,down,down,1,-0.7239,0.2973,1w
