date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-26.5093,0.3653,1w
2021-01-13,chop,down,down,1,-28.0273,0.3013,1w
2021-01-25,chop,down,down,1,-7.8385,0.1867,1w
2021-02-03,trending_bear,down,down,1,-16.5615,0.1933,1w
2021-02-12,trending_bear,down,down,1,-6.9737,0.2973,1w
2021-02-24,trending_bear,down,up,0,31.6805,0.176,1w
2021-03-05,trending_bear,down,up,0,29.4079,0.1347,1w
2021-03-16,trending_bear,down,up,0,7.683,0.172,1w
2021-03-25,trending_bull,down,down,1,-21.8945,0.2947,1w
2021-04-06,trending_bull,down,down,1,-15.069,0.3213,1w
2021-04-15,chop,down,down,1,-23.276,0.2947,1w
2021-04-26,chop,down,down,1,-8.5034,0.4093,1w
2021-05-05,chop,down,down,1,-9.5905,0.3893,1w
2021-05-14,chop,down,down,1,-15.0678,0.3653,1w
2021-05-25,chop,neutral,up,0,8.481,0.4907,1w
2021-06-04,chop,neutral,up,0,13.4087,0.4947,1w
2021-06-15,chop,down,up,0,31.5564,0.3373,1w
2021-06-24,chop,down,up,0,14.8472,0.336,1w
2021-07-06,chop,down,up,0,16.8777,0.4067,1w
2021-07-15,chop,down,up,0,2.5583,0.428,1w
2021-07-26,chop,neutral,down,0,-10.6401,0.5453,1w
2021-08-04,chop,up,down,0,-28.4427,0.5907,1w
2021-08-13,chop,up,down,0,-25.7269,0.6173,1w
2021-08-24,chop,neutral,down,0,-12.0979,0.5387,1w
2021-09-02,chop,neutral,down,0,-12.6867,0.4893,1w
2021-09-14,chop,neutral,down,0,-6.2267,0.536,1w
2021-09-23,chop,down,up,0,3.7852,0.3693,1w
2021-10-04,trending_bear,down,up,0,23.0365,0.2747,1w
2021-10-13,trending_bear,down,up,0,25.1188,0.2947,1w
2021-10-22,chop,down,up,0,32.8748,0.3187,1w
2021-11-02,chop,down,up,0,22.1101,0.2973,1w
2021-11-11,chop,down,down,1,-3.5456,0.428,1w
2021-11-22,trending_bull,up,up,1,16.9553,0.6507,1w
2021-12-02,chop,up,down,0,-1.8426,0.688,1w
2021-12-13,chop,up,down,0,-4.799,0.612,1w
2021-12-22,chop,up,down,0,-5.5582,0.792,1w
2022-01-03,chop,up,down,0,-0.5695,0.7,1w
2022-01-12,chop,up,down,0,-10.6875,0.6973,1w
2022-01-24,chop,up,down,0,-23.5666,0.7413,1w
2022-02-02,chop,up,down,0,-16.8658,0.5987,1w
2022-02-11,chop,neutral,down,0,-14.8161,0.4747,1w
2022-02-23,chop,down,up,0,8.3441,0.332,1w
2022-03-04,trending_bear,down,up,0,10.9677,0.3013,1w
2022-03-15,trending_bear,down,up,0,3.5051,0.2293,1w
2022-03-24,chop,down,down,1,-9.0664,0.1787,1w
2022-04-04,chop,down,down,1,-13.1169,0.3347,1w
