date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-1.338,0.6987,1w
2021-01-13,chop,up,up,1,0.9113,0.652,1w
2021-01-25,chop,down,up,0,1.9359,0.396,1w
2021-02-03,crisis,neutral,up,0,3.689,0.456,1w
2021-02-12,high_volatility,down,up,0,17.1377,0.3787,1w
2021-02-24,chop,down,up,0,11.8184,0.4253,1w
2021-03-05,chop,up,down,0,-7.165,0.656,1w
2021-03-16,high_volatility,up,down,0,-17.0567,0.7213,1w
2021-03-25,trending_bull,up,down,0,-10.5957,0.692,1w
2021-04-06,crisis,neutral,up,0,4.8766,0.452,1w
2021-04-15,high_volatility,down,up,0,9.7248,0.4147,1w
2021-04-26,high_volatility,neutral,neutral,0,-0.4044,0.5053,1w
2021-05-05,trending_bull,neutral,down,0,-6.0943,0.4907,1w
2021-05-14,crisis,up,down,0,-3.2258,0.58,1w
2021-05-25,crisis,neutral,down,0,-4.3006,0.4907,1w
2021-06-04,chop,down,down,1,-6.2269,0.4213,1w
2021-06-15,chop,down,down,1,-0.6957,0.3467,1w
2021-06-24,chop,down,up,0,16.7456,0.2973,1w
2021-07-06,chop,neutral,up,0,30.606,0.4587,1w
2021-07-15,chop,neutral,up,0,32.0254,0.536,1w
2021-07-26,high_volatility,up,up,1,8.1683,0.5987,1w
2021-08-04,high_volatility,up,down,0,-8.9518,0.6027,1w
2021-08-13,trending_bull,up,down,0,-14.1921,0.704,1w
2021-08-24,high_volatility,up,down,0,-8.6497,0.7213,1w
2021-09-02,trending_bear,up,up,1,2.1657,0.5693,1w
2021-09-14,trending_bear,up,up,1,1.928,0.6,1w
2021-09-23,trending_bear,up,down,0,-7.4265,0.6307,1w
2021-10-04,high_volatility,up,down,0,-4.6937,0.6573,1w
2021-10-13,chop,up,down,0,-1.3773,0.6173,1w
2021-10-22,crisis,down,up,0,12.4399,0.32,1w
2021-11-02,high_volatility,down,up,0,14.7059,0.332,1w
2021-11-11,high_volatility,down,up,0,5.2266,0.312,1w
2021-11-22,high_volatility,down,down,1,-4.0191,0.436,1w
2021-12-02,chop,up,down,0,-8.6651,0.5893,1w
2021-12-13,chop,neutral,down,0,-3.556,0.536,1w
2021-12-22,chop,neutral,up,0,3.6291,0.5107,1w
2022-01-03,chop,down,up,0,17.4002,0.4213,1w
2022-01-12,chop,neutral,up,0,10.5865,0.4533,1w
2022-01-24,chop,up,neutral,0,0.361,0.6107,1w
2022-02-02,high_volatility,up,down,0,-3.6601,0.7333,1w
2022-02-11,trending_bull,up,down,0,-8.4004,0.6413,1w
2022-02-23,chop,up,down,0,-9.781,0.5733,1w
2022-03-04,chop,neutral,down,0,-8.3783,0.5147,1w
2022-03-15,chop,down,down,1,-2.0604,0.428,1w
2022-03-24,trending_bear,neutral,up,0,1.7848,0.4787,1w
2022-04-04,chop,neutral,up,0,0.8996,0.52,1w
2022-04-13,chop,neutral,up,0,1.674,0.4947,1w
2022-04-25,chop,down,up,0,7.6375,0.3227,1w
2022-05-04,chop,down,up,0,4.0777,0.236,1w
2022-05-13,chop,down,up,0,8.2238,0.3133,1w
2022-05-24,chop,down,down,1,-1.8252,0.376,1w
2022-06-03,chop,down,down,1,-5.5416,0.4093,1w
2022-06-14,chop,up,down,0,-6.2301,0.58,1w
2022-06-24,chop,neutral,up,0,2.5725,0.548,1w
2022-07-06,chop,neutral,up,0,11.7419,0.5227,1w
2022-07-15,chop,neutral,up,0,4.3868,0.4933,1w
2022-07-26,chop,up,down,0,-3.9635,0.6653,1w
2022-08-04,chop,up,down,0,-11.9862,0.6627,1w
2022-08-15,chop,up,down,0,-4.2285,0.5907,1w
2022-08-24,chop,down,down,1,-5.0522,0.4213,1w
2022-09-02,chop,down,down,1,-4.8643,0.3333,1w
2022-09-14,chop,down,down,1,-5.5719,0.3467,1w
2022-09-23,chop,down,down,1,-7.1795,0.3267,1w
2022-10-04,trending_bear,down,down,1,-8.5139,0.32,1w
2022-10-13,trending_bear,down,down,1,-8.7154,0.28,1w
2022-10-24,trending_bear,down,up,0,3.8291,0.1733,1w
2022-11-02,trending_bear,down,up,0,6.8628,0.1,1w
2022-11-11,trending_bear,down,up,0,3.8975,0.1947,1w
2022-11-22,chop,down,up,0,11.7504,0.2747,1w
2022-12-02,chop,down,up,0,2.7963,0.4093,1w
2022-12-13,chop,down,down,1,-1.6105,0.3733,1w
2022-12-22,trending_bull,up,down,0,-4.0019,0.588,1w
2023-01-04,trending_bull,neutral,down,0,-3.9698,0.5053,1w
2023-01-13,chop,down,neutral,0,0.4122,0.436,1w
2023-01-25,chop,up,neutral,0,0.0,0.6947,1w
2023-02-03,chop,neutral,down,0,-4.2686,0.5427,1w
2023-02-14,chop,neutral,down,0,-5.0462,0.5413,1w
2023-02-24,chop,neutral,down,0,-3.2527,0.504,1w
2023-03-07,chop,down,down,1,-4.6561,0.376,1w
2023-03-16,chop,down,down,1,-7.4033,0.3507,1w
2023-03-27,chop,down,down,1,-9.2733,0.2267,1w
2023-04-05,chop,down,down,1,-2.2854,0.2747,1w
2023-04-17,chop,down,up,0,11.6883,0.224,1w
2023-04-26,trending_bear,down,up,0,4.1913,0.224,1w
2023-05-05,trending_bear,down,up,0,1.8244,0.2933,1w
2023-05-16,chop,down,down,1,-3.7122,0.2933,1w
2023-05-25,chop,down,up,0,3.3614,0.2947,1w
2023-06-06,chop,down,down,1,-0.7242,0.352,1w
2023-06-15,chop,down,up,0,4.7374,0.368,1w
2023-06-27,chop,down,up,0,1.861,0.4173,1w
2023-07-07,chop,down,up,0,5.2284,0.424,1w
2023-07-18,chop,up,down,0,-3.5176,0.7067,1w
2023-07-27,crisis,up,down,0,-5.1546,0.632,1w
2023-08-07,crisis,neutral,down,0,-1.6092,0.4653,1w
2023-08-16,chop,down,neutral,0,0.1173,0.3893,1w
2023-08-25,chop,neutral,up,0,0.8748,0.456,1w
2023-09-06,chop,down,down,1,-1.8779,0.3893,1w
2023-09-15,chop,down,down,1,-4.3453,0.436,1w
2023-09-26,chop,down,down,1,-9.3804,0.376,1w
2023-10-05,chop,neutral,down,0,-5.8614,0.4773,1w
2023-10-16,chop,down,up,0,3.1524,0.3453,1w
2023-10-25,chop,down,up,0,7.161,0.1867,1w
2023-11-03,chop,down,up,0,4.435,0.2853,1w
2023-11-14,trending_bull,neutral,down,0,-0.6979,0.5013,1w
2023-11-24,chop,down,down,1,-7.714,0.44,1w
2023-12-05,chop,neutral,down,0,-7.379,0.4707,1w
2023-12-14,chop,down,down,1,-2.6564,0.4253,1w
2023-12-26,chop,down,neutral,0,-0.0637,0.3253,1w
2024-01-05,trending_bear,down,down,1,-1.162,0.3653,1w
2024-01-17,trending_bear,down,down,1,-5.0467,0.4093,1w
2024-01-26,chop,neutral,down,0,-5.0781,0.4653,1w
2024-02-06,chop,down,down,1,-3.367,0.3653,1w
2024-02-15,chop,down,down,1,-8.5074,0.256,1w
2024-02-27,chop,down,down,1,-6.6549,0.216,1w
2024-03-07,chop,down,down,1,-9.0219,0.1907,1w
2024-03-18,trending_bear,down,down,1,-2.9283,0.1533,1w
2024-03-27,trending_bear,down,down,1,-6.1953,0.2307,1w
2024-04-08,trending_bear,down,down,1,-2.1545,0.1733,1w
2024-04-17,trending_bear,down,up,0,2.5583,0.2013,1w
2024-04-26,trending_bear,down,up,0,2.3364,0.2107,1w
2024-05-07,chop,down,neutral,0,0.3049,0.2853,1w
2024-05-16,chop,down,down,1,-3.6645,0.3227,1w
2024-05-28,chop,down,neutral,0,0.0704,0.2973,1w
2024-06-06,chop,down,up,0,3.2007,0.376,1w
2024-06-17,chop,down,neutral,0,0.0779,0.3787,1w
2024-06-27,chop,down,down,1,-9.5982,0.388,1w
2024-07-09,trending_bull,neutral,down,0,-13.3577,0.524,1w
2024-07-18,chop,down,down,1,-6.0185,0.4093,1w
2024-07-29,chop,down,down,1,-2.4671,0.376,1w
2024-08-07,trending_bear,down,neutral,0,0.3451,0.296,1w
2024-08-16,trending_bear,down,down,1,-3.6666,0.3013,1w
2024-08-27,chop,down,down,1,-9.5846,0.3227,1w
2024-09-06,chop,down,down,1,-4.4905,0.2347,1w
2024-09-17,chop,down,down,1,-2.3487,0.2747,1w
2024-09-26,trending_bear,down,down,1,-7.3171,0.156,1w
2024-10-07,trending_bear,down,down,1,-9.1752,0.1787,1w
2024-10-16,trending_bear,down,down,1,-12.2694,0.224,1w
2024-10-25,trending_bear,down,up,0,4.0568,0.2253,1w
2024-11-05,trending_bear,down,up,0,12.7401,0.2693,1w
2024-11-14,trending_bear,down,up,0,20.5279,0.2107,1w
2024-11-25,trending_bear,down,up,0,14.0418,0.2827,1w
