date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-18.9627,0.8093,1w
2021-01-13,high_volatility,up,down,0,-13.0681,0.7373,1w
2021-01-25,crisis,up,down,0,-7.4768,0.5533,1w
2021-02-03,crisis,neutral,down,0,-11.987,0.5013,1w
2021-02-12,crisis,neutral,down,0,-11.384,0.4827,1w
2021-02-24,crisis,down,up,0,6.3561,0.412,1w
2021-03-05,crisis,down,up,0,12.0801,0.4133,1w
2021-03-16,high_volatility,down,down,1,-8.5067,0.2253,1w
2021-03-25,high_volatility,down,down,1,-20.6985,0.2973,1w
2021-04-06,chop,down,down,1,-17.1264,0.3173,1w
2021-04-15,chop,down,down,1,-17.2354,0.2493,1w
2021-04-26,trending_bear,down,down,1,-9.6062,0.3307,1w
2021-05-05,trending_bear,down,down,1,-2.3526,0.3347,1w
2021-05-14,chop,down,down,1,-15.2163,0.2933,1w
2021-05-25,chop,down,down,1,-11.7175,0.36,1w
2021-06-04,chop,neutral,down,0,-27.1031,0.456,1w
2021-06-15,chop,down,down,1,-2.7729,0.2747,1w
2021-06-24,trending_bear,down,up,0,5.308,0.184,1w
2021-07-06,trending_bear,down,up,0,33.0439,0.1613,1w
2021-07-15,trending_bear,down,up,0,14.8071,0.2747,1w
2021-07-26,chop,down,up,0,4.2441,0.352,1w
2021-08-04,chop,down,down,1,-19.8431,0.4147,1w
2021-08-13,chop,down,down,1,-13.4463,0.4453,1w
2021-08-24,chop,neutral,down,0,-16.6922,0.4653,1w
2021-09-02,chop,down,down,1,-2.7535,0.2907,1w
2021-09-14,chop,neutral,down,0,-21.4477,0.4667,1w
2021-09-23,chop,down,down,1,-8.5491,0.3867,1w
2021-10-04,chop,neutral,down,0,-15.4138,0.4907,1w
2021-10-13,chop,down,up,0,8.9956,0.296,1w
2021-10-22,chop,down,up,0,8.2313,0.2973,1w
2021-11-02,chop,down,up,0,16.2612,0.216,1w
2021-11-11,chop,down,down,1,-1.7762,0.296,1w
2021-11-22,chop,down,down,1,-9.4362,0.32,1w
2021-12-02,chop,neutral,down,0,-19.5215,0.4707,1w
2021-12-13,chop,down,down,1,-9.5046,0.384,1w
2021-12-22,chop,down,up,0,14.8632,0.4013,1w
2022-01-03,chop,down,up,0,33.4063,0.2947,1w
2022-01-12,chop,neutral,up,0,12.1219,0.48,1w
2022-01-24,chop,up,up,1,5.8727,0.556,1w
2022-02-02,chop,up,down,0,-9.2529,0.6307,1w
2022-02-11,chop,neutral,down,0,-20.3135,0.5187,1w
2022-02-23,chop,neutral,down,0,-6.3398,0.52,1w
2022-03-04,chop,down,down,1,-1.5325,0.4213,1w
2022-03-15,chop,down,neutral,0,-0.0253,0.3533,1w
2022-03-24,chop,up,down,0,-10.3014,0.5653,1w
2022-04-04,chop,up,down,0,-1.8708,0.5613,1w
2022-04-13,chop,neutral,up,0,3.9793,0.4667,1w
2022-04-25,chop,down,up,0,20.7458,0.3467,1w
2022-05-04,chop,down,up,0,41.6402,0.304,1w
2022-05-13,chop,down,up,0,51.0919,0.3653,1w
2022-05-24,chop,neutral,up,0,16.7374,0.5213,1w
2022-06-03,high_volatility,up,neutral,0,-0.4412,0.68,1w
2022-06-14,trending_bull,up,up,1,4.1832,0.7413,1w
2022-06-24,trending_bull,up,up,1,5.255,0.692,1w
2022-07-06,trending_bull,up,up,1,5.9848,0.7213,1w
2022-07-15,trending_bull,up,down,0,-10.0973,0.752,1w
2022-07-26,trending_bull,up,down,0,-10.3303,0.772,1w
2022-08-04,trending_bull,up,down,0,-8.9064,0.7347,1w
2022-08-15,chop,up,down,0,-2.6669,0.6987,1w
2022-08-24,chop,up,down,0,-1.6262,0.58,1w
2022-09-02,chop,down,down,1,-5.9954,0.4453,1w
2022-09-14,chop,down,down,1,-3.323,0.3507,1w
2022-09-23,chop,down,down,1,-4.1853,0.2973,1w
2022-10-04,chop,down,down,1,-7.9096,0.3467,1w
2022-10-13,chop,down,neutral,0,-0.3913,0.22,1w
2022-10-24,chop,down,up,0,16.7192,0.1867,1w
2022-11-02,trending_bear,down,up,0,1.2656,0.1787,1w
2022-11-11,trending_bull,down,neutral,0,0.3156,0.3787,1w
2022-11-22,trending_bull,neutral,up,0,7.5317,0.5173,1w
2022-12-02,chop,down,up,0,14.6577,0.3547,1w
2022-12-13,chop,neutral,up,0,10.6246,0.5293,1w
2022-12-22,chop,up,up,1,14.5937,0.648,1w
2023-01-04,chop,up,up,1,11.8491,0.58,1w
2023-01-13,chop,up,up,1,5.508,0.6907,1w
2023-01-25,trending_bull,up,up,1,0.8524,0.8387,1w
2023-02-03,trending_bull,up,up,1,21.3029,0.7427,1w
2023-02-14,high_volatility,up,down,0,-0.8452,0.6787,1w
2023-02-24,chop,up,down,0,-1.2585,0.692,1w
2023-03-07,crisis,up,down,0,-14.6198,0.8733,1w
2023-03-16,crisis,up,up,1,1.6926,0.5827,1w
2023-03-27,chop,up,down,0,-6.6011,0.5787,1w
2023-04-05,high_volatility,up,down,0,-2.8383,0.6347,1w
2023-04-17,high_volatility,neutral,up,0,5.5204,0.5133,1w
2023-04-26,chop,neutral,up,0,10.1408,0.4653,1w
2023-05-05,chop,neutral,up,0,1.6307,0.5067,1w
2023-05-16,chop,neutral,neutral,0,0.26,0.5067,1w
2023-05-25,chop,up,down,0,-12.8431,0.5733,1w
2023-06-06,chop,down,up,0,10.0,0.2973,1w
2023-06-15,chop,up,down,0,-5.3376,0.564,1w
2023-06-27,chop,down,down,1,-4.2999,0.4093,1w
2023-07-07,chop,neutral,down,0,-21.0882,0.5147,1w
2023-07-18,chop,neutral,up,0,1.642,0.4947,1w
2023-07-27,chop,down,up,0,6.7308,0.412,1w
2023-08-07,crisis,down,up,0,24.4702,0.332,1w
