date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,up,0,4.4759,0.492,1w
2021-01-13,chop,up,up,1,5.1137,0.5907,1w
2021-01-25,crisis,down,down,1,-2.722,0.424,1w
2021-02-03,high_volatility,neutral,down,0,-15.5312,0.4653,1w
2021-02-12,chop,up,down,0,-18.9825,0.5987,1w
2021-02-24,high_volatility,down,down,1,-1.2507,0.4067,1w
2021-03-05,high_volatility,down,up,0,0.7295,0.304,1w
2021-03-16,high_volatility,down,down,1,-2.78,0.2947,1w
2021-03-25,high_volatility,down,down,1,-8.0213,0.392,1w
2021-04-06,chop,down,down,1,-3.2204,0.2973,1w
2021-04-15,chop,down,down,1,-5.7828,0.2253,1w
2021-04-26,chop,down,down,1,-2.3905,0.2827,1w
2021-05-05,chop,down,down,1,-2.316,0.22,1w
2021-05-14,chop,down,down,1,-6.6551,0.168,1w
2021-05-25,chop,down,down,1,-9.7487,0.32,1w
2021-06-04,chop,neutral,down,0,-9.5221,0.464,1w
2021-06-15,chop,down,neutral,0,-0.3602,0.2973,1w
2021-06-24,chop,down,up,0,6.0781,0.2013,1w
2021-07-06,chop,down,up,0,13.7925,0.296,1w
2021-07-15,chop,down,up,0,18.5511,0.3187,1w
2021-07-26,chop,down,up,0,10.332,0.428,1w
2021-08-04,chop,down,up,0,0.9489,0.436,1w
2021-08-13,trending_bull,up,down,0,-5.401,0.668,1w
2021-08-24,trending_bull,up,down,0,-4.3228,0.5907,1w
2021-09-02,trending_bull,neutral,down,0,-6.9676,0.5173,1w
2021-09-14,chop,up,down,0,-12.1358,0.724,1w
2021-09-23,chop,up,down,0,-2.8095,0.6307,1w
2021-10-04,chop,up,up,1,0.6692,0.5867,1w
2021-10-13,chop,down,up,0,13.0373,0.4453,1w
2021-10-22,chop,down,up,0,13.2367,0.4467,1w
2021-11-02,chop,down,up,0,10.2288,0.4467,1w
2021-11-11,chop,down,neutral,0,0.3745,0.424,1w
2021-11-22,trending_bull,neutral,down,0,-3.1226,0.4907,1w
2021-12-02,trending_bull,up,down,0,-6.9272,0.584,1w
2021-12-13,trending_bull,neutral,down,0,-2.3514,0.5453,1w
2021-12-22,chop,up,up,1,10.5824,0.576,1w
2022-01-03,chop,neutral,up,0,15.4186,0.508,1w
2022-01-12,chop,up,up,1,9.3519,0.684,1w
2022-01-24,chop,up,up,1,3.2308,0.756,1w
2022-02-02,chop,up,down,0,-1.056,0.7307,1w
2022-02-11,trending_bull,up,down,0,-15.0855,0.656,1w
2022-02-23,trending_bull,up,down,0,-14.0737,0.6413,1w
2022-03-04,chop,up,down,0,-11.701,0.6,1w
2022-03-15,trending_bear,down,neutral,0,-0.3448,0.3347,1w
2022-03-24,crisis,down,up,0,4.0406,0.4227,1w
2022-04-04,chop,down,down,1,-0.59,0.436,1w
2022-04-13,chop,down,down,1,-6.2959,0.3813,1w
2022-04-25,chop,down,down,1,-7.3684,0.3307,1w
2022-05-04,chop,down,down,1,-1.3431,0.192,1w
2022-05-13,chop,down,up,0,7.4762,0.1867,1w
2022-05-24,chop,down,up,0,0.7108,0.2093,1w
2022-06-03,chop,down,down,1,-2.9467,0.2693,1w
2022-06-14,chop,neutral,down,0,-3.0095,0.496,1w
2022-06-24,chop,down,up,0,10.79,0.4467,1w
2022-07-06,chop,neutral,up,0,7.4991,0.4653,1w
2022-07-15,chop,down,down,1,-5.42,0.4013,1w
2022-07-26,trending_bull,up,down,0,-9.2057,0.5813,1w
2022-08-04,trending_bull,up,down,0,-4.7597,0.5707,1w
2022-08-15,chop,up,up,1,3.5818,0.5813,1w
2022-08-24,chop,neutral,neutral,0,-0.2283,0.4907,1w
2022-09-02,chop,down,down,1,-6.0243,0.444,1w
2022-09-14,chop,neutral,down,0,-12.0122,0.4707,1w
2022-09-23,chop,down,down,1,-12.9122,0.428,1w
2022-10-04,trending_bear,down,down,1,-6.0546,0.368,1w
2022-10-13,trending_bear,down,down,1,-3.5221,0.128,1w
2022-10-24,trending_bear,down,up,0,11.2735,0.0853,1w
2022-11-02,trending_bear,down,up,0,6.491,0.172,1w
2022-11-11,chop,down,up,0,9.3475,0.256,1w
2022-11-22,chop,down,up,0,17.4952,0.3853,1w
2022-12-02,chop,down,up,0,14.9433,0.4213,1w
2022-12-13,trending_bull,down,down,1,-5.569,0.424,1w
2022-12-22,trending_bull,up,down,0,-5.1917,0.6573,1w
2023-01-04,trending_bull,up,down,0,-6.9805,0.708,1w
2023-01-13,trending_bull,up,neutral,0,0.4891,0.6093,1w
2023-01-25,trending_bull,up,down,0,-1.3915,0.792,1w
2023-02-03,chop,up,down,0,-0.511,0.6933,1w
2023-02-14,chop,up,up,1,3.1633,0.6107,1w
2023-02-24,chop,up,up,1,6.7727,0.6347,1w
2023-03-07,chop,up,up,1,7.3485,0.5907,1w
2023-03-16,chop,down,up,0,1.3415,0.4093,1w
2023-03-27,chop,down,down,1,-1.0054,0.436,1w
2023-04-05,trending_bull,neutral,up,0,2.6349,0.4587,1w
2023-04-17,crisis,up,up,1,12.6209,0.5827,1w
2023-04-26,chop,up,up,1,7.5995,0.58,1w
2023-05-05,chop,up,up,1,0.9082,0.656,1w
2023-05-16,trending_bull,up,down,0,-4.0972,0.752,1w
2023-05-25,trending_bull,up,down,0,-1.804,0.732,1w
2023-06-06,trending_bull,up,up,1,3.8616,0.7107,1w
2023-06-15,chop,up,up,1,10.2226,0.6547,1w
2023-06-27,chop,up,up,1,8.7919,0.56,1w
2023-07-07,chop,up,down,0,-8.5798,0.6467,1w
2023-07-18,high_volatility,up,down,0,-3.1149,0.9,1w
2023-07-27,high_volatility,up,up,1,0.7518,0.756,1w
2023-08-07,crisis,down,up,0,8.0882,0.4093,1w
2023-08-16,high_volatility,neutral,down,0,-1.3308,0.4973,1w
2023-08-25,chop,neutral,neutral,0,0.2547,0.5467,1w
2023-09-06,chop,neutral,up,0,11.6886,0.528,1w
2023-09-15,chop,neutral,up,0,12.3998,0.5347,1w
2023-09-26,chop,up,up,1,13.9293,0.5893,1w
2023-10-05,chop,up,up,1,8.7498,0.5693,1w
2023-10-16,trending_bull,up,up,1,11.9652,0.5907,1w
2023-10-25,trending_bull,up,up,1,16.149,0.7107,1w
2023-11-03,trending_bull,up,up,1,10.3387,0.8467,1w
2023-11-14,crisis,up,down,0,-3.7982,0.7973,1w
2023-11-24,high_volatility,up,down,0,-4.9379,0.8013,1w
2023-12-05,trending_bull,up,down,0,-1.2891,0.848,1w
2023-12-14,trending_bull,up,up,1,5.2546,0.7867,1w
2023-12-26,high_volatility,up,up,1,8.209,0.728,1w
2024-01-05,chop,up,up,1,11.9315,0.7133,1w
2024-01-17,crisis,up,up,1,2.739,0.6507,1w
2024-01-26,crisis,up,down,0,-6.2072,0.7013,1w
2024-02-06,high_volatility,up,down,0,-20.21,0.7187,1w
2024-02-15,chop,up,down,0,-14.8127,0.5853,1w
2024-02-27,crisis,down,down,1,-13.3574,0.4093,1w
2024-03-07,crisis,down,down,1,-10.4695,0.2693,1w
2024-03-18,high_volatility,down,down,1,-9.3716,0.376,1w
2024-03-27,high_volatility,down,neutral,0,-0.3943,0.3373,1w
2024-04-08,crisis,down,up,0,9.9892,0.2347,1w
2024-04-17,high_volatility,down,up,0,24.0732,0.26,1w
2024-04-26,chop,down,up,0,11.038,0.3093,1w
2024-05-07,chop,down,up,0,8.4223,0.3507,1w
2024-05-16,chop,down,up,0,2.6253,0.4093,1w
2024-05-28,chop,down,up,0,10.0211,0.4427,1w
2024-06-06,chop,up,up,1,8.5495,0.6467,1w
2024-06-17,chop,up,up,1,5.8473,0.5827,1w
2024-06-27,trending_bull,up,up,1,2.7433,0.676,1w
2024-07-09,trending_bull,up,up,1,1.3317,0.8627,1w
2024-07-18,trending_bull,up,up,1,3.5925,0.9333,1w
2024-07-29,trending_bull,up,up,1,5.4191,0.9,1w
2024-08-07,chop,up,up,1,5.7965,0.7947,1w
2024-08-16,chop,up,up,1,10.4912,0.728,1w
2024-08-27,chop,up,up,1,7.0973,0.836,1w
2024-09-06,chop,up,up,1,0.9927,0.7893,1w
2024-09-17,chop,up,down,0,-0.7754,0.8693,1w
2024-09-26,trending_bull,up,up,1,3.9318,0.7747,1w
2024-10-07,chop,up,up,1,5.2121,0.6947,1w
2024-10-16,chop,up,down,0,-0.9565,0.728,1w
2024-10-25,chop,up,up,1,3.007,0.7427,1w
2024-11-05,chop,up,up,1,8.9123,0.728,1w
2024-11-14,chop,up,up,1,9.3662,0.6693,1w
2024-11-25,chop,up,up,1,6.0592,0.6773,1w
