date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-7.764,0.7707,1w
2021-01-13,high_volatility,up,down,0,-4.9926,0.5827,1w
2021-01-25,crisis,down,down,1,-2.7179,0.3813,1w
2021-02-03,crisis,down,down,1,-5.4004,0.3293,1w
2021-02-12,high_volatility,down,down,1,-6.1105,0.312,1w
2021-02-24,trending_bear,down,up,0,6.8577,0.224,1w
2021-03-05,high_volatility,down,up,0,6.7481,0.304,1w
2021-03-16,high_volatility,down,down,1,-1.7726,0.2093,1w
2021-03-25,high_volatility,down,down,1,-9.8882,0.3173,1w
2021-04-06,chop,down,down,1,-10.5375,0.3653,1w
2021-04-15,chop,down,down,1,-11.2197,0.3027,1w
2021-04-26,trending_bear,down,down,1,-6.9332,0.3653,1w
2021-05-05,high_volatility,down,down,1,-5.0902,0.336,1w
2021-05-14,crisis,down,down,1,-7.0067,0.296,1w
2021-05-25,high_volatility,down,neutral,0,-0.2928,0.3813,1w
2021-06-04,high_volatility,down,down,1,-2.6554,0.4013,1w
2021-06-15,chop,down,up,0,3.9224,0.2667,1w
2021-06-24,chop,down,down,1,-3.3134,0.2747,1w
2021-07-06,chop,down,up,0,6.1079,0.26,1w
2021-07-15,chop,down,up,0,13.7076,0.3173,1w
2021-07-26,chop,down,up,0,9.9749,0.3733,1w
2021-08-04,chop,down,down,1,-8.0019,0.428,1w
2021-08-13,chop,up,down,0,-13.9521,0.6173,1w
2021-08-24,chop,up,down,0,-12.6219,0.5627,1w
2021-09-02,chop,down,down,1,-5.983,0.4107,1w
2021-09-14,chop,neutral,down,0,-10.4948,0.512,1w
2021-09-23,trending_bear,down,up,0,1.7653,0.3027,1w
2021-10-04,trending_bear,down,down,1,-8.3213,0.3133,1w
2021-10-13,trending_bear,down,up,0,3.7312,0.2867,1w
2021-10-22,chop,down,down,1,-1.8273,0.4093,1w
2021-11-02,chop,down,up,0,16.0417,0.216,1w
2021-11-11,chop,down,up,0,2.4732,0.268,1w
2021-11-22,chop,down,neutral,0,-0.2449,0.324,1w
2021-12-02,chop,neutral,down,0,-6.0544,0.4667,1w
2021-12-13,chop,neutral,down,0,-7.1657,0.4707,1w
2021-12-22,chop,neutral,up,0,1.6164,0.5013,1w
2022-01-03,chop,down,up,0,15.4954,0.4227,1w
2022-01-12,chop,neutral,up,0,13.4139,0.4947,1w
2022-01-24,chop,down,up,0,6.1502,0.4453,1w
2022-02-02,chop,up,neutral,0,-0.3238,0.7,1w
2022-02-11,chop,up,down,0,-2.2285,0.6013,1w
2022-02-23,chop,neutral,up,0,12.5792,0.524,1w
2022-03-04,chop,neutral,up,0,12.9963,0.48,1w
2022-03-15,chop,neutral,up,0,3.5988,0.5173,1w
2022-03-24,chop,up,neutral,0,-0.3473,0.7067,1w
2022-04-04,trending_bull,up,up,1,7.4101,0.7827,1w
2022-04-13,trending_bull,up,up,1,7.1537,0.732,1w
2022-04-25,trending_bull,up,up,1,6.4889,0.6787,1w
2022-05-04,trending_bull,up,up,1,8.3774,0.7253,1w
2022-05-13,trending_bull,up,up,1,8.4485,0.6747,1w
2022-05-24,trending_bull,up,up,1,0.8223,0.816,1w
2022-06-03,trending_bull,up,up,1,2.2747,0.868,1w
2022-06-14,trending_bull,up,down,0,-0.6809,0.7787,1w
2022-06-24,trending_bull,up,up,1,0.9564,0.7427,1w
2022-07-06,trending_bull,up,down,0,-2.7994,0.7533,1w
2022-07-15,chop,up,down,0,-10.4676,0.7573,1w
2022-07-26,crisis,up,down,0,-3.0456,0.708,1w
2022-08-04,high_volatility,up,up,1,1.256,0.5693,1w
2022-08-15,chop,neutral,up,0,5.7116,0.524,1w
2022-08-24,chop,down,down,1,-1.6843,0.4213,1w
2022-09-02,chop,neutral,down,0,-4.1817,0.4653,1w
2022-09-14,chop,down,down,1,-0.754,0.4013,1w
2022-09-23,chop,down,up,0,5.8916,0.3507,1w
2022-10-04,chop,down,up,0,9.0681,0.3507,1w
2022-10-13,chop,down,up,0,10.2333,0.2693,1w
