date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,up,0,9.2259,0.4707,1w
2021-01-13,chop,up,up,1,1.9941,0.7093,1w
2021-01-25,crisis,neutral,up,0,9.5781,0.48,1w
2021-02-03,crisis,up,up,1,3.4587,0.62,1w
2021-02-12,trending_bull,up,down,0,-3.2291,0.6613,1w
2021-02-24,trending_bull,up,neutral,0,-0.3655,0.6347,1w
2021-03-05,crisis,up,down,0,-6.56,0.6933,1w
2021-03-16,crisis,up,down,0,-8.3024,0.6747,1w
2021-03-25,high_volatility,up,down,0,-4.0514,0.6773,1w
2021-04-06,high_volatility,neutral,up,0,2.8146,0.524,1w
2021-04-15,chop,down,up,0,3.7693,0.3467,1w
2021-04-26,high_volatility,neutral,down,0,-3.2816,0.5173,1w
2021-05-05,chop,down,up,0,3.1207,0.4293,1w
2021-05-14,chop,down,down,1,-1.864,0.3707,1w
2021-05-25,chop,down,down,1,-4.9411,0.392,1w
2021-06-04,chop,neutral,down,0,-10.867,0.5053,1w
2021-06-15,chop,down,down,1,-8.6901,0.3787,1w
2021-06-24,chop,down,up,0,3.4806,0.324,1w
2021-07-06,chop,down,up,0,12.3838,0.412,1w
2021-07-15,trending_bear,down,up,0,21.5159,0.392,1w
2021-07-26,chop,neutral,up,0,8.5394,0.4653,1w
2021-08-04,trending_bull,neutral,up,0,3.742,0.4787,1w
2021-08-13,trending_bull,up,down,0,-1.4396,0.6667,1w
2021-08-24,trending_bull,up,neutral,0,0.0384,0.6093,1w
2021-09-02,trending_bull,neutral,neutral,0,0.1494,0.5013,1w
2021-09-14,trending_bull,up,down,0,-2.4175,0.676,1w
2021-09-23,chop,up,down,0,-9.5802,0.6467,1w
2021-10-04,chop,up,down,0,-10.2653,0.724,1w
2021-10-13,chop,up,down,0,-9.106,0.7147,1w
2021-10-22,crisis,down,up,0,3.9108,0.412,1w
2021-11-02,chop,down,up,0,3.5429,0.4213,1w
2021-11-11,chop,down,down,1,-8.176,0.3467,1w
2021-11-22,chop,down,down,1,-16.1058,0.376,1w
2021-12-02,chop,down,down,1,-14.2697,0.3893,1w
2021-12-13,trending_bear,down,up,0,2.388,0.2747,1w
2021-12-22,trending_bear,down,up,0,7.0324,0.2427,1w
2022-01-03,trending_bear,down,up,0,6.4329,0.2187,1w
2022-01-12,trending_bear,down,up,0,7.877,0.2347,1w
2022-01-24,trending_bull,down,down,1,-0.7505,0.3893,1w
2022-02-02,chop,down,down,1,-3.5101,0.3973,1w
2022-02-11,chop,down,down,1,-21.5713,0.4213,1w
2022-02-23,chop,down,down,1,-25.7504,0.304,1w
2022-03-04,chop,down,down,1,-18.7379,0.3067,1w
2022-03-15,trending_bear,down,down,1,-8.5999,0.2253,1w
