date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-10.6534,0.8587,1w
2021-01-13,crisis,up,down,0,-2.4314,0.7253,1w
2021-01-25,crisis,down,down,1,-3.1375,0.44,1w
2021-02-03,crisis,neutral,down,0,-7.9525,0.4933,1w
2021-02-12,high_volatility,neutral,down,0,-9.8636,0.4653,1w
2021-02-24,crisis,down,down,1,-1.5456,0.3547,1w
2021-03-05,high_volatility,down,down,1,-1.2349,0.3213,1w
2021-03-16,crisis,down,neutral,0,-0.4305,0.216,1w
2021-03-25,high_volatility,down,down,1,-6.8771,0.2587,1w
2021-04-06,chop,down,down,1,-1.6988,0.2253,1w
2021-04-15,chop,down,down,1,-9.6433,0.248,1w
2021-04-26,chop,down,down,1,-4.2308,0.2973,1w
2021-05-05,chop,down,down,1,-3.8634,0.296,1w
2021-05-14,crisis,down,down,1,-6.562,0.288,1w
2021-05-25,high_volatility,down,down,1,-8.0441,0.36,1w
2021-06-04,high_volatility,down,down,1,-9.5027,0.4147,1w
2021-06-15,chop,down,down,1,-1.6767,0.3467,1w
2021-06-24,chop,down,up,0,7.2648,0.2667,1w
2021-07-06,chop,down,up,0,16.0738,0.312,1w
2021-07-15,chop,down,up,0,17.7004,0.2947,1w
2021-07-26,chop,down,up,0,3.8014,0.4093,1w
2021-08-04,chop,neutral,down,0,-10.2867,0.456,1w
2021-08-13,trending_bull,up,down,0,-7.0082,0.58,1w
2021-08-24,chop,neutral,down,0,-12.4333,0.52,1w
2021-09-02,chop,down,down,1,-5.1597,0.368,1w
2021-09-14,chop,up,down,0,-11.7899,0.5907,1w
2021-09-23,chop,down,up,0,3.7429,0.448,1w
2021-10-04,trending_bear,down,up,0,8.6185,0.4133,1w
2021-10-13,chop,down,up,0,28.0586,0.396,1w
2021-10-22,chop,down,up,0,16.2713,0.3933,1w
2021-11-02,chop,down,up,0,20.3033,0.392,1w
2021-11-11,high_volatility,neutral,up,0,1.4006,0.544,1w
2021-11-22,trending_bull,up,neutral,0,0.2966,0.5573,1w
2021-12-02,trending_bull,up,down,0,-1.6304,0.724,1w
2021-12-13,trending_bull,up,up,1,1.5327,0.6693,1w
2021-12-22,chop,up,up,1,6.6955,0.74,1w
2022-01-03,chop,up,up,1,6.1888,0.7253,1w
2022-01-12,chop,up,neutral,0,-0.2272,0.7947,1w
2022-01-24,chop,up,down,0,-4.1735,0.764,1w
2022-02-02,chop,up,down,0,-5.3862,0.7653,1w
2022-02-11,chop,up,down,0,-6.8981,0.5613,1w
2022-02-23,chop,neutral,up,0,2.2169,0.4947,1w
2022-03-04,chop,neutral,up,0,3.8257,0.488,1w
2022-03-15,chop,down,up,0,7.2857,0.3813,1w
2022-03-24,chop,neutral,down,0,-0.756,0.4907,1w
2022-04-04,chop,neutral,down,0,-3.5735,0.5013,1w
2022-04-13,chop,neutral,down,0,-13.1535,0.484,1w
2022-04-25,chop,down,down,1,-10.1487,0.396,1w
2022-05-04,chop,down,down,1,-6.2997,0.3467,1w
2022-05-13,chop,down,down,1,-4.1751,0.2973,1w
2022-05-24,trending_bear,down,down,1,-2.8133,0.3387,1w
2022-06-03,trending_bear,down,down,1,-2.0873,0.304,1w
2022-06-14,trending_bear,down,down,1,-0.586,0.2853,1w
2022-06-24,trending_bear,down,up,0,4.9363,0.2307,1w
2022-07-06,chop,down,neutral,0,0.1891,0.216,1w
2022-07-15,chop,down,down,1,-8.1086,0.1867,1w
2022-07-26,chop,down,down,1,-12.248,0.2933,1w
2022-08-04,chop,down,down,1,-3.4663,0.2547,1w
2022-08-15,chop,down,down,1,-3.3906,0.2413,1w
2022-08-24,trending_bear,down,down,1,-4.5106,0.22,1w
2022-09-02,trending_bear,down,down,1,-8.4445,0.2813,1w
2022-09-14,trending_bear,down,down,1,-11.5564,0.1947,1w
2022-09-23,trending_bear,down,down,1,-10.1874,0.228,1w
2022-10-04,trending_bear,down,down,1,-8.0723,0.1973,1w
2022-10-13,trending_bear,down,down,1,-3.5696,0.1133,1w
2022-10-24,trending_bear,down,up,0,10.5941,0.0787,1w
2022-11-02,trending_bear,down,up,0,6.8581,0.128,1w
2022-11-11,trending_bear,down,up,0,11.7164,0.2187,1w
2022-11-22,trending_bull,down,up,0,11.0004,0.3267,1w
2022-12-02,chop,down,up,0,6.2336,0.3387,1w
2022-12-13,chop,neutral,down,0,-3.3249,0.4653,1w
2022-12-22,trending_bull,up,down,0,-1.3763,0.6053,1w
2023-01-04,trending_bull,up,up,1,4.8291,0.56,1w
2023-01-13,chop,up,up,1,1.5632,0.632,1w
2023-01-25,chop,up,down,0,-1.8243,0.7627,1w
2023-02-03,chop,up,up,1,8.213,0.6773,1w
2023-02-14,chop,up,up,1,11.0464,0.6413,1w
2023-02-24,chop,up,up,1,8.3959,0.5987,1w
2023-03-07,chop,up,down,0,-3.6743,0.7387,1w
2023-03-16,trending_bull,up,down,0,-5.9617,0.588,1w
2023-03-27,trending_bull,up,down,0,-7.7053,0.5867,1w
2023-04-05,trending_bull,up,down,0,-4.0996,0.696,1w
2023-04-17,trending_bear,up,up,1,26.8658,0.5573,1w
2023-04-26,trending_bear,neutral,up,0,19.501,0.4853,1w
2023-05-05,chop,neutral,up,0,16.3728,0.516,1w
2023-05-16,crisis,up,down,0,-4.9531,0.728,1w
2023-05-25,trending_bull,up,down,0,-1.8734,0.6893,1w
2023-06-06,trending_bull,up,down,0,-7.5124,0.5547,1w
2023-06-15,chop,up,down,0,-4.8019,0.588,1w
2023-06-27,chop,neutral,up,0,3.097,0.5467,1w
2023-07-07,chop,neutral,up,0,5.6934,0.4933,1w
2023-07-18,chop,up,up,1,5.8043,0.6267,1w
2023-07-27,chop,up,down,0,-2.0647,0.6533,1w
2023-08-07,crisis,up,up,1,2.1032,0.584,1w
2023-08-16,chop,down,down,1,-1.7163,0.3587,1w
2023-08-25,chop,down,neutral,0,-0.1568,0.4213,1w
2023-09-06,chop,down,up,0,5.6842,0.392,1w
2023-09-15,chop,down,up,0,5.0547,0.3893,1w
2023-09-26,chop,neutral,down,0,-13.2554,0.4787,1w
2023-10-05,chop,up,down,0,-6.9087,0.6213,1w
2023-10-16,chop,up,down,0,-10.3818,0.58,1w
2023-10-25,chop,down,down,1,-5.786,0.2853,1w
2023-11-03,chop,neutral,down,0,-8.8787,0.4667,1w
2023-11-14,chop,down,up,0,3.167,0.2827,1w
2023-11-24,trending_bear,down,up,0,1.7828,0.2507,1w
2023-12-05,chop,down,neutral,0,0.3486,0.3453,1w
2023-12-14,chop,down,up,0,2.9182,0.3507,1w
2023-12-26,chop,down,up,0,8.6358,0.2107,1w
2024-01-05,chop,down,up,0,8.1491,0.2253,1w
2024-01-17,chop,down,down,1,-1.7176,0.3467,1w
2024-01-26,chop,neutral,down,0,-6.155,0.5387,1w
2024-02-06,chop,down,down,1,-6.8777,0.424,1w
2024-02-15,chop,neutral,down,0,-6.3311,0.512,1w
2024-02-27,chop,neutral,down,0,-7.5138,0.5013,1w
2024-03-07,chop,neutral,down,0,-21.7718,0.5293,1w
2024-03-18,chop,down,down,1,-16.2798,0.4013,1w
2024-03-27,chop,down,down,1,-9.7958,0.3627,1w
2024-04-08,crisis,down,up,0,3.7649,0.168,1w
2024-04-17,high_volatility,down,up,0,19.4764,0.216,1w
2024-04-26,trending_bear,down,up,0,9.5846,0.2413,1w
2024-05-07,chop,down,up,0,10.5839,0.2373,1w
2024-05-16,chop,down,down,1,-3.4174,0.3653,1w
2024-05-28,chop,down,up,0,1.6616,0.392,1w
2024-06-06,chop,down,up,0,1.6168,0.4253,1w
2024-06-17,chop,down,up,0,1.0876,0.424,1w
2024-06-27,chop,neutral,up,0,5.0287,0.4667,1w
2024-07-09,chop,up,up,1,2.6178,0.6387,1w
2024-07-18,chop,up,up,1,8.4999,0.6987,1w
2024-07-29,chop,up,up,1,4.0067,0.6773,1w
2024-08-07,chop,up,up,1,2.2937,0.6613,1w
2024-08-16,chop,up,down,0,-2.2614,0.6293,1w
2024-08-27,chop,up,down,0,-8.4302,0.6307,1w
2024-09-06,chop,up,up,1,6.0389,0.5573,1w
2024-09-17,chop,up,up,1,6.6127,0.64,1w
2024-09-26,chop,down,up,0,14.4158,0.436,1w
2024-10-07,chop,up,up,1,10.0989,0.588,1w
2024-10-16,chop,up,up,1,2.3356,0.6173,1w
