date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-9.9978,0.768,1w
2021-01-13,chop,up,down,0,-7.0416,0.7253,1w
2021-01-25,chop,up,down,0,-3.148,0.6587,1w
2021-02-03,high_volatility,down,up,0,0.8403,0.396,1w
2021-02-12,trending_bear,down,up,0,1.5523,0.236,1w
2021-02-24,high_volatility,down,up,0,7.4024,0.2787,1w
2021-03-05,high_volatility,down,up,0,5.6656,0.4213,1w
2021-03-16,crisis,down,down,1,-3.6558,0.3973,1w
2021-03-25,high_volatility,down,down,1,-1.6139,0.448,1w
2021-04-06,chop,down,down,1,-3.705,0.3787,1w
2021-04-15,chop,down,down,1,-5.2556,0.3453,1w
2021-04-26,high_volatility,down,down,1,-4.4277,0.428,1w
2021-05-05,crisis,neutral,neutral,0,-0.2341,0.4867,1w
2021-05-14,high_volatility,down,down,1,-4.1456,0.4093,1w
2021-05-25,chop,down,down,1,-10.2247,0.424,1w
2021-06-04,chop,neutral,down,0,-15.7199,0.516,1w
2021-06-15,chop,down,down,1,-4.9445,0.3707,1w
2021-06-24,chop,down,up,0,5.3545,0.2667,1w
2021-07-06,chop,down,up,0,19.0643,0.26,1w
2021-07-15,chop,down,up,0,33.0523,0.3147,1w
2021-07-26,chop,down,up,0,18.6494,0.4013,1w
2021-08-04,chop,down,down,1,-4.5788,0.448,1w
2021-08-13,trending_bull,up,down,0,-12.9193,0.704,1w
2021-08-24,trending_bull,up,down,0,-12.8611,0.6693,1w
2021-09-02,trending_bull,neutral,down,0,-0.9744,0.4587,1w
2021-09-14,trending_bear,up,down,0,-0.5191,0.584,1w
2021-09-23,chop,up,up,1,6.391,0.58,1w
2021-10-04,chop,up,neutral,0,0.4209,0.6307,1w
2021-10-13,chop,up,down,0,-2.9659,0.5827,1w
2021-10-22,chop,neutral,down,0,-4.2865,0.5387,1w
2021-11-02,chop,down,up,0,20.6381,0.4467,1w
2021-11-11,high_volatility,down,up,0,7.4113,0.344,1w
2021-11-22,chop,down,up,0,10.8682,0.364,1w
2021-12-02,chop,neutral,up,0,5.8795,0.4693,1w
2021-12-13,chop,neutral,up,0,9.3341,0.5053,1w
2021-12-22,chop,up,up,1,4.6512,0.584,1w
2022-01-03,chop,neutral,up,0,1.7769,0.4987,1w
2022-01-12,trending_bull,up,down,0,-9.9233,0.5853,1w
2022-01-24,chop,up,up,1,18.9863,0.5587,1w
2022-02-02,chop,up,up,1,24.3119,0.804,1w
2022-02-11,chop,up,up,1,18.6496,0.6067,1w
2022-02-23,crisis,up,up,1,2.4271,0.7253,1w
2022-03-04,crisis,up,down,0,-0.5307,0.728,1w
2022-03-15,crisis,up,up,1,6.8581,0.6267,1w
2022-03-24,high_volatility,up,down,0,-2.3811,0.692,1w
2022-04-04,chop,up,down,0,-4.6949,0.6693,1w
2022-04-13,chop,up,down,0,-9.9781,0.616,1w
2022-04-25,chop,up,down,0,-5.046,0.6173,1w
2022-05-04,crisis,up,down,0,-1.3417,0.5907,1w
2022-05-13,chop,up,up,1,7.9739,0.596,1w
2022-05-24,chop,down,up,0,7.4307,0.396,1w
2022-06-03,chop,down,up,0,6.51,0.3867,1w
