date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-14.9347,0.7667,1w
2021-01-13,trending_bull,up,down,0,-4.3003,0.8333,1w
2021-01-25,trending_bear,up,up,1,9.1863,0.6747,1w
2021-02-03,trending_bear,up,up,1,5.526,0.616,1w
2021-02-12,trending_bull,up,down,0,-22.6827,0.668,1w
2021-02-24,high_volatility,up,down,0,-13.3547,0.5533,1w
2021-03-05,crisis,neutral,down,0,-6.9955,0.5453,1w
2021-03-16,crisis,down,down,1,-1.4385,0.3133,1w
2021-03-25,high_volatility,down,down,1,-11.1305,0.332,1w
2021-04-06,high_volatility,down,down,1,-8.1275,0.292,1w
2021-04-15,chop,down,down,1,-6.452,0.256,1w
2021-04-26,chop,down,down,1,-0.7559,0.324,1w
2021-05-05,chop,down,up,0,2.3771,0.3347,1w
2021-05-14,chop,down,down,1,-18.1869,0.2427,1w
2021-05-25,chop,down,down,1,-15.6109,0.2933,1w
2021-06-04,chop,down,down,1,-18.8876,0.396,1w
2021-06-15,chop,down,up,0,1.3053,0.2813,1w
2021-06-24,trending_bear,down,up,0,3.1276,0.1867,1w
2021-07-06,trending_bear,down,up,0,12.2116,0.2133,1w
2021-07-15,chop,down,up,0,5.7046,0.2947,1w
2021-07-26,chop,down,down,1,-3.0171,0.336,1w
2021-08-04,chop,down,down,1,-11.6268,0.3467,1w
2021-08-13,chop,down,down,1,-17.1252,0.376,1w
2021-08-24,chop,down,down,1,-14.8345,0.336,1w
2021-09-02,chop,down,down,1,-8.1839,0.2747,1w
2021-09-14,chop,down,neutral,0,-0.4683,0.3787,1w
2021-09-23,chop,down,up,0,12.1123,0.2947,1w
2021-10-04,chop,down,up,0,1.8824,0.3547,1w
2021-10-13,chop,down,up,0,9.8615,0.2987,1w
2021-10-22,chop,down,up,0,1.6358,0.404,1w
2021-11-02,chop,down,up,0,3.8167,0.2973,1w
2021-11-11,chop,down,down,1,-11.4683,0.3987,1w
2021-11-22,chop,neutral,down,0,-12.6749,0.456,1w
2021-12-02,chop,neutral,down,0,-7.6726,0.4587,1w
2021-12-13,chop,neutral,up,0,3.9108,0.5173,1w
