date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,down,down,1,-2.0932,0.2853,1w
2021-01-13,trending_bear,down,down,1,-2.1848,0.168,1w
2021-01-25,trending_bear,down,down,1,-1.4087,0.1333,1w
2021-02-03,trending_bear,down,down,1,-0.9451,0.0453,1w
2021-02-12,high_volatility,down,down,1,-1.6507,0.0227,1w
2021-02-24,high_volatility,down,down,1,-2.1121,0.0293,1w
2021-03-05,high_volatility,down,down,1,-2.652,0.0293,1w
2021-03-16,crisis,down,down,1,-1.8549,0.004,1w
2021-03-25,crisis,down,down,1,-2.6305,0.004,1w
2021-04-06,high_volatility,down,down,1,-2.6831,0.004,1w
2021-04-15,high_volatility,down,down,1,-2.5046,0.0013,1w
2021-04-26,high_volatility,down,down,1,-0.6733,0.0013,1w
2021-05-05,trending_bear,down,up,0,1.6282,0.0013,1w
2021-05-14,high_volatility,down,neutral,0,0.274,0.0013,1w
2021-05-25,high_volatility,down,down,1,-0.536,0.0053,1w
2021-06-04,crisis,down,down,1,-0.8823,0.0787,1w
2021-06-15,crisis,down,up,0,2.3015,0.0773,1w
2021-06-24,crisis,down,up,0,1.7544,0.136,1w
2021-07-06,high_volatility,down,up,0,1.6034,0.2027,1w
2021-07-15,high_volatility,down,up,0,0.7309,0.3187,1w
2021-07-26,chop,neutral,down,0,-1.0548,0.4653,1w
2021-08-04,trending_bull,up,down,0,-3.0776,0.584,1w
2021-08-13,trending_bull,up,down,0,-2.5287,0.6413,1w
2021-08-24,chop,down,down,1,-2.3185,0.388,1w
2021-09-02,trending_bear,down,down,1,-2.3195,0.1747,1w
2021-09-14,trending_bear,down,down,1,-1.1016,0.3867,1w
2021-09-23,trending_bear,down,down,1,-1.0048,0.1907,1w
2021-10-04,trending_bear,down,down,1,-1.6039,0.1,1w
2021-10-13,trending_bear,down,up,0,0.7197,0.132,1w
2021-10-22,trending_bear,down,up,0,3.58,0.0573,1w
2021-11-02,trending_bear,down,up,0,4.665,0.0373,1w
2021-11-11,high_volatility,down,up,0,2.3798,0.1467,1w
2021-11-22,high_volatility,down,up,0,0.8661,0.3173,1w
2021-12-02,trending_bull,neutral,neutral,0,-0.1121,0.4867,1w
2021-12-13,trending_bull,neutral,up,0,1.1477,0.5053,1w
2021-12-22,trending_bull,up,up,1,2.0227,0.6107,1w
2022-01-03,trending_bull,up,up,1,2.3202,0.6027,1w
2022-01-12,trending_bull,up,neutral,0,0.0213,0.7533,1w
2022-01-24,trending_bull,up,down,0,-2.1099,0.8827,1w
2022-02-02,trending_bull,up,down,0,-2.1754,0.9013,1w
2022-02-11,chop,up,neutral,0,-0.0309,0.7267,1w
2022-02-23,trending_bear,down,up,0,2.2791,0.4253,1w
2022-03-04,trending_bear,down,up,0,2.6277,0.2973,1w
2022-03-15,trending_bull,down,up,0,1.2722,0.412,1w
2022-03-24,trending_bull,neutral,up,0,0.6894,0.532,1w
2022-04-04,trending_bull,up,down,0,-0.5869,0.5653,1w
2022-04-13,trending_bull,down,down,1,-0.5069,0.432,1w
2022-04-25,chop,down,down,1,-1.5508,0.364,1w
2022-05-04,chop,down,down,1,-0.9761,0.3707,1w
2022-05-13,chop,down,neutral,0,-0.2879,0.3893,1w
2022-05-24,chop,down,up,0,1.6431,0.3973,1w
2022-06-03,chop,neutral,neutral,0,-0.0668,0.4827,1w
2022-06-14,chop,down,neutral,0,0.2441,0.376,1w
2022-06-24,chop,down,neutral,0,0.4784,0.388,1w
2022-07-06,chop,down,neutral,0,-0.0332,0.22,1w
2022-07-15,chop,down,down,1,-1.0132,0.3147,1w
2022-07-26,chop,down,down,1,-1.2618,0.4093,1w
2022-08-04,chop,down,neutral,0,-0.3857,0.2267,1w
2022-08-15,chop,down,down,1,-0.5183,0.2693,1w
2022-08-24,chop,down,down,1,-1.5051,0.3573,1w
2022-09-02,chop,down,down,1,-2.7613,0.2253,1w
2022-09-14,chop,down,down,1,-1.7354,0.176,1w
2022-09-23,trending_bear,down,down,1,-1.3969,0.0947,1w
2022-10-04,trending_bear,down,neutral,0,0.3287,0.0747,1w
2022-10-13,trending_bear,down,up,0,1.6913,0.0787,1w
2022-10-24,trending_bear,down,up,0,4.857,0.056,1w
2022-11-02,high_volatility,down,up,0,4.0795,0.1533,1w
2022-11-11,crisis,down,up,0,3.2742,0.2747,1w
2022-11-22,trending_bull,neutral,up,0,3.2475,0.4693,1w
2022-12-02,high_volatility,up,up,1,1.3603,0.5587,1w
2022-12-13,trending_bull,up,neutral,0,0.2592,0.652,1w
2022-12-22,trending_bull,up,neutral,0,-0.4523,0.7947,1w
2023-01-04,trending_bull,up,neutral,0,-0.3737,0.8587,1w
2023-01-13,trending_bull,up,neutral,0,-0.0772,0.868,1w
2023-01-25,trending_bull,up,neutral,0,0.3315,0.9267,1w
2023-02-03,trending_bull,up,neutral,0,0.3883,0.7867,1w
2023-02-14,chop,up,neutral,0,-0.0668,0.7,1w
2023-02-24,chop,up,neutral,0,0.0627,0.6387,1w
2023-03-07,chop,neutral,down,0,-1.3701,0.5027,1w
2023-03-16,chop,down,down,1,-1.1079,0.3187,1w
2023-03-27,chop,down,down,1,-1.2099,0.28,1w
2023-04-05,chop,down,neutral,0,0.4153,0.2253,1w
2023-04-17,chop,down,up,0,1.0001,0.2253,1w
2023-04-26,chop,down,neutral,0,-0.094,0.2387,1w
2023-05-05,chop,down,neutral,0,-0.3075,0.252,1w
2023-05-16,chop,down,neutral,0,0.3667,0.2693,1w
2023-05-25,chop,down,up,0,1.0029,0.1667,1w
2023-06-06,chop,down,up,0,0.5641,0.2013,1w
2023-06-15,chop,down,up,0,0.845,0.3347,1w
2023-06-27,chop,down,up,0,0.6857,0.2747,1w
2023-07-07,chop,down,up,0,1.2298,0.4427,1w
2023-07-18,chop,neutral,up,0,0.5819,0.5373,1w
2023-07-27,trending_bull,neutral,up,0,0.8996,0.5427,1w
2023-08-07,trending_bull,neutral,up,0,0.7152,0.504,1w
2023-08-16,trending_bull,neutral,up,0,1.0308,0.4827,1w
2023-08-25,trending_bull,up,up,1,0.6023,0.6627,1w
2023-09-06,trending_bull,up,neutral,0,0.1342,0.5773,1w
2023-09-15,trending_bull,up,neutral,0,-0.2531,0.6173,1w
2023-09-26,trending_bull,up,down,0,-1.133,0.596,1w
2023-10-05,trending_bull,neutral,neutral,0,-0.3996,0.528,1w
2023-10-16,trending_bull,neutral,down,0,-0.6305,0.4693,1w
2023-10-25,trending_bear,down,up,0,0.832,0.3267,1w
2023-11-03,trending_bear,down,up,0,1.3799,0.3027,1w
2023-11-14,chop,down,neutral,0,0.3617,0.3467,1w
2023-11-24,chop,down,down,1,-1.2263,0.376,1w
2023-12-05,chop,down,down,1,-1.3824,0.4453,1w
2023-12-14,chop,down,down,1,-1.1354,0.2947,1w
2023-12-26,trending_bear,down,neutral,0,0.4993,0.256,1w
