date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-2.5699,0.2613,1w
2021-01-13,chop,down,up,0,1.8452,0.336,1w
2021-01-25,chop,down,up,0,1.9529,0.2973,1w
2021-02-03,chop,down,down,1,-12.9047,0.3213,1w
2021-02-12,chop,down,down,1,-20.4291,0.3733,1w
2021-02-24,chop,down,up,0,0.5702,0.3893,1w
2021-03-05,chop,down,up,0,25.4744,0.448,1w
2021-03-16,trending_bear,down,up,0,10.6849,0.3453,1w
2021-03-25,chop,down,up,0,6.9873,0.368,1w
2021-04-06,chop,neutral,down,0,-8.8302,0.4653,1w
2021-04-15,chop,down,down,1,-31.1422,0.404,1w
2021-04-26,chop,neutral,down,0,-28.9077,0.5173,1w
2021-05-05,chop,down,down,1,-21.0604,0.424,1w
2021-05-14,chop,down,down,1,-28.7916,0.2293,1w
2021-05-25,trending_bear,down,down,1,-13.7698,0.312,1w
2021-06-04,trending_bear,down,down,1,-20.2815,0.424,1w
2021-06-15,trending_bear,down,up,0,0.5396,0.224,1w
2021-06-24,trending_bear,down,down,1,-10.59,0.208,1w
2021-07-06,trending_bear,down,up,0,15.2618,0.22,1w
2021-07-15,trending_bear,down,up,0,20.0,0.1907,1w
2021-07-26,chop,down,up,0,14.9374,0.224,1w
2021-08-04,chop,down,neutral,0,0.2311,0.2747,1w
2021-08-13,chop,down,up,0,1.6949,0.4093,1w
2021-08-24,chop,neutral,up,0,3.3022,0.4653,1w
2021-09-02,chop,down,down,1,-12.6437,0.3813,1w
2021-09-14,chop,up,down,0,-13.8686,0.6173,1w
2021-09-23,chop,neutral,up,0,10.1845,0.536,1w
2021-10-04,chop,neutral,up,0,26.0511,0.488,1w
2021-10-13,chop,neutral,up,0,31.9691,0.5293,1w
2021-10-22,chop,up,up,1,5.2907,0.632,1w
2021-11-02,chop,up,up,1,1.6514,0.6173,1w
2021-11-11,chop,up,down,0,-13.4379,0.5853,1w
2021-11-22,chop,up,down,0,-15.1758,0.5693,1w
2021-12-02,chop,up,down,0,-28.295,0.6173,1w
2021-12-13,chop,neutral,up,0,2.1291,0.4947,1w
2021-12-22,chop,neutral,up,0,18.0566,0.4907,1w
2022-01-03,chop,down,up,0,37.3194,0.3787,1w
2022-01-12,chop,up,up,1,8.3173,0.6173,1w
2022-01-24,chop,neutral,up,0,8.6252,0.4827,1w
2022-02-02,chop,neutral,down,0,-1.5088,0.5133,1w
2022-02-11,chop,down,down,1,-26.0172,0.4147,1w
2022-02-23,trending_bull,neutral,down,0,-23.6585,0.5013,1w
2022-03-04,chop,neutral,down,0,-17.0426,0.4653,1w
2022-03-15,chop,down,down,1,-3.585,0.3467,1w
2022-03-24,trending_bear,down,up,0,4.3443,0.428,1w
2022-04-04,chop,neutral,up,0,6.4241,0.528,1w
2022-04-13,chop,down,up,0,5.8687,0.292,1w
2022-04-25,chop,down,up,0,14.2055,0.2973,1w
2022-05-04,chop,down,up,0,14.5081,0.3067,1w
2022-05-13,chop,down,up,0,43.1751,0.2613,1w
2022-05-24,chop,down,up,0,27.9696,0.3467,1w
2022-06-03,chop,neutral,up,0,29.791,0.4893,1w
2022-06-14,trending_bull,up,up,1,6.2436,0.7987,1w
2022-06-24,trending_bull,up,up,1,6.0235,0.836,1w
2022-07-06,trending_bull,up,down,0,-17.9991,0.8933,1w
2022-07-15,trending_bull,up,down,0,-16.5485,0.86,1w
2022-07-26,trending_bull,up,down,0,-20.6282,0.896,1w
2022-08-04,trending_bear,up,down,0,-9.8485,0.68,1w
2022-08-15,trending_bear,up,up,1,0.9346,0.7107,1w
2022-08-24,trending_bear,up,down,0,-10.0178,0.6133,1w
2022-09-02,trending_bear,neutral,down,0,-0.7836,0.4667,1w
2022-09-14,trending_bear,down,down,1,-13.7551,0.3507,1w
2022-09-23,trending_bear,down,down,1,-9.3567,0.2307,1w
2022-10-04,chop,down,down,1,-20.4988,0.2187,1w
