date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,up,1,0.574,0.676,1w
2021-01-13,chop,up,down,0,-1.6092,0.5987,1w
2021-01-25,chop,up,up,1,6.4838,0.612,1w
2021-02-03,high_volatility,up,up,1,13.7981,0.656,1w
2021-02-12,chop,neutral,up,0,16.2955,0.52,1w
2021-02-24,crisis,up,up,1,16.4443,0.7213,1w
2021-03-05,crisis,up,up,1,12.2386,0.7933,1w
2021-03-16,crisis,up,up,1,12.4438,0.752,1w
2021-03-25,crisis,up,down,0,-4.7424,0.8093,1w
2021-04-06,high_volatility,up,down,0,-11.0892,0.8093,1w
2021-04-15,high_volatility,up,down,0,-22.4792,0.7947,1w
2021-04-26,crisis,up,down,0,-7.134,0.6693,1w
2021-05-05,high_volatility,up,down,0,-5.5018,0.6573,1w
2021-05-14,high_volatility,neutral,neutral,0,-0.1098,0.504,1w
2021-05-25,trending_bear,neutral,down,0,-8.1806,0.4653,1w
2021-06-04,chop,down,down,1,-11.9581,0.38,1w
2021-06-15,chop,down,down,1,-12.8388,0.304,1w
2021-06-24,trending_bear,down,down,1,-30.5235,0.216,1w
2021-07-06,trending_bear,down,down,1,-25.3154,0.144,1w
2021-07-15,trending_bear,down,down,1,-14.9461,0.072,1w
2021-07-26,trending_bear,down,down,1,-3.446,0.0787,1w
2021-08-04,trending_bear,down,down,1,-9.651,0.076,1w
2021-08-13,trending_bear,down,down,1,-5.0827,0.1613,1w
2021-08-24,trending_bear,down,down,1,-3.8663,0.1,1w
2021-09-02,trending_bear,down,up,0,6.2973,0.072,1w
2021-09-14,trending_bear,down,down,1,-2.376,0.14,1w
2021-09-23,trending_bear,down,up,0,2.7151,0.12,1w
2021-10-04,trending_bull,down,down,1,-6.3328,0.1827,1w
2021-10-13,chop,down,up,0,11.5089,0.2187,1w
2021-10-22,chop,down,up,0,6.9392,0.364,1w
2021-11-02,chop,down,up,0,22.8687,0.368,1w
2021-11-11,chop,neutral,up,0,0.8983,0.4973,1w
2021-11-22,chop,neutral,up,0,3.7911,0.4907,1w
2021-12-02,chop,up,up,1,3.0728,0.6533,1w
2021-12-13,chop,up,up,1,13.2556,0.5747,1w
2021-12-22,chop,up,up,1,12.4,0.628,1w
2022-01-03,chop,up,up,1,1.7861,0.5987,1w
2022-01-12,trending_bull,up,down,0,-11.1316,0.7427,1w
2022-01-24,trending_bull,up,down,0,-19.6588,0.7333,1w
2022-02-02,trending_bull,up,down,0,-11.2939,0.768,1w
2022-02-11,chop,neutral,down,0,-0.9826,0.536,1w
2022-02-23,chop,down,up,0,12.5661,0.4213,1w
2022-03-04,trending_bear,down,up,0,21.9715,0.3467,1w
2022-03-15,chop,down,up,0,8.1695,0.448,1w
2022-03-24,chop,neutral,neutral,0,-0.0207,0.5053,1w
2022-04-04,chop,neutral,down,0,-5.1085,0.4707,1w
2022-04-13,trending_bull,down,down,1,-2.8471,0.3587,1w
2022-04-25,chop,down,down,1,-11.3256,0.296,1w
2022-05-04,chop,neutral,down,0,-13.0969,0.4653,1w
2022-05-13,chop,neutral,down,0,-5.7602,0.4827,1w
2022-05-24,chop,down,up,0,6.2439,0.4173,1w
2022-06-03,chop,neutral,down,0,-1.0717,0.4707,1w
2022-06-14,chop,down,up,0,4.4965,0.3573,1w
2022-06-24,chop,down,up,0,2.3316,0.296,1w
2022-07-06,chop,down,down,1,-3.2434,0.1733,1w
2022-07-15,chop,down,down,1,-14.4731,0.3507,1w
2022-07-26,chop,down,down,1,-7.2429,0.368,1w
2022-08-04,chop,down,down,1,-4.0514,0.2347,1w
2022-08-15,chop,down,up,0,4.2863,0.2413,1w
2022-08-24,trending_bear,down,up,0,6.7638,0.4093,1w
2022-09-02,chop,down,down,1,-7.974,0.3347,1w
2022-09-14,chop,down,down,1,-2.2316,0.3507,1w
2022-09-23,chop,down,down,1,-2.4112,0.3893,1w
2022-10-04,chop,down,up,0,4.4292,0.2173,1w
2022-10-13,chop,down,down,1,-14.6067,0.2747,1w
2022-10-24,chop,down,up,0,2.5299,0.3147,1w
2022-11-02,chop,down,up,0,4.93,0.376,1w
2022-11-11,chop,down,up,0,11.9377,0.3147,1w
2022-11-22,chop,neutral,up,0,13.0056,0.4587,1w
2022-12-02,chop,neutral,up,0,0.5766,0.5467,1w
2022-12-13,chop,neutral,down,0,-12.4909,0.4693,1w
2022-12-22,chop,up,down,0,-17.7046,0.5627,1w
2023-01-04,chop,up,down,0,-17.3029,0.6027,1w
2023-01-13,chop,down,down,1,-7.5151,0.3467,1w
2023-01-25,trending_bear,down,down,1,-12.2771,0.396,1w
2023-02-03,chop,down,up,0,0.6691,0.2827,1w
2023-02-14,trending_bear,down,up,0,3.2263,0.3147,1w
2023-02-24,chop,down,up,0,14.763,0.224,1w
2023-03-07,chop,down,up,0,16.9962,0.2747,1w
2023-03-16,chop,down,up,0,10.7205,0.2413,1w
2023-03-27,chop,down,up,0,23.1489,0.2307,1w
2023-04-05,trending_bull,neutral,up,0,5.0508,0.4587,1w
2023-04-17,high_volatility,up,up,1,12.0073,0.5907,1w
2023-04-26,crisis,up,down,0,-1.7552,0.7213,1w
2023-05-05,high_volatility,up,neutral,0,-0.225,0.692,1w
2023-05-16,trending_bull,up,down,0,-4.1431,0.744,1w
2023-05-25,trending_bull,up,down,0,-1.6536,0.8173,1w
2023-06-06,chop,up,up,1,3.8353,0.7,1w
2023-06-15,chop,up,up,1,17.9907,0.6733,1w
2023-06-27,chop,up,up,1,11.6874,0.668,1w
2023-07-07,chop,up,up,1,8.4529,0.6107,1w
2023-07-18,trending_bull,up,up,1,3.7887,0.728,1w
2023-07-27,trending_bull,up,up,1,10.533,0.6027,1w
