date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bear,up,down,0,-18.8095,0.5587,1w
2021-01-13,trending_bear,down,up,0,1.7461,0.28,1w
2021-01-25,trending_bear,down,up,0,1.5545,0.144,1w
2021-02-03,trending_bear,down,up,0,4.2084,0.184,1w
2021-02-12,trending_bear,down,down,1,-19.7865,0.2253,1w
2021-02-24,chop,down,up,0,28.7388,0.176,1w
2021-03-05,chop,down,up,0,22.3863,0.268,1w
2021-03-16,chop,down,up,0,32.5576,0.2347,1w
2021-03-25,chop,down,down,1,-22.1995,0.4093,1w
2021-04-06,chop,neutral,down,0,-29.3302,0.4693,1w
2021-04-15,chop,neutral,down,0,-53.3585,0.48,1w
2021-04-26,chop,neutral,down,0,-42.5084,0.4907,1w
2021-05-05,chop,down,down,1,-35.9513,0.4227,1w
2021-05-14,trending_bear,down,down,1,-37.3456,0.2267,1w
2021-05-25,trending_bear,down,down,1,-4.5545,0.2947,1w
2021-06-04,trending_bear,down,down,1,-7.4074,0.256,1w
2021-06-15,trending_bear,down,up,0,9.365,0.2093,1w
2021-06-24,trending_bear,down,down,1,-3.9545,0.148,1w
2021-07-06,trending_bear,down,up,0,15.9086,0.1533,1w
2021-07-15,chop,down,up,0,66.588,0.1413,1w
2021-07-26,chop,down,up,0,42.8634,0.22,1w
2021-08-04,chop,down,up,0,1.5232,0.2973,1w
2021-08-13,trending_bull,neutral,down,0,-23.3479,0.548,1w
2021-08-24,trending_bull,up,down,0,-13.9531,0.5947,1w
2021-09-02,chop,neutral,down,0,-4.9736,0.52,1w
2021-09-14,chop,up,down,0,-16.2162,0.6667,1w
2021-09-23,chop,neutral,neutral,0,-0.0919,0.528,1w
2021-10-04,chop,neutral,down,0,-8.1626,0.5387,1w
2021-10-13,chop,neutral,down,0,-5.2326,0.536,1w
2021-10-22,chop,up,down,0,-15.9496,0.5773,1w
2021-11-02,chop,down,down,1,-0.7409,0.448,1w
2021-11-11,chop,down,down,1,-5.1946,0.2413,1w
2021-11-22,chop,down,up,0,3.4245,0.3027,1w
2021-12-02,chop,down,down,1,-11.0606,0.4013,1w
2021-12-13,chop,down,down,1,-15.9644,0.3893,1w
2021-12-22,chop,down,up,0,2.9788,0.4067,1w
2022-01-03,chop,down,up,0,47.0151,0.328,1w
2022-01-12,chop,down,up,0,45.8684,0.412,1w
2022-01-24,chop,down,up,0,33.7522,0.4093,1w
2022-02-02,chop,up,up,1,1.1274,0.5853,1w
2022-02-11,trending_bull,up,down,0,-19.2015,0.5827,1w
2022-02-23,trending_bull,up,down,0,-4.3243,0.6613,1w
2022-03-04,trending_bull,up,up,1,2.7349,0.6053,1w
2022-03-15,chop,neutral,up,0,16.4776,0.52,1w
2022-03-24,chop,up,up,1,3.5472,0.616,1w
2022-04-04,chop,up,down,0,-29.771,0.7,1w
2022-04-13,chop,up,down,0,-20.8501,0.7253,1w
2022-04-25,chop,up,down,0,-5.5276,0.6307,1w
