date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bear,neutral,down,0,-23.4762,0.46,1w
2021-01-13,trending_bear,down,down,1,-24.3755,0.2267,1w
2021-01-25,crisis,down,down,1,-2.5236,0.1387,1w
2021-02-03,crisis,down,down,1,-14.2987,0.22,1w
2021-02-12,high_volatility,down,down,1,-15.4098,0.1787,1w
2021-02-24,trending_bear,down,up,0,1.9131,0.152,1w
2021-03-05,trending_bear,down,up,0,3.2455,0.1707,1w
2021-03-16,trending_bear,down,neutral,0,0.1018,0.1467,1w
2021-03-25,trending_bear,down,down,1,-42.6366,0.1867,1w
2021-04-06,trending_bear,down,down,1,-48.9476,0.208,1w
2021-04-15,chop,down,down,1,-50.2583,0.2187,1w
2021-04-26,trending_bear,down,down,1,-10.7046,0.2267,1w
2021-05-05,trending_bear,down,up,0,0.5294,0.168,1w
2021-05-14,trending_bear,down,down,1,-9.5662,0.164,1w
2021-05-25,trending_bear,down,up,0,0.7597,0.2093,1w
2021-06-04,trending_bear,down,down,1,-6.5836,0.236,1w
2021-06-15,trending_bear,down,up,0,4.3214,0.1973,1w
2021-06-24,trending_bear,down,up,0,14.4931,0.1933,1w
2021-07-06,chop,down,up,0,23.1827,0.1867,1w
2021-07-15,chop,down,up,0,31.828,0.2093,1w
2021-07-26,chop,neutral,up,0,4.9741,0.5027,1w
2021-08-04,trending_bull,up,neutral,0,0.0565,0.5573,1w
2021-08-13,trending_bull,up,down,0,-12.4363,0.6987,1w
2021-08-24,trending_bull,up,up,1,3.2403,0.6573,1w
2021-09-02,chop,up,up,1,5.7185,0.5907,1w
2021-09-14,chop,up,down,0,-1.4501,0.6973,1w
2021-09-23,chop,up,up,1,27.8963,0.668,1w
2021-10-04,chop,up,up,1,19.1119,0.6987,1w
2021-10-13,chop,up,up,1,18.2616,0.6053,1w
2021-10-22,chop,up,up,1,0.9205,0.7,1w
2021-11-02,trending_bull,up,up,1,16.0989,0.644,1w
2021-11-11,chop,up,up,1,8.6341,0.5533,1w
2021-11-22,chop,up,up,1,3.9311,0.632,1w
2021-12-02,chop,up,down,0,-7.9461,0.716,1w
2021-12-13,chop,up,up,1,3.0561,0.7253,1w
2021-12-22,chop,up,up,1,22.1931,0.6747,1w
2022-01-03,chop,up,up,1,18.5773,0.6253,1w
2022-01-12,chop,up,up,1,7.7369,0.7413,1w
2022-01-24,chop,up,down,0,-12.0421,0.6987,1w
2022-02-02,trending_bull,up,down,0,-14.7226,0.732,1w
2022-02-11,trending_bull,up,down,0,-15.6045,0.6787,1w
2022-02-23,chop,up,up,1,3.5441,0.5907,1w
2022-03-04,chop,down,up,0,12.4096,0.432,1w
2022-03-15,trending_bear,down,up,0,9.2143,0.4093,1w
2022-03-24,chop,up,down,0,-1.5595,0.58,1w
2022-04-04,chop,up,down,0,-6.3006,0.5987,1w
2022-04-13,chop,neutral,up,0,0.9528,0.4907,1w
2022-04-25,chop,down,up,0,13.6073,0.296,1w
2022-05-04,chop,down,up,0,25.0279,0.296,1w
2022-05-13,chop,down,up,0,32.0929,0.376,1w
2022-05-24,trending_bull,up,up,1,15.8607,0.6333,1w
2022-06-03,trending_bull,up,up,1,9.9051,0.7533,1w
2022-06-14,trending_bull,up,up,1,1.0735,0.8333,1w
2022-06-24,trending_bull,up,up,1,1.3403,0.7587,1w
2022-07-06,trending_bull,up,down,0,-1.4837,0.768,1w
2022-07-15,trending_bull,up,down,0,-10.7624,0.8333,1w
2022-07-26,high_volatility,up,down,0,-1.5103,0.7653,1w
2022-08-04,chop,up,up,1,1.7969,0.7693,1w
2022-08-15,chop,up,down,0,-3.6009,0.7307,1w
2022-08-24,chop,up,down,0,-7.5067,0.6173,1w
2022-09-02,chop,up,down,0,-15.4478,0.616,1w
2022-09-14,chop,down,down,1,-10.3945,0.336,1w
2022-09-23,trending_bear,down,up,0,9.0916,0.368,1w
2022-10-04,trending_bear,down,up,0,13.9886,0.2747,1w
2022-10-13,trending_bear,down,up,0,23.2249,0.1453,1w
2022-10-24,trending_bull,neutral,up,0,16.231,0.4707,1w
2022-11-02,chop,down,up,0,4.982,0.424,1w
2022-11-11,trending_bull,neutral,up,0,6.9832,0.5467,1w
2022-11-22,trending_bull,up,up,1,1.5014,0.6227,1w
2022-12-02,trending_bull,neutral,up,0,4.2887,0.492,1w
2022-12-13,trending_bull,up,up,1,2.4285,0.6933,1w
2022-12-22,trending_bull,up,up,1,14.416,0.744,1w
2023-01-04,trending_bull,up,up,1,18.5631,0.7333,1w
2023-01-13,trending_bull,up,up,1,20.6108,0.7693,1w
2023-01-25,crisis,up,up,1,3.0206,0.8587,1w
2023-02-03,high_volatility,up,up,1,7.5214,0.8,1w
2023-02-14,trending_bull,up,up,1,2.0928,0.7907,1w
2023-02-24,trending_bull,up,up,1,4.5822,0.736,1w
2023-03-07,trending_bull,up,up,1,4.5472,0.7947,1w
2023-03-16,trending_bull,up,neutral,0,-0.1407,0.788,1w
2023-03-27,trending_bull,up,down,0,-7.9426,0.7853,1w
2023-04-05,high_volatility,up,down,0,-5.0031,0.8333,1w
2023-04-17,high_volatility,up,neutral,0,-0.0277,0.784,1w
2023-04-26,crisis,down,up,0,15.238,0.448,1w
2023-05-05,high_volatility,up,up,1,7.3053,0.5693,1w
2023-05-16,trending_bull,neutral,up,0,9.641,0.5133,1w
