date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-9.9897,0.692,1w
2021-01-13,high_volatility,down,down,1,-4.8551,0.3893,1w
2021-01-25,trending_bear,down,down,1,-5.3493,0.236,1w
2021-02-03,high_volatility,down,down,1,-9.9119,0.256,1w
2021-02-12,trending_bear,down,down,1,-15.9379,0.2187,1w
2021-02-24,trending_bear,down,down,1,-2.5773,0.1427,1w
2021-03-05,high_volatility,down,up,0,1.7838,0.1427,1w
2021-03-16,crisis,down,up,0,4.7236,0.0853,1w
2021-03-25,crisis,down,down,1,-2.2789,0.1867,1w
2021-04-06,trending_bear,down,down,1,-8.5455,0.2107,1w
2021-04-15,chop,down,down,1,-15.3659,0.2173,1w
2021-04-26,chop,down,down,1,-15.093,0.312,1w
2021-05-05,high_volatility,down,down,1,-2.1022,0.2573,1w
2021-05-14,crisis,down,down,1,-2.032,0.2133,1w
2021-05-25,high_volatility,down,up,0,0.9112,0.24,1w
2021-06-04,high_volatility,down,down,1,-13.7495,0.4067,1w
2021-06-15,chop,down,down,1,-6.7738,0.388,1w
2021-06-24,chop,down,down,1,-3.2149,0.2693,1w
2021-07-06,chop,down,up,0,9.6421,0.2347,1w
2021-07-15,chop,down,up,0,10.8596,0.2747,1w
2021-07-26,chop,down,up,0,5.2091,0.3147,1w
2021-08-04,chop,down,down,1,-6.9794,0.3747,1w
2021-08-13,chop,neutral,down,0,-8.8517,0.5013,1w
2021-08-24,chop,neutral,down,0,-11.2889,0.5053,1w
2021-09-02,chop,down,down,1,-19.2359,0.3187,1w
2021-09-14,chop,down,down,1,-17.2804,0.412,1w
2021-09-23,chop,down,down,1,-8.7817,0.3027,1w
2021-10-04,chop,down,up,0,5.7875,0.2747,1w
2021-10-13,trending_bear,down,up,0,11.0875,0.3,1w
2021-10-22,trending_bear,down,up,0,17.9752,0.296,1w
2021-11-02,chop,down,up,0,23.0454,0.2747,1w
2021-11-11,chop,down,up,0,5.961,0.3267,1w
2021-11-22,trending_bull,down,up,0,9.5927,0.408,1w
2021-12-02,trending_bull,neutral,up,0,5.8378,0.52,1w
2021-12-13,trending_bull,neutral,up,0,13.3274,0.52,1w
2021-12-22,trending_bull,up,up,1,8.6711,0.6227,1w
2022-01-03,trending_bull,up,up,1,6.4764,0.7533,1w
2022-01-12,trending_bull,up,down,0,-2.8716,0.7987,1w
2022-01-24,trending_bull,up,down,0,-5.4093,0.8147,1w
2022-02-02,trending_bull,up,down,0,-5.5617,0.824,1w
2022-02-11,chop,up,down,0,-6.0959,0.6933,1w
2022-02-23,chop,up,up,1,2.5535,0.6347,1w
2022-03-04,chop,up,up,1,3.4284,0.5733,1w
2022-03-15,chop,neutral,up,0,4.3929,0.5413,1w
2022-03-24,chop,neutral,up,0,5.8145,0.5293,1w
2022-04-04,chop,neutral,up,0,2.2911,0.5013,1w
2022-04-13,chop,down,down,1,-5.04,0.412,1w
2022-04-25,chop,down,down,1,-12.5565,0.424,1w
2022-05-04,chop,down,down,1,-16.6235,0.4013,1w
2022-05-13,chop,down,down,1,-2.7889,0.368,1w
2022-05-24,trending_bear,down,up,0,4.3057,0.3067,1w
2022-06-03,trending_bear,down,down,1,-1.0265,0.26,1w
2022-06-14,trending_bear,down,down,1,-3.2915,0.368,1w
2022-06-24,chop,down,down,1,-3.7937,0.376,1w
2022-07-06,chop,down,up,0,4.1643,0.2387,1w
2022-07-15,chop,down,down,1,-2.8892,0.2253,1w
2022-07-26,chop,down,down,1,-9.3248,0.2627,1w
2022-08-04,chop,down,down,1,-8.8917,0.2253,1w
2022-08-15,chop,down,down,1,-8.4615,0.304,1w
2022-08-24,chop,down,down,1,-8.0292,0.2907,1w
2022-09-02,chop,down,down,1,-4.2823,0.3507,1w
2022-09-14,chop,down,up,0,3.7918,0.1733,1w
2022-09-23,trending_bear,down,up,0,16.6463,0.0707,1w
2022-10-04,trending_bear,down,up,0,9.6983,0.292,1w
2022-10-13,trending_bull,down,up,0,2.1168,0.2747,1w
2022-10-24,trending_bull,down,up,0,4.2302,0.4093,1w
2022-11-02,trending_bull,down,up,0,7.9186,0.376,1w
2022-11-11,trending_bull,down,up,0,14.9673,0.424,1w
