date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-3.8778,0.58,1w
2021-01-13,trending_bull,neutral,down,0,-3.4157,0.524,1w
2021-01-25,trending_bull,down,down,1,-3.0591,0.424,1w
2021-02-03,crisis,up,up,1,21.6999,0.564,1w
2021-02-12,high_volatility,up,up,1,10.9835,0.584,1w
2021-02-24,crisis,up,up,1,16.2198,0.5907,1w
2021-03-05,crisis,up,down,0,-2.9409,0.784,1w
2021-03-16,crisis,up,up,1,3.4523,0.6733,1w
2021-03-25,high_volatility,up,down,0,-1.5773,0.668,1w
2021-04-06,high_volatility,up,neutral,0,-0.2299,0.668,1w
2021-04-15,chop,up,down,0,-2.9579,0.6627,1w
2021-04-26,chop,up,up,1,2.8715,0.5907,1w
2021-05-05,chop,up,neutral,0,0.4366,0.7213,1w
2021-05-14,chop,up,up,1,2.1115,0.6227,1w
2021-05-25,chop,up,down,0,-2.7946,0.6893,1w
2021-06-04,chop,down,down,1,-2.9287,0.4467,1w
2021-06-15,chop,neutral,up,0,0.9968,0.516,1w
2021-06-24,chop,neutral,down,0,-2.2385,0.4707,1w
2021-07-06,high_volatility,neutral,neutral,0,-0.0249,0.5107,1w
2021-07-15,chop,down,up,0,3.9853,0.4467,1w
2021-07-26,chop,neutral,up,0,8.5978,0.5013,1w
2021-08-04,high_volatility,neutral,up,0,0.8297,0.536,1w
2021-08-13,chop,up,down,0,-3.3466,0.5613,1w
2021-08-24,chop,neutral,up,0,1.9049,0.5053,1w
2021-09-02,chop,neutral,up,0,1.8367,0.4707,1w
2021-09-14,chop,neutral,up,0,1.5468,0.5213,1w
2021-09-23,chop,up,up,1,9.1559,0.588,1w
2021-10-04,chop,neutral,up,0,9.3008,0.4813,1w
2021-10-13,chop,up,up,1,6.0127,0.5853,1w
2021-10-22,crisis,up,neutral,0,0.3631,0.6973,1w
2021-11-02,crisis,up,neutral,0,0.3323,0.6333,1w
2021-11-11,high_volatility,up,up,1,8.9828,0.5933,1w
2021-11-22,high_volatility,up,up,1,3.0364,0.576,1w
2021-12-02,chop,up,down,0,-0.9659,0.6053,1w
2021-12-13,chop,up,down,0,-7.1558,0.5933,1w
2021-12-22,chop,up,down,0,-13.5612,0.6173,1w
2022-01-03,chop,up,down,0,-16.258,0.5987,1w
2022-01-12,chop,down,up,0,0.6176,0.4253,1w
2022-01-24,trending_bear,down,up,0,2.7995,0.2747,1w
2022-02-02,trending_bear,down,up,0,7.102,0.224,1w
2022-02-11,trending_bear,down,down,1,-3.6306,0.3733,1w
2022-02-23,trending_bear,down,down,1,-3.3255,0.296,1w
2022-03-04,chop,down,down,1,-0.8683,0.22,1w
2022-03-15,chop,down,up,0,4.9806,0.1973,1w
2022-03-24,trending_bear,down,up,0,1.5756,0.2093,1w
2022-04-04,chop,down,down,1,-6.0903,0.2547,1w
2022-04-13,chop,neutral,down,0,-7.4601,0.5173,1w
2022-04-25,chop,neutral,down,0,-1.7034,0.4693,1w
2022-05-04,chop,neutral,neutral,0,0.15,0.4667,1w
2022-05-13,trending_bear,down,up,0,3.262,0.296,1w
2022-05-24,trending_bear,down,up,0,3.7948,0.2853,1w
2022-06-03,trending_bear,down,up,0,1.7585,0.312,1w
2022-06-14,chop,down,neutral,0,0.3025,0.4453,1w
2022-06-24,chop,down,up,0,1.9445,0.396,1w
2022-07-06,chop,down,down,1,-3.0744,0.376,1w
2022-07-15,chop,down,down,1,-4.4072,0.3507,1w
2022-07-26,chop,neutral,down,0,-2.9485,0.504,1w
2022-08-04,chop,down,down,1,-0.8489,0.4093,1w
2022-08-15,trending_bear,down,up,0,1.6169,0.3813,1w
2022-08-24,trending_bear,down,down,1,-0.9289,0.4467,1w
2022-09-02,chop,down,neutral,0,-0.3187,0.3507,1w
2022-09-14,trending_bear,down,up,0,13.0707,0.344,1w
2022-09-23,chop,down,up,0,12.1572,0.3307,1w
2022-10-04,chop,down,up,0,13.2597,0.296,1w
2022-10-13,chop,up,down,0,-5.0484,0.6253,1w
2022-10-24,trending_bull,up,down,0,-2.4438,0.5867,1w
2022-11-02,chop,up,up,1,2.4784,0.6053,1w
2022-11-11,chop,up,up,1,4.3081,0.6027,1w
2022-11-22,chop,up,down,0,-1.7793,0.6107,1w
2022-12-02,chop,up,down,0,-1.0239,0.6693,1w
2022-12-13,chop,up,up,1,3.0712,0.656,1w
2022-12-22,chop,up,down,0,-6.4478,0.5987,1w
2023-01-04,chop,up,down,0,-5.8758,0.6613,1w
2023-01-13,chop,down,down,1,-5.8053,0.3867,1w
2023-01-25,chop,down,up,0,5.3126,0.2347,1w
2023-02-03,chop,down,up,0,3.301,0.3213,1w
2023-02-14,chop,down,up,0,3.0327,0.368,1w
2023-02-24,chop,down,up,0,2.5199,0.404,1w
2023-03-07,chop,down,neutral,0,-0.4163,0.388,1w
2023-03-16,chop,down,down,1,-2.6039,0.4467,1w
2023-03-27,chop,neutral,up,0,2.2415,0.4907,1w
2023-04-05,chop,down,up,0,2.7391,0.3787,1w
2023-04-17,chop,down,up,0,3.8934,0.3347,1w
2023-04-26,chop,up,down,0,-2.4882,0.764,1w
2023-05-05,chop,up,down,0,-6.2102,0.5867,1w
2023-05-16,chop,up,down,0,-9.5013,0.584,1w
2023-05-25,chop,neutral,down,0,-5.2711,0.5053,1w
2023-06-06,chop,down,down,1,-3.2668,0.3733,1w
2023-06-15,trending_bear,down,up,0,2.4175,0.2307,1w
2023-06-27,trending_bear,down,up,0,10.4366,0.216,1w
2023-07-07,chop,down,up,0,14.8208,0.2947,1w
2023-07-18,chop,down,up,0,14.5788,0.3813,1w
2023-07-27,trending_bull,neutral,up,0,7.2723,0.4653,1w
2023-08-07,high_volatility,neutral,up,0,6.4713,0.524,1w
2023-08-16,trending_bull,up,up,1,3.2903,0.6173,1w
2023-08-25,trending_bull,up,up,1,3.4653,0.7253,1w
2023-09-06,trending_bull,up,up,1,4.2214,0.7947,1w
2023-09-15,trending_bull,up,up,1,1.1867,0.872,1w
2023-09-26,trending_bull,up,neutral,0,-0.1202,0.8867,1w
2023-10-05,trending_bull,up,down,0,-4.9684,0.9333,1w
2023-10-16,trending_bull,up,down,0,-2.0718,0.8507,1w
2023-10-25,trending_bull,up,down,0,-4.3285,0.736,1w
2023-11-03,chop,up,down,0,-4.723,0.5787,1w
2023-11-14,chop,neutral,down,0,-3.6599,0.5413,1w
2023-11-24,high_volatility,down,down,1,-2.512,0.376,1w
2023-12-05,trending_bear,down,down,1,-5.0941,0.3067,1w
2023-12-14,trending_bear,down,neutral,0,-0.2922,0.2573,1w
2023-12-26,trending_bear,down,up,0,3.0515,0.2173,1w
2024-01-05,trending_bear,down,up,0,3.13,0.1387,1w
2024-01-17,chop,down,down,1,-8.5037,0.2387,1w
2024-01-26,high_volatility,down,down,1,-4.4794,0.3347,1w
2024-02-06,crisis,down,up,0,6.2082,0.2747,1w
2024-02-15,crisis,down,up,0,13.9053,0.2253,1w
2024-02-27,crisis,down,up,0,11.4232,0.3653,1w
2024-03-07,crisis,neutral,neutral,0,-0.4331,0.528,1w
2024-03-18,high_volatility,neutral,up,0,10.4573,0.5013,1w
2024-03-27,trending_bull,up,down,0,-5.8417,0.6027,1w
2024-04-08,crisis,up,down,0,-5.4519,0.5987,1w
2024-04-17,crisis,up,down,0,-11.332,0.636,1w
2024-04-26,high_volatility,neutral,down,0,-1.4615,0.4733,1w
2024-05-07,trending_bear,neutral,up,0,2.2984,0.5133,1w
2024-05-16,trending_bear,up,up,1,4.2842,0.5787,1w
2024-05-28,chop,neutral,up,0,3.6314,0.52,1w
2024-06-06,chop,neutral,up,0,5.1289,0.4667,1w
2024-06-17,chop,neutral,up,0,3.5342,0.4907,1w
2024-06-27,chop,down,up,0,13.7588,0.4453,1w
2024-07-09,chop,neutral,up,0,12.9246,0.4773,1w
2024-07-18,chop,down,up,0,3.9802,0.4253,1w
2024-07-29,trending_bull,up,up,1,1.958,0.7307,1w
2024-08-07,trending_bull,up,down,0,-1.0967,0.7573,1w
2024-08-16,trending_bull,up,down,0,-2.7905,0.7947,1w
2024-08-27,trending_bull,up,up,1,1.0651,0.7787,1w
2024-09-06,trending_bull,up,up,1,10.016,0.7307,1w
2024-09-17,trending_bull,up,up,1,3.7467,0.732,1w
2024-09-26,chop,up,down,0,-2.342,0.7693,1w
2024-10-07,trending_bull,up,down,0,-9.929,0.8427,1w
2024-10-16,trending_bull,up,down,0,-6.4734,0.6053,1w
2024-10-25,trending_bull,neutral,down,0,-3.0565,0.5467,1w
2024-11-05,trending_bear,down,down,1,-2.2522,0.412,1w
2024-11-14,trending_bear,down,neutral,0,-0.05,0.3227,1w
2024-11-25,trending_bear,down,up,0,1.3756,0.3507,1w
