date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,down,0,-6.9191,0.5267,1w
2021-01-13,high_volatility,down,up,0,6.4651,0.3653,1w
2021-01-25,crisis,down,up,0,4.6231,0.1973,1w
2021-02-03,crisis,down,down,1,-3.2419,0.3387,1w
2021-02-12,high_volatility,down,down,1,-15.1819,0.3787,1w
2021-02-24,chop,down,up,0,8.2447,0.3267,1w
2021-03-05,chop,down,neutral,0,0.2961,0.3867,1w
2021-03-16,high_volatility,down,down,1,-0.7798,0.26,1w
2021-03-25,high_volatility,down,down,1,-18.8766,0.376,1w
2021-04-06,chop,down,down,1,-16.172,0.3733,1w
2021-04-15,chop,down,down,1,-17.703,0.3813,1w
2021-04-26,chop,down,down,1,-8.925,0.3867,1w
2021-05-05,chop,down,up,0,1.0692,0.32,1w
2021-05-14,chop,down,down,1,-2.7129,0.248,1w
2021-05-25,chop,down,up,0,15.6988,0.32,1w
2021-06-04,chop,down,up,0,0.7005,0.4093,1w
2021-06-15,chop,down,down,1,-5.3468,0.3507,1w
2021-06-24,chop,down,down,1,-12.714,0.3387,1w
2021-07-06,chop,down,down,1,-4.4313,0.3653,1w
2021-07-15,chop,down,up,0,16.2734,0.312,1w
2021-07-26,chop,down,up,0,8.791,0.4173,1w
2021-08-04,chop,down,down,1,-12.6653,0.4253,1w
2021-08-13,chop,up,down,0,-10.2545,0.568,1w
2021-08-24,chop,neutral,down,0,-15.4201,0.548,1w
2021-09-02,chop,down,down,1,-9.8502,0.3653,1w
2021-09-14,chop,neutral,down,0,-19.3141,0.4907,1w
2021-09-23,chop,down,down,1,-4.3417,0.2347,1w
2021-10-04,chop,down,up,0,1.7033,0.2693,1w
2021-10-13,chop,down,up,0,11.6496,0.2973,1w
2021-10-22,chop,down,up,0,5.6798,0.3027,1w
2021-11-02,chop,down,up,0,8.3834,0.3173,1w
2021-11-11,chop,down,down,1,-2.0175,0.2947,1w
2021-11-22,chop,down,down,1,-2.091,0.3427,1w
2021-12-02,chop,neutral,down,0,-6.6292,0.4587,1w
2021-12-13,chop,down,down,1,-0.6992,0.372,1w
2021-12-22,chop,neutral,up,0,16.7053,0.5053,1w
2022-01-03,chop,down,up,0,24.7353,0.412,1w
2022-01-12,chop,up,up,1,11.1234,0.584,1w
2022-01-24,chop,up,down,0,-1.5732,0.6267,1w
2022-02-02,trending_bull,up,down,0,-5.5483,0.676,1w
2022-02-11,trending_bull,up,down,0,-8.473,0.5933,1w
2022-02-23,chop,up,up,1,1.7176,0.584,1w
2022-03-04,chop,up,up,1,7.0232,0.5653,1w
2022-03-15,chop,neutral,up,0,4.6656,0.4907,1w
2022-03-24,chop,up,up,1,2.5434,0.6173,1w
2022-04-04,chop,up,down,0,-7.8788,0.6853,1w
2022-04-13,chop,up,down,0,-1.5748,0.6053,1w
2022-04-25,chop,down,up,0,10.6865,0.4467,1w
2022-05-04,chop,down,up,0,28.0382,0.3467,1w
2022-05-13,chop,neutral,up,0,21.1579,0.4707,1w
2022-05-24,trending_bull,up,up,1,1.164,0.6827,1w
2022-06-03,trending_bull,up,neutral,0,0.0054,0.7333,1w
2022-06-14,trending_bull,up,up,1,3.1356,0.764,1w
2022-06-24,trending_bull,up,up,1,6.9098,0.736,1w
2022-07-06,chop,up,neutral,0,-0.2441,0.7,1w
2022-07-15,trending_bull,up,down,0,-6.2851,0.764,1w
2022-07-26,trending_bull,up,down,0,-1.8486,0.7907,1w
2022-08-04,chop,up,up,1,7.6177,0.7693,1w
2022-08-15,chop,up,up,1,7.3904,0.724,1w
2022-08-24,chop,neutral,down,0,-0.7398,0.5173,1w
2022-09-02,chop,up,down,0,-8.3324,0.5827,1w
2022-09-14,chop,neutral,down,0,-5.1624,0.5053,1w
2022-09-23,chop,neutral,up,0,1.792,0.524,1w
2022-10-04,trending_bear,down,up,0,9.551,0.4467,1w
2022-10-13,trending_bear,down,up,0,15.7316,0.3147,1w
2022-10-24,chop,down,up,0,26.3104,0.4427,1w
2022-11-02,chop,up,up,1,13.3265,0.5867,1w
