date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-6.1399,0.8093,1w
2021-01-13,chop,up,down,0,-5.0798,0.6613,1w
2021-01-25,chop,down,down,1,-6.0842,0.3787,1w
2021-02-03,high_volatility,down,down,1,-2.453,0.3733,1w
2021-02-12,high_volatility,down,neutral,0,-0.4192,0.428,1w
2021-02-24,crisis,down,up,0,9.292,0.3387,1w
2021-03-05,crisis,down,down,1,-6.5819,0.4173,1w
2021-03-16,crisis,down,down,1,-3.4843,0.368,1w
2021-03-25,chop,down,down,1,-7.4978,0.42,1w
2021-04-06,chop,down,down,1,-4.054,0.3387,1w
2021-04-15,chop,down,down,1,-5.255,0.3173,1w
2021-04-26,chop,down,down,1,-9.9539,0.376,1w
2021-05-05,chop,down,down,1,-6.3091,0.3507,1w
2021-05-14,chop,down,down,1,-10.5287,0.3653,1w
2021-05-25,chop,down,down,1,-4.5715,0.3653,1w
2021-06-04,chop,down,down,1,-8.3708,0.2747,1w
2021-06-15,chop,down,neutral,0,-0.4982,0.2253,1w
2021-06-24,trending_bear,down,up,0,7.1475,0.176,1w
2021-07-06,chop,down,up,0,10.8798,0.2213,1w
2021-07-15,chop,down,up,0,15.4681,0.2253,1w
2021-07-26,chop,down,up,0,6.1211,0.388,1w
2021-08-04,chop,down,down,1,-3.4282,0.376,1w
2021-08-13,trending_bull,up,down,0,-5.3528,0.5573,1w
2021-08-24,trending_bull,up,down,0,-13.5132,0.6693,1w
2021-09-02,chop,down,down,1,-9.3873,0.4333,1w
2021-09-14,chop,up,down,0,-11.225,0.6387,1w
2021-09-23,trending_bear,down,down,1,-4.4153,0.412,1w
2021-10-04,trending_bear,down,up,0,3.056,0.3893,1w
2021-10-13,trending_bear,down,up,0,13.3176,0.3347,1w
2021-10-22,trending_bear,down,up,0,17.5439,0.2253,1w
2021-11-02,trending_bull,down,up,0,14.3647,0.336,1w
2021-11-11,chop,down,up,0,0.8529,0.388,1w
2021-11-22,trending_bull,down,down,1,-1.7523,0.4093,1w
2021-12-02,chop,up,down,0,-2.5072,0.58,1w
2021-12-13,chop,up,down,0,-1.4578,0.5667,1w
2021-12-22,chop,up,up,1,4.2494,0.656,1w
2022-01-03,chop,up,up,1,2.1245,0.628,1w
2022-01-12,chop,up,down,0,-5.5314,0.7227,1w
2022-01-24,chop,up,down,0,-7.3625,0.764,1w
2022-02-02,chop,up,down,0,-11.7801,0.6747,1w
2022-02-11,chop,down,down,1,-12.7933,0.3853,1w
2022-02-23,chop,down,down,1,-10.9045,0.2747,1w
2022-03-04,chop,down,down,1,-4.7216,0.252,1w
2022-03-15,trending_bear,down,neutral,0,0.0723,0.1413,1w
2022-03-24,trending_bear,down,up,0,2.0648,0.156,1w
2022-04-04,trending_bear,down,up,0,1.1108,0.164,1w
2022-04-13,chop,down,up,0,2.2105,0.1533,1w
2022-04-25,chop,down,up,0,5.6574,0.184,1w
2022-05-04,chop,down,up,0,2.6974,0.1373,1w
2022-05-13,chop,down,up,0,4.2078,0.2693,1w
2022-05-24,chop,down,up,0,5.0327,0.332,1w
2022-06-03,chop,neutral,up,0,7.0735,0.4587,1w
2022-06-14,chop,up,up,1,4.4245,0.6133,1w
2022-06-24,chop,up,up,1,6.4424,0.6693,1w
2022-07-06,chop,up,neutral,0,-0.333,0.728,1w
2022-07-15,trending_bull,up,down,0,-10.6567,0.724,1w
2022-07-26,trending_bull,up,down,0,-10.8566,0.8427,1w
2022-08-04,chop,up,down,0,-10.3397,0.668,1w
2022-08-15,trending_bear,down,down,1,-0.5009,0.412,1w
2022-08-24,trending_bear,down,down,1,-3.6886,0.424,1w
2022-09-02,trending_bear,down,down,1,-2.7517,0.3293,1w
2022-09-14,trending_bear,down,down,1,-1.5145,0.2747,1w
2022-09-23,trending_bear,down,down,1,-1.0238,0.2413,1w
2022-10-04,trending_bear,down,up,0,1.3328,0.152,1w
2022-10-13,trending_bear,down,down,1,-3.4001,0.1653,1w
2022-10-24,chop,down,up,0,15.9585,0.152,1w
2022-11-02,trending_bear,down,up,0,17.2029,0.2133,1w
2022-11-11,chop,down,up,0,11.5079,0.3893,1w
2022-11-22,trending_bull,neutral,up,0,8.4592,0.5013,1w
2022-12-02,trending_bull,up,up,1,3.1754,0.724,1w
2022-12-13,trending_bull,up,down,0,-2.002,0.6667,1w
2022-12-22,trending_bull,up,up,1,0.6389,0.7507,1w
2023-01-04,trending_bull,up,up,1,9.1233,0.784,1w
2023-01-13,trending_bull,up,up,1,12.1942,0.6613,1w
2023-01-25,trending_bull,up,up,1,9.2885,0.9107,1w
2023-02-03,high_volatility,up,up,1,1.0045,0.8213,1w
2023-02-14,trending_bull,up,up,1,0.5858,0.78,1w
2023-02-24,trending_bull,up,down,0,-2.0833,0.728,1w
2023-03-07,trending_bull,up,down,0,-2.0873,0.6893,1w
2023-03-16,trending_bull,up,down,0,-5.1948,0.628,1w
2023-03-27,trending_bear,up,down,0,-4.3262,0.556,1w
2023-04-05,chop,up,down,0,-7.3654,0.6173,1w
2023-04-17,chop,up,down,0,-2.7649,0.5907,1w
2023-04-26,high_volatility,neutral,down,0,-4.8946,0.52,1w
2023-05-05,crisis,down,down,1,-3.8826,0.2773,1w
2023-05-16,trending_bear,down,down,1,-5.4397,0.2747,1w
2023-05-25,trending_bear,down,down,1,-4.6317,0.26,1w
2023-06-06,trending_bear,down,down,1,-4.6506,0.224,1w
2023-06-15,trending_bear,down,up,0,6.134,0.1867,1w
2023-06-27,chop,down,up,0,17.7799,0.168,1w
2023-07-07,trending_bear,down,up,0,14.7102,0.1867,1w
2023-07-18,trending_bull,down,up,0,5.2514,0.424,1w
2023-07-27,crisis,neutral,down,0,-1.5851,0.5173,1w
2023-08-07,crisis,neutral,up,0,5.3255,0.5467,1w
2023-08-16,high_volatility,neutral,up,0,2.7575,0.5293,1w
2023-08-25,chop,up,down,0,-2.246,0.6027,1w
2023-09-06,trending_bull,up,down,0,-0.836,0.656,1w
2023-09-15,chop,up,up,1,3.2854,0.6333,1w
2023-09-26,chop,up,up,1,3.7161,0.6933,1w
2023-10-05,chop,up,up,1,2.1217,0.6933,1w
2023-10-16,chop,up,up,1,5.8945,0.6227,1w
2023-10-25,high_volatility,neutral,up,0,7.6935,0.5147,1w
2023-11-03,chop,neutral,up,0,6.156,0.536,1w
2023-11-14,high_volatility,up,down,0,-7.0026,0.64,1w
2023-11-24,chop,up,down,0,-13.7752,0.588,1w
2023-12-05,chop,up,down,0,-10.2424,0.5813,1w
2023-12-14,chop,neutral,up,0,1.7667,0.4707,1w
2023-12-26,trending_bear,down,up,0,6.3834,0.424,1w
2024-01-05,trending_bear,down,up,0,5.7705,0.4213,1w
2024-01-17,trending_bear,down,up,0,5.8999,0.412,1w
2024-01-26,trending_bull,neutral,down,0,-5.162,0.48,1w
2024-02-06,trending_bull,neutral,down,0,-4.0145,0.4587,1w
2024-02-15,trending_bull,down,down,1,-5.778,0.4093,1w
2024-02-27,chop,down,down,1,-6.1851,0.216,1w
2024-03-07,chop,down,down,1,-11.4345,0.2733,1w
2024-03-18,chop,down,down,1,-5.8662,0.3893,1w
2024-03-27,chop,down,down,1,-5.6956,0.4013,1w
2024-04-08,crisis,down,up,0,1.5415,0.2547,1w
2024-04-17,high_volatility,down,up,0,12.0229,0.32,1w
2024-04-26,chop,down,up,0,10.6041,0.2747,1w
2024-05-07,chop,down,up,0,12.1119,0.324,1w
2024-05-16,chop,down,up,0,3.6259,0.444,1w
2024-05-28,trending_bull,neutral,up,0,3.5813,0.4787,1w
2024-06-06,trending_bull,up,up,1,4.0408,0.58,1w
2024-06-17,trending_bull,up,up,1,9.5584,0.5853,1w
2024-06-27,trending_bull,up,up,1,6.3343,0.5853,1w
2024-07-09,trending_bull,up,up,1,5.562,0.7693,1w
2024-07-18,trending_bull,up,up,1,2.3776,0.872,1w
2024-07-29,trending_bull,up,neutral,0,0.4157,0.8467,1w
2024-08-07,trending_bull,up,down,0,-1.7498,0.86,1w
2024-08-16,trending_bull,up,down,0,-0.9843,0.7987,1w
2024-08-27,trending_bull,up,up,1,7.0148,0.7307,1w
2024-09-06,chop,up,up,1,8.9073,0.656,1w
2024-09-17,chop,up,up,1,2.1395,0.7253,1w
2024-09-26,trending_bull,up,down,0,-6.6609,0.764,1w
2024-10-07,trending_bull,up,down,0,-4.3372,0.724,1w
2024-10-16,chop,up,down,0,-2.8806,0.5573,1w
2024-10-25,chop,neutral,up,0,4.2552,0.4853,1w
2024-11-05,chop,neutral,up,0,3.0783,0.4853,1w
2024-11-14,chop,down,up,0,4.8764,0.4067,1w
2024-11-25,chop,up,neutral,0,-0.0137,0.5773,1w
