date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-4.9363,0.6507,1w
2021-01-13,high_volatility,up,up,1,5.9885,0.58,1w
2021-01-25,high_volatility,down,up,0,24.5514,0.3867,1w
2021-02-03,high_volatility,neutral,up,0,22.8166,0.48,1w
2021-02-12,high_volatility,neutral,up,0,11.5193,0.5453,1w
2021-02-24,chop,neutral,up,0,24.716,0.4693,1w
2021-03-05,crisis,up,up,1,7.9567,0.696,1w
2021-03-16,crisis,up,up,1,16.4139,0.5907,1w
2021-03-25,crisis,up,up,1,5.2546,0.724,1w
2021-04-06,crisis,up,up,1,1.7656,0.7267,1w
2021-04-15,crisis,up,down,0,-23.6415,0.764,1w
2021-04-26,crisis,up,down,0,-20.3393,0.9133,1w
2021-05-05,crisis,up,down,0,-14.8191,0.7653,1w
2021-05-14,high_volatility,neutral,down,0,-9.3061,0.524,1w
2021-05-25,high_volatility,neutral,down,0,-14.6353,0.544,1w
2021-06-04,chop,down,down,1,-18.3539,0.4213,1w
2021-06-15,chop,down,down,1,-4.2612,0.2973,1w
2021-06-24,chop,down,up,0,10.5787,0.1733,1w
2021-07-06,trending_bear,down,up,0,24.0676,0.184,1w
2021-07-15,chop,down,up,0,29.5232,0.1533,1w
2021-07-26,chop,down,up,0,11.4751,0.256,1w
2021-08-04,trending_bull,down,down,1,-2.8678,0.336,1w
2021-08-13,trending_bull,up,down,0,-4.0671,0.612,1w
2021-08-24,trending_bull,up,down,0,-21.1974,0.5827,1w
2021-09-02,trending_bull,neutral,down,0,-12.1676,0.4907,1w
2021-09-14,chop,up,down,0,-0.6954,0.6693,1w
2021-09-23,trending_bear,neutral,up,0,28.6454,0.456,1w
2021-10-04,trending_bear,neutral,up,0,12.7315,0.5493,1w
2021-10-13,chop,up,up,1,12.121,0.5533,1w
2021-10-22,chop,up,up,1,10.6048,0.5733,1w
2021-11-02,chop,neutral,up,0,15.9493,0.4787,1w
2021-11-11,chop,neutral,up,0,6.7022,0.4587,1w
2021-11-22,trending_bull,neutral,down,0,-9.6615,0.5467,1w
2021-12-02,trending_bull,up,down,0,-14.6822,0.596,1w
2021-12-13,trending_bull,up,up,1,4.5862,0.6947,1w
2021-12-22,trending_bear,up,up,1,12.9338,0.7293,1w
2022-01-03,chop,up,up,1,28.9635,0.5827,1w
2022-01-12,chop,up,up,1,6.3785,0.7,1w
2022-01-24,trending_bull,up,up,1,4.2255,0.6187,1w
2022-02-02,trending_bull,up,down,0,-0.6171,0.7747,1w
2022-02-11,trending_bull,up,down,0,-15.4444,0.6773,1w
2022-02-23,trending_bull,up,down,0,-8.54,0.5587,1w
2022-03-04,trending_bull,up,down,0,-15.7053,0.6173,1w
2022-03-15,trending_bear,down,up,0,0.8727,0.436,1w
2022-03-24,trending_bear,up,down,0,-0.566,0.5733,1w
2022-04-04,chop,neutral,down,0,-2.5022,0.528,1w
2022-04-13,chop,down,down,1,-4.869,0.3787,1w
2022-04-25,chop,down,down,1,-7.7025,0.4067,1w
2022-05-04,chop,down,down,1,-0.9696,0.2173,1w
2022-05-13,chop,down,up,0,10.1331,0.2347,1w
2022-05-24,trending_bear,down,up,0,15.3538,0.2413,1w
2022-06-03,trending_bear,down,up,0,11.9284,0.256,1w
2022-06-14,trending_bull,neutral,up,0,11.1005,0.5173,1w
