date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-18.2032,0.768,1w
2021-01-13,high_volatility,up,down,0,-7.7681,0.696,1w
2021-01-25,chop,neutral,neutral,0,0.077,0.4987,1w
2021-02-03,high_volatility,down,down,1,-6.0374,0.4173,1w
2021-02-12,chop,down,down,1,-10.9206,0.3493,1w
2021-02-24,high_volatility,down,up,0,14.5235,0.256,1w
2021-03-05,chop,down,up,0,16.4632,0.26,1w
2021-03-16,trending_bear,down,down,1,-6.3945,0.2747,1w
2021-03-25,chop,down,down,1,-30.675,0.376,1w
2021-04-06,chop,down,down,1,-28.3553,0.388,1w
2021-04-15,chop,down,down,1,-27.1495,0.296,1w
2021-04-26,trending_bear,down,down,1,-15.094,0.3547,1w
2021-05-05,trending_bear,down,down,1,-3.6491,0.304,1w
2021-05-14,trending_bear,down,down,1,-11.6101,0.2347,1w
2021-05-25,trending_bear,down,neutral,0,0.4608,0.296,1w
2021-06-04,chop,down,down,1,-20.0472,0.376,1w
2021-06-15,chop,down,down,1,-2.93,0.2413,1w
2021-06-24,chop,down,down,1,-0.5956,0.1573,1w
2021-07-06,chop,down,up,0,24.8711,0.1493,1w
2021-07-15,chop,down,up,0,18.6969,0.2373,1w
2021-07-26,chop,down,up,0,3.9195,0.3733,1w
2021-08-04,chop,down,down,1,-27.4681,0.42,1w
2021-08-13,chop,neutral,down,0,-30.9852,0.5173,1w
2021-08-24,chop,neutral,down,0,-27.0426,0.524,1w
2021-09-02,chop,down,down,1,-8.2896,0.256,1w
2021-09-14,trending_bear,down,down,1,-12.401,0.3347,1w
2021-09-23,trending_bear,down,neutral,0,-0.3995,0.2347,1w
2021-10-04,trending_bear,down,up,0,2.8556,0.32,1w
2021-10-13,trending_bear,down,up,0,31.689,0.2347,1w
2021-10-22,trending_bear,down,up,0,21.5731,0.2613,1w
2021-11-02,chop,down,up,0,29.6572,0.224,1w
2021-11-11,chop,down,up,0,7.4263,0.344,1w
2021-11-22,chop,down,up,0,2.9132,0.388,1w
2021-12-02,trending_bull,up,down,0,-15.1754,0.6467,1w
2021-12-13,trending_bull,up,down,0,-8.6377,0.6987,1w
2021-12-22,chop,up,up,1,25.5949,0.6853,1w
2022-01-03,chop,neutral,up,0,47.1896,0.544,1w
2022-01-12,chop,up,up,1,28.9307,0.716,1w
2022-01-24,trending_bull,up,up,1,22.4655,0.764,1w
2022-02-02,trending_bull,up,up,1,11.6303,0.792,1w
2022-02-11,trending_bull,up,up,1,5.49,0.7,1w
2022-02-23,trending_bull,up,up,1,15.02,0.7413,1w
2022-03-04,trending_bull,up,up,1,17.8847,0.724,1w
2022-03-15,trending_bull,up,up,1,4.7649,0.696,1w
2022-03-24,trending_bull,up,down,0,-1.0931,0.8587,1w
2022-04-04,trending_bull,up,up,1,2.5334,0.9107,1w
2022-04-13,trending_bull,up,up,1,7.2254,0.82,1w
2022-04-25,trending_bull,up,up,1,13.2883,0.74,1w
2022-05-04,chop,up,up,1,36.5795,0.728,1w
2022-05-13,trending_bull,up,up,1,47.1997,0.7107,1w
2022-05-24,trending_bull,up,up,1,6.9937,0.7907,1w
2022-06-03,crisis,up,up,1,8.934,0.836,1w
2022-06-14,crisis,up,up,1,8.9278,0.8427,1w
2022-06-24,high_volatility,up,up,1,8.5395,0.7747,1w
2022-07-06,trending_bull,up,up,1,5.122,0.788,1w
2022-07-15,high_volatility,up,down,0,-7.483,0.8467,1w
2022-07-26,high_volatility,up,up,1,2.7516,0.8333,1w
2022-08-04,high_volatility,up,up,1,6.8939,0.784,1w
2022-08-15,crisis,up,up,1,4.8263,0.7573,1w
2022-08-24,crisis,up,down,0,-8.2414,0.6947,1w
2022-09-02,high_volatility,up,down,0,-6.4172,0.7187,1w
2022-09-14,chop,neutral,up,0,3.5558,0.5467,1w
2022-09-23,chop,neutral,up,0,4.1803,0.48,1w
2022-10-04,chop,neutral,down,0,-2.645,0.5107,1w
2022-10-13,chop,down,up,0,5.4778,0.412,1w
2022-10-24,chop,down,up,0,16.604,0.4093,1w
2022-11-02,chop,down,up,0,1.1221,0.416,1w
2022-11-11,chop,up,down,0,-3.1492,0.5987,1w
2022-11-22,chop,neutral,up,0,2.2151,0.5453,1w
2022-12-02,chop,down,up,0,3.0752,0.4133,1w
2022-12-13,chop,up,up,1,16.6122,0.588,1w
2022-12-22,chop,up,up,1,25.037,0.668,1w
2023-01-04,chop,up,up,1,41.2143,0.5707,1w
2023-01-13,trending_bull,up,up,1,31.8395,0.724,1w
2023-01-25,trending_bull,up,up,1,29.5932,0.924,1w
2023-02-03,high_volatility,up,up,1,30.0209,0.9387,1w
2023-02-14,crisis,up,up,1,20.8967,0.916,1w
2023-02-24,crisis,up,up,1,17.6165,0.9027,1w
2023-03-07,crisis,up,down,0,-5.0297,0.9467,1w
2023-03-16,crisis,up,down,0,-1.1757,0.9173,1w
2023-03-27,crisis,up,down,0,-8.441,0.9333,1w
2023-04-05,high_volatility,up,up,1,5.7464,0.912,1w
2023-04-17,high_volatility,up,up,1,12.6078,0.8227,1w
2023-04-26,crisis,up,up,1,21.3529,0.7133,1w
2023-05-05,crisis,up,up,1,35.2122,0.7067,1w
2023-05-16,high_volatility,up,up,1,39.7756,0.6787,1w
2023-05-25,high_volatility,up,up,1,10.9827,0.7293,1w
2023-06-06,crisis,up,up,1,5.9608,0.7067,1w
2023-06-15,crisis,up,down,0,-9.9175,0.792,1w
2023-06-27,crisis,up,down,0,-8.8152,0.7387,1w
2023-07-07,crisis,up,down,0,-20.65,0.7667,1w
2023-07-18,crisis,up,up,1,1.4617,0.732,1w
2023-07-27,crisis,up,up,1,13.3256,0.6933,1w
2023-08-07,crisis,up,up,1,8.3915,0.584,1w
2023-08-16,high_volatility,up,down,0,-6.253,0.6613,1w
2023-08-25,high_volatility,up,down,0,-3.7252,0.5573,1w
2023-09-06,high_volatility,down,up,0,21.4924,0.388,1w
2023-09-15,chop,down,up,0,13.8507,0.3933,1w
2023-09-26,chop,neutral,up,0,13.1974,0.4707,1w
2023-10-05,chop,down,up,0,6.5221,0.4333,1w
2023-10-16,chop,neutral,up,0,7.7733,0.5413,1w
2023-10-25,chop,up,neutral,0,0.2897,0.6413,1w
2023-11-03,chop,up,up,1,3.7381,0.7427,1w
2023-11-14,chop,up,down,0,-8.5178,0.6187,1w
2023-11-24,chop,up,up,1,3.0949,0.5787,1w
2023-12-05,chop,up,up,1,3.0125,0.8067,1w
2023-12-14,chop,up,up,1,1.1894,0.6467,1w
2023-12-26,chop,up,down,0,-7.8182,0.616,1w
2024-01-05,chop,up,down,0,-8.1775,0.6573,1w
2024-01-17,chop,down,up,0,1.2272,0.4467,1w
2024-01-26,crisis,down,down,1,-2.8698,0.396,1w
2024-02-06,high_volatility,down,down,1,-17.6063,0.4067,1w
2024-02-15,chop,down,down,1,-15.5851,0.4253,1w
2024-02-27,high_volatility,down,down,1,-12.1997,0.3787,1w
2024-03-07,high_volatility,down,down,1,-11.4483,0.2693,1w
2024-03-18,chop,down,down,1,-14.3761,0.392,1w
2024-03-27,chop,down,up,0,0.5905,0.312,1w
2024-04-08,high_volatility,down,up,0,2.659,0.2347,1w
2024-04-17,high_volatility,down,up,0,39.8927,0.2973,1w
2024-04-26,chop,down,up,0,27.791,0.388,1w
2024-05-07,chop,down,up,0,22.2718,0.4067,1w
2024-05-16,chop,neutral,up,0,8.2677,0.4587,1w
2024-05-28,trending_bull,up,up,1,16.9252,0.5573,1w
2024-06-06,trending_bull,up,up,1,13.9979,0.6733,1w
2024-06-17,trending_bull,up,up,1,19.138,0.6307,1w
2024-06-27,trending_bull,up,up,1,16.9406,0.752,1w
2024-07-09,trending_bull,up,up,1,10.781,0.8293,1w
2024-07-18,trending_bull,up,up,1,5.1548,0.9827,1w
2024-07-29,trending_bull,up,up,1,1.2931,0.9627,1w
2024-08-07,trending_bull,up,down,0,-6.2067,0.9507,1w
2024-08-16,trending_bull,up,neutral,0,0.4846,0.848,1w
2024-08-27,trending_bull,up,up,1,4.4094,0.9027,1w
2024-09-06,trending_bear,up,up,1,6.649,0.736,1w
2024-09-17,chop,up,up,1,3.7075,0.764,1w
2024-09-26,chop,up,up,1,7.7447,0.7293,1w
2024-10-07,chop,up,down,0,-2.3316,0.68,1w
2024-10-16,chop,up,up,1,2.1682,0.6027,1w
2024-10-25,chop,up,down,0,-12.9347,0.6373,1w
2024-11-05,chop,neutral,down,0,-1.3764,0.5107,1w
2024-11-14,high_volatility,neutral,down,0,-5.7402,0.5467,1w
2024-11-25,crisis,neutral,up,0,6.3449,0.5107,1w
