date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-3.8547,0.564,1w
2021-01-13,chop,up,up,1,3.97,0.7133,1w
2021-01-25,chop,up,up,1,9.1161,0.5907,1w
2021-02-03,high_volatility,up,up,1,7.3026,0.5733,1w
2021-02-12,crisis,up,down,0,-5.3465,0.5907,1w
2021-02-24,crisis,up,up,1,5.3144,0.604,1w
2021-03-05,high_volatility,up,up,1,3.6191,0.7067,1w
2021-03-16,crisis,up,neutral,0,0.0661,0.584,1w
2021-03-25,high_volatility,up,down,0,-13.7662,0.6027,1w
2021-04-06,crisis,up,down,0,-14.5947,0.5533,1w
2021-04-15,chop,neutral,down,0,-10.0973,0.4693,1w
2021-04-26,chop,neutral,down,0,-1.0507,0.4653,1w
2021-05-05,trending_bear,down,up,0,5.5783,0.3733,1w
2021-05-14,crisis,down,down,1,-7.8563,0.3173,1w
2021-05-25,high_volatility,down,down,1,-10.6826,0.3307,1w
2021-06-04,high_volatility,down,down,1,-9.472,0.3947,1w
2021-06-15,chop,down,neutral,0,0.4314,0.26,1w
2021-06-24,trending_bear,down,up,0,1.9015,0.144,1w
2021-07-06,chop,down,up,0,3.4771,0.22,1w
2021-07-15,chop,down,up,0,7.0121,0.2027,1w
2021-07-26,chop,down,down,1,-5.6497,0.3507,1w
2021-08-04,chop,down,down,1,-10.9425,0.3973,1w
2021-08-13,chop,neutral,down,0,-11.7604,0.4573,1w
2021-08-24,chop,down,down,1,-8.7051,0.2947,1w
2021-09-02,chop,down,down,1,-6.5418,0.24,1w
2021-09-14,chop,down,down,1,-10.3458,0.4427,1w
2021-09-23,trending_bear,down,down,1,-2.6824,0.2933,1w
2021-10-04,trending_bear,down,neutral,0,-0.2918,0.2853,1w
2021-10-13,trending_bear,down,up,0,7.0389,0.2253,1w
2021-10-22,chop,down,up,0,7.2,0.2693,1w
2021-11-02,chop,down,up,0,5.1688,0.2253,1w
