date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-2.2398,0.3733,1w
2021-01-13,chop,down,up,0,2.5652,0.3733,1w
2021-01-25,chop,down,down,1,-0.5455,0.2747,1w
2021-02-03,chop,down,down,1,-2.6822,0.3733,1w
2021-02-12,chop,down,down,1,-6.7991,0.424,1w
2021-02-24,chop,down,up,0,3.0619,0.416,1w
2021-03-05,high_volatility,neutral,up,0,3.8378,0.4693,1w
2021-03-16,chop,down,down,1,-0.6635,0.4413,1w
2021-03-25,chop,neutral,down,0,-7.4945,0.4827,1w
2021-04-06,chop,down,down,1,-8.5934,0.4147,1w
2021-04-15,chop,down,down,1,-19.6487,0.3707,1w
2021-04-26,chop,down,down,1,-16.5709,0.396,1w
2021-05-05,chop,down,down,1,-15.06,0.3387,1w
2021-05-14,crisis,down,down,1,-12.1637,0.2267,1w
2021-05-25,high_volatility,down,down,1,-7.9154,0.2773,1w
2021-06-04,trending_bear,down,down,1,-9.1279,0.296,1w
2021-06-15,trending_bear,down,down,1,-1.9936,0.2093,1w
2021-06-24,trending_bear,down,up,0,7.0976,0.1453,1w
2021-07-06,trending_bear,down,up,0,12.3877,0.168,1w
2021-07-15,trending_bear,down,up,0,19.7076,0.1667,1w
2021-07-26,chop,down,up,0,3.6527,0.2693,1w
2021-08-04,trending_bull,down,down,1,-2.6467,0.296,1w
2021-08-13,trending_bull,neutral,down,0,-8.458,0.5453,1w
2021-08-24,trending_bull,neutral,down,0,-9.7276,0.536,1w
2021-09-02,trending_bull,down,down,1,-7.3156,0.4253,1w
2021-09-14,chop,up,down,0,-7.9478,0.5933,1w
2021-09-23,chop,neutral,up,0,12.1983,0.4653,1w
2021-10-04,chop,neutral,up,0,3.7241,0.4773,1w
2021-10-13,chop,neutral,up,0,8.532,0.452,1w
2021-10-22,chop,neutral,up,0,3.3097,0.516,1w
2021-11-02,chop,down,up,0,16.3327,0.4333,1w
2021-11-11,chop,down,up,0,0.7198,0.3867,1w
2021-11-22,chop,neutral,down,0,-0.5609,0.4707,1w
2021-12-02,chop,up,down,0,-4.2887,0.62,1w
2021-12-13,chop,up,up,1,3.4759,0.5733,1w
2021-12-22,chop,up,up,1,9.6575,0.6573,1w
2022-01-03,chop,up,up,1,13.1191,0.6173,1w
2022-01-12,chop,up,down,0,-3.0319,0.7253,1w
2022-01-24,chop,up,down,0,-15.2132,0.668,1w
2022-02-02,trending_bull,up,down,0,-19.556,0.7813,1w
2022-02-11,trending_bear,neutral,down,0,-14.8634,0.5253,1w
2022-02-23,trending_bear,down,down,1,-6.3954,0.44,1w
2022-03-04,trending_bear,down,up,0,3.3911,0.3173,1w
2022-03-15,trending_bear,down,up,0,7.1428,0.2747,1w
2022-03-24,trending_bear,down,up,0,2.4863,0.3547,1w
2022-04-04,trending_bear,down,down,1,-3.4642,0.3547,1w
2022-04-13,chop,down,up,0,8.3718,0.3267,1w
2022-04-25,chop,down,up,0,9.4294,0.216,1w
2022-05-04,chop,down,up,0,8.8201,0.176,1w
2022-05-13,chop,neutral,up,0,4.8449,0.4693,1w
2022-05-24,chop,neutral,up,0,3.8947,0.5453,1w
2022-06-03,chop,up,up,1,2.8496,0.62,1w
2022-06-14,chop,up,up,1,4.5618,0.7253,1w
2022-06-24,chop,up,neutral,0,-0.156,0.6773,1w
2022-07-06,chop,up,up,1,0.8625,0.656,1w
2022-07-15,chop,up,up,1,1.5541,0.724,1w
2022-07-26,chop,up,up,1,7.1095,0.692,1w
2022-08-04,chop,up,up,1,4.8491,0.712,1w
2022-08-15,chop,up,down,0,-2.3783,0.7133,1w
2022-08-24,chop,up,down,0,-4.1248,0.7,1w
2022-09-02,trending_bull,up,down,0,-6.1072,0.6933,1w
2022-09-14,chop,up,up,1,3.1065,0.58,1w
2022-09-23,chop,neutral,up,0,9.5457,0.5293,1w
2022-10-04,chop,neutral,up,0,7.868,0.4773,1w
2022-10-13,chop,neutral,down,0,-6.5783,0.5013,1w
2022-10-24,chop,up,up,1,6.8127,0.6693,1w
2022-11-02,chop,up,up,1,0.5928,0.5613,1w
2022-11-11,chop,down,up,0,8.2061,0.4067,1w
2022-11-22,chop,up,up,1,8.1327,0.58,1w
2022-12-02,chop,neutral,up,0,11.3459,0.5453,1w
2022-12-13,chop,up,up,1,1.9313,0.6613,1w
2022-12-22,trending_bull,up,up,1,2.3622,0.7707,1w
2023-01-04,trending_bull,up,down,0,-1.1461,0.796,1w
2023-01-13,trending_bull,up,up,1,10.7751,0.6173,1w
2023-01-25,trending_bull,up,up,1,6.5481,0.8227,1w
2023-02-03,trending_bull,up,up,1,5.47,0.6787,1w
2023-02-14,high_volatility,up,down,0,-3.3709,0.848,1w
2023-02-24,trending_bull,up,down,0,-0.9882,0.788,1w
2023-03-07,trending_bull,up,down,0,-1.4642,0.7827,1w
2023-03-16,trending_bull,up,down,0,-5.3045,0.656,1w
2023-03-27,chop,up,down,0,-7.9118,0.624,1w
2023-04-05,chop,up,down,0,-4.5843,0.5747,1w
2023-04-17,chop,neutral,up,0,7.619,0.52,1w
2023-04-26,chop,down,up,0,10.4046,0.412,1w
2023-05-05,chop,down,up,0,14.2097,0.448,1w
2023-05-16,chop,down,up,0,2.9658,0.4067,1w
2023-05-25,chop,neutral,up,0,4.6564,0.4907,1w
2023-06-06,chop,up,down,0,-1.6601,0.6173,1w
2023-06-15,chop,up,up,1,4.207,0.6027,1w
2023-06-27,chop,up,down,0,-0.7223,0.5893,1w
2023-07-07,chop,up,down,0,-5.9884,0.588,1w
2023-07-18,chop,up,down,0,-0.7199,0.7787,1w
2023-07-27,chop,up,up,1,1.1918,0.7307,1w
2023-08-07,high_volatility,up,up,1,3.4178,0.588,1w
2023-08-16,high_volatility,up,down,0,-4.4187,0.556,1w
2023-08-25,chop,up,down,0,-5.826,0.5613,1w
2023-09-06,chop,down,down,1,-1.244,0.404,1w
2023-09-15,chop,down,neutral,0,0.4935,0.4093,1w
2023-09-26,chop,down,down,1,-1.63,0.368,1w
2023-10-05,chop,down,up,0,5.5021,0.352,1w
2023-10-16,chop,down,up,0,9.4046,0.3733,1w
2023-10-25,chop,down,up,0,13.4667,0.3347,1w
2023-11-03,chop,up,up,1,6.4632,0.58,1w
2023-11-14,trending_bull,up,down,0,-1.7176,0.5827,1w
2023-11-24,trending_bull,up,down,0,-4.1073,0.584,1w
2023-12-05,trending_bull,up,down,0,-7.0461,0.7307,1w
2023-12-14,trending_bull,up,down,0,-4.014,0.6653,1w
2023-12-26,trending_bull,up,neutral,0,0.0,0.6173,1w
2024-01-05,trending_bear,up,up,1,3.2609,0.588,1w
2024-01-17,trending_bear,up,up,1,10.1349,0.5613,1w
2024-01-26,chop,up,neutral,0,-0.4965,0.656,1w
2024-02-06,chop,neutral,down,0,-5.8196,0.508,1w
2024-02-15,trending_bull,up,down,0,-10.5897,0.5587,1w
2024-02-27,high_volatility,down,down,1,-6.7468,0.328,1w
2024-03-07,crisis,down,down,1,-10.693,0.2747,1w
2024-03-18,high_volatility,down,down,1,-4.7864,0.3467,1w
2024-03-27,chop,down,neutral,0,-0.3674,0.3347,1w
2024-04-08,crisis,down,up,0,8.7853,0.2253,1w
2024-04-17,high_volatility,down,up,0,11.7554,0.3813,1w
2024-04-26,chop,down,up,0,4.7198,0.4093,1w
2024-05-07,chop,down,down,1,-1.0691,0.4387,1w
2024-05-16,chop,down,down,1,-0.9531,0.3707,1w
2024-05-28,chop,neutral,up,0,5.2408,0.4587,1w
2024-06-06,chop,neutral,up,0,6.0801,0.5173,1w
2024-06-17,chop,neutral,up,0,2.8571,0.5147,1w
2024-06-27,chop,up,down,0,-1.4463,0.596,1w
2024-07-09,trending_bull,up,down,0,-3.4529,0.7427,1w
2024-07-18,trending_bull,up,up,1,1.4271,0.7893,1w
2024-07-29,trending_bull,up,up,1,0.5457,0.6747,1w
2024-08-07,chop,neutral,up,0,3.6646,0.492,1w
2024-08-16,chop,up,up,1,3.1876,0.5893,1w
2024-08-27,chop,up,up,1,5.8682,0.5693,1w
2024-09-06,chop,up,down,0,-6.0827,0.5827,1w
2024-09-17,chop,up,down,0,-15.0229,0.6307,1w
2024-09-26,chop,up,down,0,-13.1228,0.5693,1w
2024-10-07,chop,down,down,1,-5.2154,0.292,1w
2024-10-16,trending_bear,down,down,1,-3.6309,0.2373,1w
2024-10-25,trending_bear,down,down,1,-1.8042,0.2933,1w
2024-11-05,trending_bear,down,down,1,-3.7051,0.2507,1w
2024-11-14,trending_bear,down,up,0,2.8447,0.2333,1w
2024-11-25,trending_bear,down,up,0,2.2196,0.256,1w
