date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-2.561,0.7147,1w
2021-01-13,chop,up,down,0,-6.1085,0.6307,1w
2021-01-25,chop,down,down,1,-3.1201,0.416,1w
2021-02-03,high_volatility,neutral,down,0,-4.2048,0.456,1w
2021-02-12,chop,down,down,1,-3.5137,0.376,1w
2021-02-24,trending_bear,down,up,0,2.9058,0.3173,1w
2021-03-05,chop,down,up,0,6.4802,0.436,1w
2021-03-16,trending_bear,down,up,0,10.277,0.3533,1w
2021-03-25,chop,down,up,0,10.5112,0.3893,1w
2021-04-06,chop,neutral,down,0,-3.7825,0.4667,1w
2021-04-15,trending_bull,neutral,down,0,-9.1109,0.4653,1w
2021-04-26,trending_bull,up,down,0,-7.2865,0.6573,1w
2021-05-05,crisis,down,neutral,0,0.1526,0.4067,1w
2021-05-14,crisis,down,down,1,-5.8954,0.4093,1w
2021-05-25,high_volatility,neutral,neutral,0,-0.3024,0.544,1w
2021-06-04,high_volatility,neutral,up,0,3.2343,0.5253,1w
2021-06-15,high_volatility,down,up,0,9.4053,0.416,1w
2021-06-24,crisis,neutral,up,0,3.869,0.5107,1w
2021-07-06,high_volatility,down,up,0,3.9477,0.444,1w
2021-07-15,chop,down,up,0,6.5605,0.3787,1w
2021-07-26,chop,down,down,1,-2.183,0.448,1w
2021-08-04,trending_bull,up,down,0,-5.2063,0.5787,1w
2021-08-13,trending_bull,up,down,0,-11.5079,0.6933,1w
2021-08-24,chop,neutral,down,0,-11.2039,0.5467,1w
2021-09-02,trending_bear,neutral,down,0,-12.1369,0.5133,1w
2021-09-14,trending_bear,up,down,0,-11.6691,0.588,1w
2021-09-23,trending_bear,down,down,1,-6.3619,0.2373,1w
2021-10-04,trending_bear,down,up,0,3.6313,0.1707,1w
2021-10-13,trending_bear,down,up,0,14.0421,0.128,1w
2021-10-22,trending_bear,down,up,0,11.1014,0.1227,1w
2021-11-02,trending_bull,down,up,0,3.2603,0.216,1w
2021-11-11,trending_bull,down,neutral,0,-0.0793,0.248,1w
2021-11-22,chop,down,down,1,-1.2301,0.344,1w
2021-12-02,chop,down,up,0,1.8268,0.3573,1w
2021-12-13,chop,neutral,up,0,2.8476,0.4653,1w
2021-12-22,chop,up,up,1,6.1654,0.5573,1w
2022-01-03,chop,up,up,1,5.4175,0.5893,1w
2022-01-12,chop,up,up,1,1.8245,0.74,1w
2022-01-24,chop,up,down,0,-1.4653,0.736,1w
2022-02-02,chop,up,down,0,-4.4915,0.7107,1w
2022-02-11,chop,up,down,0,-3.6535,0.5613,1w
2022-02-23,chop,neutral,down,0,-5.692,0.5053,1w
2022-03-04,chop,neutral,down,0,-1.2567,0.5453,1w
2022-03-15,trending_bear,down,down,1,-2.2609,0.4013,1w
2022-03-24,trending_bear,down,up,0,2.6087,0.388,1w
2022-04-04,trending_bear,down,down,1,-0.8539,0.4093,1w
2022-04-13,chop,down,up,0,1.0309,0.2733,1w
2022-04-25,chop,down,down,1,-3.2248,0.2747,1w
2022-05-04,chop,down,down,1,-4.2879,0.2747,1w
2022-05-13,chop,down,up,0,1.9173,0.336,1w
2022-05-24,chop,down,up,0,3.0297,0.26,1w
2022-06-03,chop,down,neutral,0,0.2429,0.3347,1w
2022-06-14,chop,down,up,0,0.5253,0.4213,1w
2022-06-24,chop,down,up,0,6.3668,0.436,1w
2022-07-06,chop,down,neutral,0,-0.1718,0.344,1w
2022-07-15,chop,neutral,down,0,-5.4432,0.4667,1w
2022-07-26,trending_bull,up,down,0,-8.9955,0.5907,1w
2022-08-04,chop,down,down,1,-7.6673,0.3,1w
2022-08-15,trending_bear,down,down,1,-2.6365,0.3467,1w
